method,epsilon_px,class,n_test,clean_accuracy,adv_accuracy,accuracy_drop,attack_success_rate_clean_correct
standard_pgd,0.125,A1,1092,0.916667,0.494505,0.422161,0.460539
standard_pgd,0.125,A10,556,0.980216,0.850719,0.129496,0.132110
standard_pgd,0.125,A11,356,0.910112,0.707865,0.202247,0.222222
standard_pgd,0.125,A12,462,0.928571,0.541126,0.387446,0.417249
standard_pgd,0.125,A13,1091,0.688359,0.234647,0.453712,0.659121
standard_pgd,0.125,A14,1119,0.930295,0.394102,0.536193,0.576369
standard_pgd,0.125,A15,418,0.839713,0.394737,0.444976,0.529915
standard_pgd,0.125,A16,1847,0.753655,0.259339,0.494315,0.655891
standard_pgd,0.125,A17,958,0.967641,0.722338,0.245303,0.253506
standard_pgd,0.125,A18,148,0.918919,0.547297,0.371622,0.404412
standard_pgd,0.125,A19,717,0.831241,0.541144,0.290098,0.348993
standard_pgd,0.125,A2,993,0.917422,0.495468,0.421954,0.459934
standard_pgd,0.125,A20,551,0.885662,0.669691,0.215971,0.243852
standard_pgd,0.125,A3,860,0.967442,0.648837,0.318605,0.329327
standard_pgd,0.125,A4,463,0.926566,0.488121,0.438445,0.473193
standard_pgd,0.125,A5,827,0.753325,0.366385,0.386941,0.513644
standard_pgd,0.125,A6,334,0.943114,0.616766,0.326347,0.346032
standard_pgd,0.125,A7,489,0.989775,0.924335,0.065440,0.066116
standard_pgd,0.125,A8,579,0.898100,0.443869,0.454231,0.505769
standard_pgd,0.125,A9,611,0.906710,0.458265,0.448445,0.494585
