method,epsilon_px,class,n_test,clean_accuracy,adv_accuracy,accuracy_drop,attack_success_rate_clean_correct
layercam_masked_pgd,0.25,A1,1092,0.916667,0.741758,0.174908,0.190809
layercam_masked_pgd,0.25,A10,556,0.980216,0.920863,0.059353,0.060550
layercam_masked_pgd,0.25,A11,356,0.910112,0.828652,0.081461,0.089506
layercam_masked_pgd,0.25,A12,462,0.928571,0.831169,0.097403,0.104895
layercam_masked_pgd,0.25,A13,1091,0.688359,0.380385,0.307974,0.447403
layercam_masked_pgd,0.25,A14,1119,0.930295,0.668454,0.261841,0.281460
layercam_masked_pgd,0.25,A15,418,0.839713,0.564593,0.275120,0.327635
layercam_masked_pgd,0.25,A16,1847,0.753655,0.466703,0.286952,0.380747
layercam_masked_pgd,0.25,A17,958,0.967641,0.907098,0.060543,0.062567
layercam_masked_pgd,0.25,A18,148,0.918919,0.858108,0.060811,0.066176
layercam_masked_pgd,0.25,A19,717,0.831241,0.684798,0.146444,0.176174
layercam_masked_pgd,0.25,A2,993,0.917422,0.694864,0.222558,0.242591
layercam_masked_pgd,0.25,A20,551,0.885662,0.807623,0.078040,0.088115
layercam_masked_pgd,0.25,A3,860,0.967442,0.877907,0.089535,0.092548
layercam_masked_pgd,0.25,A4,463,0.926566,0.738661,0.187905,0.202797
layercam_masked_pgd,0.25,A5,827,0.753325,0.563482,0.189843,0.252006
layercam_masked_pgd,0.25,A6,334,0.943114,0.868263,0.074850,0.079365
layercam_masked_pgd,0.25,A7,489,0.989775,0.977505,0.012270,0.012397
layercam_masked_pgd,0.25,A8,579,0.898100,0.585492,0.312608,0.348077
layercam_masked_pgd,0.25,A9,611,0.906710,0.739771,0.166939,0.184116
