method,epsilon_px,class,source_path,example_path,clean_pred,clean_conf,adv_pred,adv_conf,mask_area
standard_pgd,0.25,A1,c:\Users\ryan5\Desktop\BBB\MAR20\Classification_Dataset\test\A1\1002_4.jpg,c:\Users\ryan5\Desktop\BBB\Evaluate_models\Adversarial_Attacks\efficientnetb0_pretrained_seed4\epsilon_0p25\standard_pgd\examples\A1\01_1002_4_clean-A1_adv-A19.png,A1,0.999974,A19,0.999948,1.000000
standard_pgd,0.25,A1,c:\Users\ryan5\Desktop\BBB\MAR20\Classification_Dataset\test\A1\1002_5.jpg,c:\Users\ryan5\Desktop\BBB\Evaluate_models\Adversarial_Attacks\efficientnetb0_pretrained_seed4\epsilon_0p25\standard_pgd\examples\A1\02_1002_5_clean-A1_adv-A19.png,A1,0.999996,A19,0.999738,1.000000
standard_pgd,0.25,A1,c:\Users\ryan5\Desktop\BBB\MAR20\Classification_Dataset\test\A1\1002_6.jpg,c:\Users\ryan5\Desktop\BBB\Evaluate_models\Adversarial_Attacks\efficientnetb0_pretrained_seed4\epsilon_0p25\standard_pgd\examples\A1\03_1002_6_clean-A1_adv-A19.png,A1,0.999614,A19,1.000000,1.000000
standard_pgd,0.25,A1,c:\Users\ryan5\Desktop\BBB\MAR20\Classification_Dataset\test\A1\1002_7.jpg,c:\Users\ryan5\Desktop\BBB\Evaluate_models\Adversarial_Attacks\efficientnetb0_pretrained_seed4\epsilon_0p25\standard_pgd\examples\A1\04_1002_7_clean-A1_adv-A19.png,A1,0.993278,A19,1.000000,1.000000
standard_pgd,0.25,A1,c:\Users\ryan5\Desktop\BBB\MAR20\Classification_Dataset\test\A1\1016_0.jpg,c:\Users\ryan5\Desktop\BBB\Evaluate_models\Adversarial_Attacks\efficientnetb0_pretrained_seed4\epsilon_0p25\standard_pgd\examples\A1\05_1016_0_clean-A1_adv-A16.png,A1,0.963924,A16,0.999947,1.000000
standard_pgd,0.25,A1,c:\Users\ryan5\Desktop\BBB\MAR20\Classification_Dataset\test\A1\1016_1.jpg,c:\Users\ryan5\Desktop\BBB\Evaluate_models\Adversarial_Attacks\efficientnetb0_pretrained_seed4\epsilon_0p25\standard_pgd\examples\A1\06_1016_1_clean-A1_adv-A20.png,A1,0.858421,A20,0.999995,1.000000
standard_pgd,0.25,A1,c:\Users\ryan5\Desktop\BBB\MAR20\Classification_Dataset\test\A1\1016_3.jpg,c:\Users\ryan5\Desktop\BBB\Evaluate_models\Adversarial_Attacks\efficientnetb0_pretrained_seed4\epsilon_0p25\standard_pgd\examples\A1\07_1016_3_clean-A1_adv-A19.png,A1,0.637700,A19,0.999994,1.000000
standard_pgd,0.25,A1,c:\Users\ryan5\Desktop\BBB\MAR20\Classification_Dataset\test\A1\1018_0.jpg,c:\Users\ryan5\Desktop\BBB\Evaluate_models\Adversarial_Attacks\efficientnetb0_pretrained_seed4\epsilon_0p25\standard_pgd\examples\A1\08_1018_0_clean-A1_adv-A20.png,A1,0.587129,A20,0.999995,1.000000
standard_pgd,0.25,A1,c:\Users\ryan5\Desktop\BBB\MAR20\Classification_Dataset\test\A1\1018_1.jpg,c:\Users\ryan5\Desktop\BBB\Evaluate_models\Adversarial_Attacks\efficientnetb0_pretrained_seed4\epsilon_0p25\standard_pgd\examples\A1\09_1018_1_clean-A1_adv-A19.png,A1,0.761259,A19,0.999783,1.000000
standard_pgd,0.25,A1,c:\Users\ryan5\Desktop\BBB\MAR20\Classification_Dataset\test\A1\1018_2.jpg,c:\Users\ryan5\Desktop\BBB\Evaluate_models\Adversarial_Attacks\efficientnetb0_pretrained_seed4\epsilon_0p25\standard_pgd\examples\A1\10_1018_2_clean-A1_adv-A20.png,A1,0.992243,A20,0.999900,1.000000
standard_pgd,0.25,A10,c:\Users\ryan5\Desktop\BBB\MAR20\Classification_Dataset\test\A10\1040_0.jpg,c:\Users\ryan5\Desktop\BBB\Evaluate_models\Adversarial_Attacks\efficientnetb0_pretrained_seed4\epsilon_0p25\standard_pgd\examples\A10\01_1040_0_clean-A10_adv-A10.png,A10,1.000000,A10,0.953452,1.000000
standard_pgd,0.25,A10,c:\Users\ryan5\Desktop\BBB\MAR20\Classification_Dataset\test\A10\1040_1.jpg,c:\Users\ryan5\Desktop\BBB\Evaluate_models\Adversarial_Attacks\efficientnetb0_pretrained_seed4\epsilon_0p25\standard_pgd\examples\A10\02_1040_1_clean-A10_adv-A10.png,A10,0.999999,A10,0.517236,1.000000
standard_pgd,0.25,A10,c:\Users\ryan5\Desktop\BBB\MAR20\Classification_Dataset\test\A10\1040_2.jpg,c:\Users\ryan5\Desktop\BBB\Evaluate_models\Adversarial_Attacks\efficientnetb0_pretrained_seed4\epsilon_0p25\standard_pgd\examples\A10\03_1040_2_clean-A10_adv-A10.png,A10,1.000000,A10,0.979556,1.000000
standard_pgd,0.25,A10,c:\Users\ryan5\Desktop\BBB\MAR20\Classification_Dataset\test\A10\1040_3.jpg,c:\Users\ryan5\Desktop\BBB\Evaluate_models\Adversarial_Attacks\efficientnetb0_pretrained_seed4\epsilon_0p25\standard_pgd\examples\A10\04_1040_3_clean-A10_adv-A10.png,A10,1.000000,A10,0.903290,1.000000
standard_pgd,0.25,A10,c:\Users\ryan5\Desktop\BBB\MAR20\Classification_Dataset\test\A10\1057_0.jpg,c:\Users\ryan5\Desktop\BBB\Evaluate_models\Adversarial_Attacks\efficientnetb0_pretrained_seed4\epsilon_0p25\standard_pgd\examples\A10\05_1057_0_clean-A10_adv-A15.png,A10,0.999665,A15,0.999831,1.000000
