method,epsilon_px,class,source_path,example_path,clean_pred,clean_conf,adv_pred,adv_conf,mask_area
layercam_masked_pgd,0.5,A1,c:\Users\ryan5\Desktop\BBB\MAR20\Classification_Dataset\test\A1\1002_4.jpg,c:\Users\ryan5\Desktop\BBB\Evaluate_models\Adversarial_Attacks\efficientnetb0_pretrained_seed4\epsilon_0p5\layercam_masked_pgd\examples\A1\01_1002_4_clean-A1_adv-A1.png,A1,0.999974,A1,0.934229,0.070043
layercam_masked_pgd,0.5,A1,c:\Users\ryan5\Desktop\BBB\MAR20\Classification_Dataset\test\A1\1002_5.jpg,c:\Users\ryan5\Desktop\BBB\Evaluate_models\Adversarial_Attacks\efficientnetb0_pretrained_seed4\epsilon_0p5\layercam_masked_pgd\examples\A1\02_1002_5_clean-A1_adv-A1.png,A1,0.999996,A1,0.976335,0.077213
layercam_masked_pgd,0.5,A1,c:\Users\ryan5\Desktop\BBB\MAR20\Classification_Dataset\test\A1\1002_6.jpg,c:\Users\ryan5\Desktop\BBB\Evaluate_models\Adversarial_Attacks\efficientnetb0_pretrained_seed4\epsilon_0p5\layercam_masked_pgd\examples\A1\03_1002_6_clean-A1_adv-A19.png,A1,0.999614,A19,0.999012,0.074298
layercam_masked_pgd,0.5,A1,c:\Users\ryan5\Desktop\BBB\MAR20\Classification_Dataset\test\A1\1002_7.jpg,c:\Users\ryan5\Desktop\BBB\Evaluate_models\Adversarial_Attacks\efficientnetb0_pretrained_seed4\epsilon_0p5\layercam_masked_pgd\examples\A1\04_1002_7_clean-A1_adv-A19.png,A1,0.993278,A19,0.999023,0.066865
layercam_masked_pgd,0.5,A1,c:\Users\ryan5\Desktop\BBB\MAR20\Classification_Dataset\test\A1\1016_0.jpg,c:\Users\ryan5\Desktop\BBB\Evaluate_models\Adversarial_Attacks\efficientnetb0_pretrained_seed4\epsilon_0p5\layercam_masked_pgd\examples\A1\05_1016_0_clean-A1_adv-A16.png,A1,0.963924,A16,0.666085,0.076605
layercam_masked_pgd,0.5,A1,c:\Users\ryan5\Desktop\BBB\MAR20\Classification_Dataset\test\A1\1016_1.jpg,c:\Users\ryan5\Desktop\BBB\Evaluate_models\Adversarial_Attacks\efficientnetb0_pretrained_seed4\epsilon_0p5\layercam_masked_pgd\examples\A1\06_1016_1_clean-A1_adv-A20.png,A1,0.858421,A20,0.705557,0.083865
layercam_masked_pgd,0.5,A1,c:\Users\ryan5\Desktop\BBB\MAR20\Classification_Dataset\test\A1\1016_3.jpg,c:\Users\ryan5\Desktop\BBB\Evaluate_models\Adversarial_Attacks\efficientnetb0_pretrained_seed4\epsilon_0p5\layercam_masked_pgd\examples\A1\07_1016_3_clean-A1_adv-A19.png,A1,0.637700,A19,0.995332,0.096984
layercam_masked_pgd,0.5,A1,c:\Users\ryan5\Desktop\BBB\MAR20\Classification_Dataset\test\A1\1018_0.jpg,c:\Users\ryan5\Desktop\BBB\Evaluate_models\Adversarial_Attacks\efficientnetb0_pretrained_seed4\epsilon_0p5\layercam_masked_pgd\examples\A1\08_1018_0_clean-A1_adv-A20.png,A1,0.587129,A20,0.988642,0.065898
layercam_masked_pgd,0.5,A1,c:\Users\ryan5\Desktop\BBB\MAR20\Classification_Dataset\test\A1\1018_1.jpg,c:\Users\ryan5\Desktop\BBB\Evaluate_models\Adversarial_Attacks\efficientnetb0_pretrained_seed4\epsilon_0p5\layercam_masked_pgd\examples\A1\09_1018_1_clean-A1_adv-A19.png,A1,0.761259,A19,0.834339,0.091423
layercam_masked_pgd,0.5,A1,c:\Users\ryan5\Desktop\BBB\MAR20\Classification_Dataset\test\A1\1018_2.jpg,c:\Users\ryan5\Desktop\BBB\Evaluate_models\Adversarial_Attacks\efficientnetb0_pretrained_seed4\epsilon_0p5\layercam_masked_pgd\examples\A1\10_1018_2_clean-A1_adv-A20.png,A1,0.992243,A20,0.815485,0.095972
layercam_masked_pgd,0.5,A10,c:\Users\ryan5\Desktop\BBB\MAR20\Classification_Dataset\test\A10\1040_0.jpg,c:\Users\ryan5\Desktop\BBB\Evaluate_models\Adversarial_Attacks\efficientnetb0_pretrained_seed4\epsilon_0p5\layercam_masked_pgd\examples\A10\01_1040_0_clean-A10_adv-A10.png,A10,1.000000,A10,0.999996,0.045874
layercam_masked_pgd,0.5,A10,c:\Users\ryan5\Desktop\BBB\MAR20\Classification_Dataset\test\A10\1040_1.jpg,c:\Users\ryan5\Desktop\BBB\Evaluate_models\Adversarial_Attacks\efficientnetb0_pretrained_seed4\epsilon_0p5\layercam_masked_pgd\examples\A10\02_1040_1_clean-A10_adv-A10.png,A10,0.999999,A10,0.999761,0.046327
layercam_masked_pgd,0.5,A10,c:\Users\ryan5\Desktop\BBB\MAR20\Classification_Dataset\test\A10\1040_2.jpg,c:\Users\ryan5\Desktop\BBB\Evaluate_models\Adversarial_Attacks\efficientnetb0_pretrained_seed4\epsilon_0p5\layercam_masked_pgd\examples\A10\03_1040_2_clean-A10_adv-A10.png,A10,1.000000,A10,0.999997,0.048096
layercam_masked_pgd,0.5,A10,c:\Users\ryan5\Desktop\BBB\MAR20\Classification_Dataset\test\A10\1040_3.jpg,c:\Users\ryan5\Desktop\BBB\Evaluate_models\Adversarial_Attacks\efficientnetb0_pretrained_seed4\epsilon_0p5\layercam_masked_pgd\examples\A10\04_1040_3_clean-A10_adv-A10.png,A10,1.000000,A10,0.999955,0.047373
layercam_masked_pgd,0.5,A10,c:\Users\ryan5\Desktop\BBB\MAR20\Classification_Dataset\test\A10\1057_0.jpg,c:\Users\ryan5\Desktop\BBB\Evaluate_models\Adversarial_Attacks\efficientnetb0_pretrained_seed4\epsilon_0p5\layercam_masked_pgd\examples\A10\05_1057_0_clean-A10_adv-A15.png,A10,0.999665,A15,0.950917,0.067482
layercam_masked_pgd,0.5,A10,c:\Users\ryan5\Desktop\BBB\MAR20\Classification_Dataset\test\A10\1057_1.jpg,c:\Users\ryan5\Desktop\BBB\Evaluate_models\Adversarial_Attacks\efficientnetb0_pretrained_seed4\epsilon_0p5\layercam_masked_pgd\examples\A10\06_1057_1_clean-A10_adv-A15.png,A10,0.999799,A15,0.981966,0.064358
layercam_masked_pgd,0.5,A10,c:\Users\ryan5\Desktop\BBB\MAR20\Classification_Dataset\test\A10\1057_2.jpg,c:\Users\ryan5\Desktop\BBB\Evaluate_models\Adversarial_Attacks\efficientnetb0_pretrained_seed4\epsilon_0p5\layercam_masked_pgd\examples\A10\07_1057_2_clean-A10_adv-A15.png,A10,0.997522,A15,0.997912,0.072749
layercam_masked_pgd,0.5,A10,c:\Users\ryan5\Desktop\BBB\MAR20\Classification_Dataset\test\A10\1057_3.jpg,c:\Users\ryan5\Desktop\BBB\Evaluate_models\Adversarial_Attacks\efficientnetb0_pretrained_seed4\epsilon_0p5\layercam_masked_pgd\examples\A10\08_1057_3_clean-A10_adv-A15.png,A10,0.999478,A15,0.994565,0.068235
layercam_masked_pgd,0.5,A10,c:\Users\ryan5\Desktop\BBB\MAR20\Classification_Dataset\test\A10\1057_4.jpg,c:\Users\ryan5\Desktop\BBB\Evaluate_models\Adversarial_Attacks\efficientnetb0_pretrained_seed4\epsilon_0p5\layercam_masked_pgd\examples\A10\09_1057_4_clean-A10_adv-A10.png,A10,1.000000,A10,0.994103,0.064259
layercam_masked_pgd,0.5,A10,c:\Users\ryan5\Desktop\BBB\MAR20\Classification_Dataset\test\A10\1057_5.jpg,c:\Users\ryan5\Desktop\BBB\Evaluate_models\Adversarial_Attacks\efficientnetb0_pretrained_seed4\epsilon_0p5\layercam_masked_pgd\examples\A10\10_1057_5_clean-A10_adv-A15.png,A10,0.929925,A15,0.997664,0.071030
layercam_masked_pgd,0.5,A11,c:\Users\ryan5\Desktop\BBB\MAR20\Classification_Dataset\test\A11\1057_6.jpg,c:\Users\ryan5\Desktop\BBB\Evaluate_models\Adversarial_Attacks\efficientnetb0_pretrained_seed4\epsilon_0p5\layercam_masked_pgd\examples\A11\01_1057_6_clean-A11_adv-A11.png,A11,0.992335,A11,0.639052,0.060084
layercam_masked_pgd,0.5,A11,c:\Users\ryan5\Desktop\BBB\MAR20\Classification_Dataset\test\A11\1065_0.jpg,c:\Users\ryan5\Desktop\BBB\Evaluate_models\Adversarial_Attacks\efficientnetb0_pretrained_seed4\epsilon_0p5\layercam_masked_pgd\examples\A11\02_1065_0_clean-A11_adv-A11.png,A11,0.999728,A11,0.991783,0.053960
layercam_masked_pgd,0.5,A11,c:\Users\ryan5\Desktop\BBB\MAR20\Classification_Dataset\test\A11\1065_1.jpg,c:\Users\ryan5\Desktop\BBB\Evaluate_models\Adversarial_Attacks\efficientnetb0_pretrained_seed4\epsilon_0p5\layercam_masked_pgd\examples\A11\03_1065_1_clean-A11_adv-A17.png,A11,0.950061,A17,0.997422,0.055824
layercam_masked_pgd,0.5,A11,c:\Users\ryan5\Desktop\BBB\MAR20\Classification_Dataset\test\A11\1076_7.jpg,c:\Users\ryan5\Desktop\BBB\Evaluate_models\Adversarial_Attacks\efficientnetb0_pretrained_seed4\epsilon_0p5\layercam_masked_pgd\examples\A11\04_1076_7_clean-A11_adv-A11.png,A11,0.999937,A11,0.999294,0.056426
layercam_masked_pgd,0.5,A11,c:\Users\ryan5\Desktop\BBB\MAR20\Classification_Dataset\test\A11\1076_8.jpg,c:\Users\ryan5\Desktop\BBB\Evaluate_models\Adversarial_Attacks\efficientnetb0_pretrained_seed4\epsilon_0p5\layercam_masked_pgd\examples\A11\05_1076_8_clean-A11_adv-A11.png,A11,0.999963,A11,0.999240,0.060652
layercam_masked_pgd,0.5,A11,c:\Users\ryan5\Desktop\BBB\MAR20\Classification_Dataset\test\A11\1114_1.jpg,c:\Users\ryan5\Desktop\BBB\Evaluate_models\Adversarial_Attacks\efficientnetb0_pretrained_seed4\epsilon_0p5\layercam_masked_pgd\examples\A11\06_1114_1_clean-A11_adv-A11.png,A11,0.999858,A11,0.998990,0.064094
layercam_masked_pgd,0.5,A11,c:\Users\ryan5\Desktop\BBB\MAR20\Classification_Dataset\test\A11\1117_1.jpg,c:\Users\ryan5\Desktop\BBB\Evaluate_models\Adversarial_Attacks\efficientnetb0_pretrained_seed4\epsilon_0p5\layercam_masked_pgd\examples\A11\07_1117_1_clean-A11_adv-A11.png,A11,0.999603,A11,0.976703,0.065390
layercam_masked_pgd,0.5,A11,c:\Users\ryan5\Desktop\BBB\MAR20\Classification_Dataset\test\A11\1117_2.jpg,c:\Users\ryan5\Desktop\BBB\Evaluate_models\Adversarial_Attacks\efficientnetb0_pretrained_seed4\epsilon_0p5\layercam_masked_pgd\examples\A11\08_1117_2_clean-A11_adv-A11.png,A11,0.999903,A11,0.997294,0.063790
layercam_masked_pgd,0.5,A11,c:\Users\ryan5\Desktop\BBB\MAR20\Classification_Dataset\test\A11\1117_3.jpg,c:\Users\ryan5\Desktop\BBB\Evaluate_models\Adversarial_Attacks\efficientnetb0_pretrained_seed4\epsilon_0p5\layercam_masked_pgd\examples\A11\09_1117_3_clean-A11_adv-A11.png,A11,0.999730,A11,0.992318,0.070771
layercam_masked_pgd,0.5,A11,c:\Users\ryan5\Desktop\BBB\MAR20\Classification_Dataset\test\A11\1123_0.jpg,c:\Users\ryan5\Desktop\BBB\Evaluate_models\Adversarial_Attacks\efficientnetb0_pretrained_seed4\epsilon_0p5\layercam_masked_pgd\examples\A11\10_1123_0_clean-A11_adv-A11.png,A11,0.997898,A11,0.895067,0.067323
layercam_masked_pgd,0.5,A12,c:\Users\ryan5\Desktop\BBB\MAR20\Classification_Dataset\test\A12\1012_1.jpg,c:\Users\ryan5\Desktop\BBB\Evaluate_models\Adversarial_Attacks\efficientnetb0_pretrained_seed4\epsilon_0p5\layercam_masked_pgd\examples\A12\01_1012_1_clean-A12_adv-A12.png,A12,0.999995,A12,0.999962,0.049720
layercam_masked_pgd,0.5,A12,c:\Users\ryan5\Desktop\BBB\MAR20\Classification_Dataset\test\A12\1012_2.jpg,c:\Users\ryan5\Desktop\BBB\Evaluate_models\Adversarial_Attacks\efficientnetb0_pretrained_seed4\epsilon_0p5\layercam_masked_pgd\examples\A12\02_1012_2_clean-A12_adv-A12.png,A12,0.999998,A12,0.999988,0.045674
layercam_masked_pgd,0.5,A12,c:\Users\ryan5\Desktop\BBB\MAR20\Classification_Dataset\test\A12\1012_3.jpg,c:\Users\ryan5\Desktop\BBB\Evaluate_models\Adversarial_Attacks\efficientnetb0_pretrained_seed4\epsilon_0p5\layercam_masked_pgd\examples\A12\03_1012_3_clean-A12_adv-A12.png,A12,0.999998,A12,0.999977,0.054623
layercam_masked_pgd,0.5,A12,c:\Users\ryan5\Desktop\BBB\MAR20\Classification_Dataset\test\A12\1012_4.jpg,c:\Users\ryan5\Desktop\BBB\Evaluate_models\Adversarial_Attacks\efficientnetb0_pretrained_seed4\epsilon_0p5\layercam_masked_pgd\examples\A12\04_1012_4_clean-A12_adv-A12.png,A12,0.999984,A12,0.999905,0.041170
layercam_masked_pgd,0.5,A12,c:\Users\ryan5\Desktop\BBB\MAR20\Classification_Dataset\test\A12\1015_3.jpg,c:\Users\ryan5\Desktop\BBB\Evaluate_models\Adversarial_Attacks\efficientnetb0_pretrained_seed4\epsilon_0p5\layercam_masked_pgd\examples\A12\05_1015_3_clean-A12_adv-A12.png,A12,0.999996,A12,0.986270,0.105877
layercam_masked_pgd,0.5,A12,c:\Users\ryan5\Desktop\BBB\MAR20\Classification_Dataset\test\A12\1015_4.jpg,c:\Users\ryan5\Desktop\BBB\Evaluate_models\Adversarial_Attacks\efficientnetb0_pretrained_seed4\epsilon_0p5\layercam_masked_pgd\examples\A12\06_1015_4_clean-A12_adv-A12.png,A12,0.999990,A12,0.999051,0.095035
layercam_masked_pgd,0.5,A12,c:\Users\ryan5\Desktop\BBB\MAR20\Classification_Dataset\test\A12\1015_5.jpg,c:\Users\ryan5\Desktop\BBB\Evaluate_models\Adversarial_Attacks\efficientnetb0_pretrained_seed4\epsilon_0p5\layercam_masked_pgd\examples\A12\07_1015_5_clean-A12_adv-A12.png,A12,1.000000,A12,0.999968,0.086590
layercam_masked_pgd,0.5,A12,c:\Users\ryan5\Desktop\BBB\MAR20\Classification_Dataset\test\A12\1135_3.jpg,c:\Users\ryan5\Desktop\BBB\Evaluate_models\Adversarial_Attacks\efficientnetb0_pretrained_seed4\epsilon_0p5\layercam_masked_pgd\examples\A12\08_1135_3_clean-A12_adv-A12.png,A12,1.000000,A12,0.999995,0.062784
layercam_masked_pgd,0.5,A12,c:\Users\ryan5\Desktop\BBB\MAR20\Classification_Dataset\test\A12\1135_4.jpg,c:\Users\ryan5\Desktop\BBB\Evaluate_models\Adversarial_Attacks\efficientnetb0_pretrained_seed4\epsilon_0p5\layercam_masked_pgd\examples\A12\09_1135_4_clean-A12_adv-A12.png,A12,0.999995,A12,0.989817,0.055898
layercam_masked_pgd,0.5,A12,c:\Users\ryan5\Desktop\BBB\MAR20\Classification_Dataset\test\A12\1135_5.jpg,c:\Users\ryan5\Desktop\BBB\Evaluate_models\Adversarial_Attacks\efficientnetb0_pretrained_seed4\epsilon_0p5\layercam_masked_pgd\examples\A12\10_1135_5_clean-A12_adv-A12.png,A12,0.999999,A12,0.978678,0.060502
layercam_masked_pgd,0.5,A13,c:\Users\ryan5\Desktop\BBB\MAR20\Classification_Dataset\test\A13\1014_0.jpg,c:\Users\ryan5\Desktop\BBB\Evaluate_models\Adversarial_Attacks\efficientnetb0_pretrained_seed4\epsilon_0p5\layercam_masked_pgd\examples\A13\01_1014_0_clean-A13_adv-A5.png,A13,0.961784,A5,0.999491,0.054872
layercam_masked_pgd,0.5,A13,c:\Users\ryan5\Desktop\BBB\MAR20\Classification_Dataset\test\A13\1014_1.jpg,c:\Users\ryan5\Desktop\BBB\Evaluate_models\Adversarial_Attacks\efficientnetb0_pretrained_seed4\epsilon_0p5\layercam_masked_pgd\examples\A13\02_1014_1_clean-A13_adv-A5.png,A13,0.932968,A5,0.996215,0.054413
layercam_masked_pgd,0.5,A13,c:\Users\ryan5\Desktop\BBB\MAR20\Classification_Dataset\test\A13\1014_3.jpg,c:\Users\ryan5\Desktop\BBB\Evaluate_models\Adversarial_Attacks\efficientnetb0_pretrained_seed4\epsilon_0p5\layercam_masked_pgd\examples\A13\03_1014_3_clean-A13_adv-A5.png,A13,0.986064,A5,0.996101,0.070646
layercam_masked_pgd,0.5,A13,c:\Users\ryan5\Desktop\BBB\MAR20\Classification_Dataset\test\A13\1014_4.jpg,c:\Users\ryan5\Desktop\BBB\Evaluate_models\Adversarial_Attacks\efficientnetb0_pretrained_seed4\epsilon_0p5\layercam_masked_pgd\examples\A13\04_1014_4_clean-A13_adv-A5.png,A13,0.998753,A5,0.975356,0.052734
layercam_masked_pgd,0.5,A13,c:\Users\ryan5\Desktop\BBB\MAR20\Classification_Dataset\test\A13\1014_5.jpg,c:\Users\ryan5\Desktop\BBB\Evaluate_models\Adversarial_Attacks\efficientnetb0_pretrained_seed4\epsilon_0p5\layercam_masked_pgd\examples\A13\05_1014_5_clean-A13_adv-A5.png,A13,0.851053,A5,0.999683,0.061797
layercam_masked_pgd,0.5,A13,c:\Users\ryan5\Desktop\BBB\MAR20\Classification_Dataset\test\A13\1014_7.jpg,c:\Users\ryan5\Desktop\BBB\Evaluate_models\Adversarial_Attacks\efficientnetb0_pretrained_seed4\epsilon_0p5\layercam_masked_pgd\examples\A13\06_1014_7_clean-A13_adv-A5.png,A13,0.983875,A5,0.992997,0.049835
layercam_masked_pgd,0.5,A13,c:\Users\ryan5\Desktop\BBB\MAR20\Classification_Dataset\test\A13\1032_0.jpg,c:\Users\ryan5\Desktop\BBB\Evaluate_models\Adversarial_Attacks\efficientnetb0_pretrained_seed4\epsilon_0p5\layercam_masked_pgd\examples\A13\07_1032_0_clean-A13_adv-A5.png,A13,0.994561,A5,0.993139,0.042431
layercam_masked_pgd,0.5,A13,c:\Users\ryan5\Desktop\BBB\MAR20\Classification_Dataset\test\A13\1036_0.jpg,c:\Users\ryan5\Desktop\BBB\Evaluate_models\Adversarial_Attacks\efficientnetb0_pretrained_seed4\epsilon_0p5\layercam_masked_pgd\examples\A13\08_1036_0_clean-A13_adv-A15.png,A13,0.849136,A15,0.997951,0.062839
layercam_masked_pgd,0.5,A13,c:\Users\ryan5\Desktop\BBB\MAR20\Classification_Dataset\test\A13\1036_1.jpg,c:\Users\ryan5\Desktop\BBB\Evaluate_models\Adversarial_Attacks\efficientnetb0_pretrained_seed4\epsilon_0p5\layercam_masked_pgd\examples\A13\09_1036_1_clean-A13_adv-A15.png,A13,0.986309,A15,0.995408,0.061683
layercam_masked_pgd,0.5,A13,c:\Users\ryan5\Desktop\BBB\MAR20\Classification_Dataset\test\A13\1036_2.jpg,c:\Users\ryan5\Desktop\BBB\Evaluate_models\Adversarial_Attacks\efficientnetb0_pretrained_seed4\epsilon_0p5\layercam_masked_pgd\examples\A13\10_1036_2_clean-A13_adv-A15.png,A13,0.599698,A15,0.961586,0.072555
