method,epsilon_px,class,n_test,clean_accuracy,adv_accuracy,accuracy_drop,attack_success_rate_clean_correct
layercam_masked_pgd,1,A1,1092,0.916667,0.076007,0.840659,0.917083
layercam_masked_pgd,1,A10,556,0.980216,0.379496,0.600719,0.612844
layercam_masked_pgd,1,A11,356,0.910112,0.272472,0.637640,0.700617
layercam_masked_pgd,1,A12,462,0.928571,0.192641,0.735931,0.792541
layercam_masked_pgd,1,A13,1091,0.688359,0.026581,0.661778,0.961385
layercam_masked_pgd,1,A14,1119,0.930295,0.048257,0.882038,0.948127
layercam_masked_pgd,1,A15,418,0.839713,0.011962,0.827751,0.985755
layercam_masked_pgd,1,A16,1847,0.753655,0.005414,0.748240,0.992816
layercam_masked_pgd,1,A17,958,0.967641,0.398747,0.568894,0.587918
layercam_masked_pgd,1,A18,148,0.918919,0.222973,0.695946,0.757353
layercam_masked_pgd,1,A19,717,0.831241,0.287308,0.543933,0.654362
layercam_masked_pgd,1,A2,993,0.917422,0.038268,0.879154,0.958288
layercam_masked_pgd,1,A20,551,0.885662,0.270417,0.615245,0.694672
layercam_masked_pgd,1,A3,860,0.967442,0.184884,0.782558,0.808894
layercam_masked_pgd,1,A4,463,0.926566,0.049676,0.876890,0.946387
layercam_masked_pgd,1,A5,827,0.753325,0.050786,0.702539,0.932584
layercam_masked_pgd,1,A6,334,0.943114,0.047904,0.895210,0.949206
layercam_masked_pgd,1,A7,489,0.989775,0.629857,0.359918,0.363636
layercam_masked_pgd,1,A8,579,0.898100,0.020725,0.877375,0.976923
layercam_masked_pgd,1,A9,611,0.906710,0.132570,0.774141,0.853791
