method,epsilon_px,class,source_path,example_path,clean_pred,clean_conf,adv_pred,adv_conf,mask_area
layercam_masked_pgd,1,A1,c:\Users\ryan5\Desktop\BBB\MAR20\Classification_Dataset\test\A1\1002_4.jpg,c:\Users\ryan5\Desktop\BBB\Evaluate_models\Adversarial_Attacks\efficientnetb0_pretrained_seed4\epsilon_1\layercam_masked_pgd\examples\A1\01_1002_4_clean-A1_adv-A19.png,A1,0.999974,A19,0.999978,0.070043
layercam_masked_pgd,1,A1,c:\Users\ryan5\Desktop\BBB\MAR20\Classification_Dataset\test\A1\1002_5.jpg,c:\Users\ryan5\Desktop\BBB\Evaluate_models\Adversarial_Attacks\efficientnetb0_pretrained_seed4\epsilon_1\layercam_masked_pgd\examples\A1\02_1002_5_clean-A1_adv-A19.png,A1,0.999996,A19,0.999939,0.077213
layercam_masked_pgd,1,A1,c:\Users\ryan5\Desktop\BBB\MAR20\Classification_Dataset\test\A1\1002_6.jpg,c:\Users\ryan5\Desktop\BBB\Evaluate_models\Adversarial_Attacks\efficientnetb0_pretrained_seed4\epsilon_1\layercam_masked_pgd\examples\A1\03_1002_6_clean-A1_adv-A19.png,A1,0.999614,A19,1.000000,0.074298
layercam_masked_pgd,1,A1,c:\Users\ryan5\Desktop\BBB\MAR20\Classification_Dataset\test\A1\1002_7.jpg,c:\Users\ryan5\Desktop\BBB\Evaluate_models\Adversarial_Attacks\efficientnetb0_pretrained_seed4\epsilon_1\layercam_masked_pgd\examples\A1\04_1002_7_clean-A1_adv-A19.png,A1,0.993278,A19,0.999998,0.066865
layercam_masked_pgd,1,A1,c:\Users\ryan5\Desktop\BBB\MAR20\Classification_Dataset\test\A1\1016_0.jpg,c:\Users\ryan5\Desktop\BBB\Evaluate_models\Adversarial_Attacks\efficientnetb0_pretrained_seed4\epsilon_1\layercam_masked_pgd\examples\A1\05_1016_0_clean-A1_adv-A16.png,A1,0.963924,A16,0.994410,0.076605
layercam_masked_pgd,1,A1,c:\Users\ryan5\Desktop\BBB\MAR20\Classification_Dataset\test\A1\1016_1.jpg,c:\Users\ryan5\Desktop\BBB\Evaluate_models\Adversarial_Attacks\efficientnetb0_pretrained_seed4\epsilon_1\layercam_masked_pgd\examples\A1\06_1016_1_clean-A1_adv-A20.png,A1,0.858421,A20,0.996657,0.083865
layercam_masked_pgd,1,A1,c:\Users\ryan5\Desktop\BBB\MAR20\Classification_Dataset\test\A1\1016_3.jpg,c:\Users\ryan5\Desktop\BBB\Evaluate_models\Adversarial_Attacks\efficientnetb0_pretrained_seed4\epsilon_1\layercam_masked_pgd\examples\A1\07_1016_3_clean-A1_adv-A19.png,A1,0.637700,A19,0.999878,0.096984
layercam_masked_pgd,1,A1,c:\Users\ryan5\Desktop\BBB\MAR20\Classification_Dataset\test\A1\1018_0.jpg,c:\Users\ryan5\Desktop\BBB\Evaluate_models\Adversarial_Attacks\efficientnetb0_pretrained_seed4\epsilon_1\layercam_masked_pgd\examples\A1\08_1018_0_clean-A1_adv-A20.png,A1,0.587129,A20,0.999822,0.065898
layercam_masked_pgd,1,A1,c:\Users\ryan5\Desktop\BBB\MAR20\Classification_Dataset\test\A1\1018_1.jpg,c:\Users\ryan5\Desktop\BBB\Evaluate_models\Adversarial_Attacks\efficientnetb0_pretrained_seed4\epsilon_1\layercam_masked_pgd\examples\A1\09_1018_1_clean-A1_adv-A19.png,A1,0.761259,A19,0.984642,0.091423
layercam_masked_pgd,1,A1,c:\Users\ryan5\Desktop\BBB\MAR20\Classification_Dataset\test\A1\1018_2.jpg,c:\Users\ryan5\Desktop\BBB\Evaluate_models\Adversarial_Attacks\efficientnetb0_pretrained_seed4\epsilon_1\layercam_masked_pgd\examples\A1\10_1018_2_clean-A1_adv-A20.png,A1,0.992243,A20,0.999589,0.095972
layercam_masked_pgd,1,A10,c:\Users\ryan5\Desktop\BBB\MAR20\Classification_Dataset\test\A10\1040_0.jpg,c:\Users\ryan5\Desktop\BBB\Evaluate_models\Adversarial_Attacks\efficientnetb0_pretrained_seed4\epsilon_1\layercam_masked_pgd\examples\A10\01_1040_0_clean-A10_adv-A10.png,A10,1.000000,A10,0.998891,0.045874
layercam_masked_pgd,1,A10,c:\Users\ryan5\Desktop\BBB\MAR20\Classification_Dataset\test\A10\1040_1.jpg,c:\Users\ryan5\Desktop\BBB\Evaluate_models\Adversarial_Attacks\efficientnetb0_pretrained_seed4\epsilon_1\layercam_masked_pgd\examples\A10\02_1040_1_clean-A10_adv-A10.png,A10,0.999999,A10,0.523192,0.046327
layercam_masked_pgd,1,A10,c:\Users\ryan5\Desktop\BBB\MAR20\Classification_Dataset\test\A10\1040_2.jpg,c:\Users\ryan5\Desktop\BBB\Evaluate_models\Adversarial_Attacks\efficientnetb0_pretrained_seed4\epsilon_1\layercam_masked_pgd\examples\A10\03_1040_2_clean-A10_adv-A10.png,A10,1.000000,A10,0.999504,0.048096
layercam_masked_pgd,1,A10,c:\Users\ryan5\Desktop\BBB\MAR20\Classification_Dataset\test\A10\1040_3.jpg,c:\Users\ryan5\Desktop\BBB\Evaluate_models\Adversarial_Attacks\efficientnetb0_pretrained_seed4\epsilon_1\layercam_masked_pgd\examples\A10\04_1040_3_clean-A10_adv-A10.png,A10,1.000000,A10,0.978961,0.047373
layercam_masked_pgd,1,A10,c:\Users\ryan5\Desktop\BBB\MAR20\Classification_Dataset\test\A10\1057_0.jpg,c:\Users\ryan5\Desktop\BBB\Evaluate_models\Adversarial_Attacks\efficientnetb0_pretrained_seed4\epsilon_1\layercam_masked_pgd\examples\A10\05_1057_0_clean-A10_adv-A15.png,A10,0.999665,A15,0.999869,0.067482
layercam_masked_pgd,1,A10,c:\Users\ryan5\Desktop\BBB\MAR20\Classification_Dataset\test\A10\1057_1.jpg,c:\Users\ryan5\Desktop\BBB\Evaluate_models\Adversarial_Attacks\efficientnetb0_pretrained_seed4\epsilon_1\layercam_masked_pgd\examples\A10\06_1057_1_clean-A10_adv-A15.png,A10,0.999799,A15,0.999928,0.064358
layercam_masked_pgd,1,A10,c:\Users\ryan5\Desktop\BBB\MAR20\Classification_Dataset\test\A10\1057_2.jpg,c:\Users\ryan5\Desktop\BBB\Evaluate_models\Adversarial_Attacks\efficientnetb0_pretrained_seed4\epsilon_1\layercam_masked_pgd\examples\A10\07_1057_2_clean-A10_adv-A15.png,A10,0.997522,A15,0.999973,0.072749
layercam_masked_pgd,1,A10,c:\Users\ryan5\Desktop\BBB\MAR20\Classification_Dataset\test\A10\1057_3.jpg,c:\Users\ryan5\Desktop\BBB\Evaluate_models\Adversarial_Attacks\efficientnetb0_pretrained_seed4\epsilon_1\layercam_masked_pgd\examples\A10\08_1057_3_clean-A10_adv-A15.png,A10,0.999478,A15,0.999915,0.068235
