method,epsilon_px,class,n_test,clean_accuracy,adv_accuracy,accuracy_drop,attack_success_rate_clean_correct
standard_pgd,1,A1,1092,0.916667,0.000000,0.916667,1.000000
standard_pgd,1,A10,556,0.980216,0.000000,0.980216,1.000000
standard_pgd,1,A11,356,0.910112,0.000000,0.910112,1.000000
standard_pgd,1,A12,462,0.928571,0.000000,0.928571,1.000000
standard_pgd,1,A13,1091,0.688359,0.000000,0.688359,1.000000
standard_pgd,1,A14,1119,0.930295,0.000000,0.930295,1.000000
standard_pgd,1,A15,418,0.839713,0.000000,0.839713,1.000000
standard_pgd,1,A16,1847,0.753655,0.000000,0.753655,1.000000
standard_pgd,1,A17,958,0.967641,0.000000,0.967641,1.000000
standard_pgd,1,A18,148,0.918919,0.000000,0.918919,1.000000
standard_pgd,1,A19,717,0.831241,0.000000,0.831241,1.000000
standard_pgd,1,A2,993,0.917422,0.000000,0.917422,1.000000
standard_pgd,1,A20,551,0.885662,0.000000,0.885662,1.000000
standard_pgd,1,A3,860,0.967442,0.000000,0.967442,1.000000
standard_pgd,1,A4,463,0.926566,0.000000,0.926566,1.000000
standard_pgd,1,A5,827,0.753325,0.000000,0.753325,1.000000
standard_pgd,1,A6,334,0.943114,0.000000,0.943114,1.000000
standard_pgd,1,A7,489,0.989775,0.000000,0.989775,1.000000
standard_pgd,1,A8,579,0.898100,0.000000,0.898100,1.000000
standard_pgd,1,A9,611,0.906710,0.000000,0.906710,1.000000
