method,epsilon_px,class,n_test,clean_accuracy,adv_accuracy,accuracy_drop,attack_success_rate_clean_correct
layercam_masked_pgd,0.25,A1,1092,0.917582,0.714286,0.203297,0.221557
layercam_masked_pgd,0.25,A10,556,0.987410,0.915468,0.071942,0.072860
layercam_masked_pgd,0.25,A11,356,0.926966,0.789326,0.137640,0.148485
layercam_masked_pgd,0.25,A12,462,0.898268,0.722944,0.175325,0.195181
layercam_masked_pgd,0.25,A13,1091,0.687443,0.369386,0.318057,0.462667
layercam_masked_pgd,0.25,A14,1119,0.865952,0.652368,0.213584,0.246646
layercam_masked_pgd,0.25,A15,418,0.808612,0.504785,0.303828,0.375740
layercam_masked_pgd,0.25,A16,1847,0.511640,0.214402,0.297239,0.580952
layercam_masked_pgd,0.25,A17,958,0.972860,0.870564,0.102296,0.105150
layercam_masked_pgd,0.25,A18,148,0.804054,0.567568,0.236486,0.294118
layercam_masked_pgd,0.25,A19,717,0.781032,0.629010,0.152022,0.194643
layercam_masked_pgd,0.25,A2,993,0.811682,0.580060,0.231621,0.285360
layercam_masked_pgd,0.25,A20,551,0.916515,0.843920,0.072595,0.079208
layercam_masked_pgd,0.25,A3,860,0.975581,0.910465,0.065116,0.066746
layercam_masked_pgd,0.25,A4,463,0.928726,0.740821,0.187905,0.202326
layercam_masked_pgd,0.25,A5,827,0.769045,0.567110,0.201935,0.262579
layercam_masked_pgd,0.25,A6,334,0.961078,0.913174,0.047904,0.049844
layercam_masked_pgd,0.25,A7,489,0.983640,0.950920,0.032720,0.033264
layercam_masked_pgd,0.25,A8,579,0.867012,0.563040,0.303972,0.350598
layercam_masked_pgd,0.25,A9,611,0.880524,0.689034,0.191489,0.217472
