method,epsilon_px,class,source_path,example_path,clean_pred,clean_conf,adv_pred,adv_conf,mask_area
layercam_masked_pgd,0.25,A1,C:\Users\최병호\Desktop\과제\MAR20_Aircraft_Project\MAR20\Classification_Dataset\test\A1\1002_4.jpg,C:\Users\최병호\Desktop\과제\MAR20_Aircraft_Project\attacks\Adversarial_Attacks\proposed_efficientnetb0_se_mlp512_full_seed2\epsilon_0p25\layercam_masked_pgd\examples\A1\01_1002_4_clean-A1_adv-A1.png,A1,0.999997,A1,0.999718,0.081259
layercam_masked_pgd,0.25,A1,C:\Users\최병호\Desktop\과제\MAR20_Aircraft_Project\MAR20\Classification_Dataset\test\A1\1002_5.jpg,C:\Users\최병호\Desktop\과제\MAR20_Aircraft_Project\attacks\Adversarial_Attacks\proposed_efficientnetb0_se_mlp512_full_seed2\epsilon_0p25\layercam_masked_pgd\examples\A1\02_1002_5_clean-A1_adv-A1.png,A1,0.999999,A1,0.999954,0.085713
layercam_masked_pgd,0.25,A1,C:\Users\최병호\Desktop\과제\MAR20_Aircraft_Project\MAR20\Classification_Dataset\test\A1\1002_6.jpg,C:\Users\최병호\Desktop\과제\MAR20_Aircraft_Project\attacks\Adversarial_Attacks\proposed_efficientnetb0_se_mlp512_full_seed2\epsilon_0p25\layercam_masked_pgd\examples\A1\03_1002_6_clean-A1_adv-A1.png,A1,0.999995,A1,0.996881,0.082061
layercam_masked_pgd,0.25,A1,C:\Users\최병호\Desktop\과제\MAR20_Aircraft_Project\MAR20\Classification_Dataset\test\A1\1002_7.jpg,C:\Users\최병호\Desktop\과제\MAR20_Aircraft_Project\attacks\Adversarial_Attacks\proposed_efficientnetb0_se_mlp512_full_seed2\epsilon_0p25\layercam_masked_pgd\examples\A1\04_1002_7_clean-A1_adv-A1.png,A1,0.999964,A1,0.989892,0.064707
layercam_masked_pgd,0.25,A1,C:\Users\최병호\Desktop\과제\MAR20_Aircraft_Project\MAR20\Classification_Dataset\test\A1\1016_0.jpg,C:\Users\최병호\Desktop\과제\MAR20_Aircraft_Project\attacks\Adversarial_Attacks\proposed_efficientnetb0_se_mlp512_full_seed2\epsilon_0p25\layercam_masked_pgd\examples\A1\05_1016_0_clean-A1_adv-A19.png,A1,0.996841,A19,0.773166,0.106356
layercam_masked_pgd,0.25,A1,C:\Users\최병호\Desktop\과제\MAR20_Aircraft_Project\MAR20\Classification_Dataset\test\A1\1016_1.jpg,C:\Users\최병호\Desktop\과제\MAR20_Aircraft_Project\attacks\Adversarial_Attacks\proposed_efficientnetb0_se_mlp512_full_seed2\epsilon_0p25\layercam_masked_pgd\examples\A1\06_1016_1_clean-A1_adv-A1.png,A1,0.998057,A1,0.727832,0.125443
layercam_masked_pgd,0.25,A1,C:\Users\최병호\Desktop\과제\MAR20_Aircraft_Project\MAR20\Classification_Dataset\test\A1\1016_3.jpg,C:\Users\최병호\Desktop\과제\MAR20_Aircraft_Project\attacks\Adversarial_Attacks\proposed_efficientnetb0_se_mlp512_full_seed2\epsilon_0p25\layercam_masked_pgd\examples\A1\07_1016_3_clean-A1_adv-A19.png,A1,0.776757,A19,0.980298,0.060766
layercam_masked_pgd,0.25,A1,C:\Users\최병호\Desktop\과제\MAR20_Aircraft_Project\MAR20\Classification_Dataset\test\A1\1018_0.jpg,C:\Users\최병호\Desktop\과제\MAR20_Aircraft_Project\attacks\Adversarial_Attacks\proposed_efficientnetb0_se_mlp512_full_seed2\epsilon_0p25\layercam_masked_pgd\examples\A1\08_1018_0_clean-A1_adv-A1.png,A1,0.996867,A1,0.978435,0.046481
layercam_masked_pgd,0.25,A1,C:\Users\최병호\Desktop\과제\MAR20_Aircraft_Project\MAR20\Classification_Dataset\test\A1\1018_1.jpg,C:\Users\최병호\Desktop\과제\MAR20_Aircraft_Project\attacks\Adversarial_Attacks\proposed_efficientnetb0_se_mlp512_full_seed2\epsilon_0p25\layercam_masked_pgd\examples\A1\09_1018_1_clean-A1_adv-A1.png,A1,0.996269,A1,0.986433,0.049401
layercam_masked_pgd,0.25,A1,C:\Users\최병호\Desktop\과제\MAR20_Aircraft_Project\MAR20\Classification_Dataset\test\A1\1018_2.jpg,C:\Users\최병호\Desktop\과제\MAR20_Aircraft_Project\attacks\Adversarial_Attacks\proposed_efficientnetb0_se_mlp512_full_seed2\epsilon_0p25\layercam_masked_pgd\examples\A1\10_1018_2_clean-A1_adv-A1.png,A1,0.999507,A1,0.996339,0.058708
