method,epsilon_px,class,source_path,example_path,clean_pred,clean_conf,adv_pred,adv_conf,mask_area
standard_pgd,0.5,A1,C:\Users\최병호\Desktop\과제\MAR20_Aircraft_Project\MAR20\Classification_Dataset\test\A1\1002_4.jpg,C:\Users\최병호\Desktop\과제\MAR20_Aircraft_Project\attacks\Adversarial_Attacks\proposed_efficientnetb0_se_mlp512_full_seed2\epsilon_0p5\standard_pgd\examples\A1\01_1002_4_clean-A1_adv-A19.png,A1,0.999997,A19,1.000000,1.000000
standard_pgd,0.5,A1,C:\Users\최병호\Desktop\과제\MAR20_Aircraft_Project\MAR20\Classification_Dataset\test\A1\1002_5.jpg,C:\Users\최병호\Desktop\과제\MAR20_Aircraft_Project\attacks\Adversarial_Attacks\proposed_efficientnetb0_se_mlp512_full_seed2\epsilon_0p5\standard_pgd\examples\A1\02_1002_5_clean-A1_adv-A19.png,A1,0.999999,A19,1.000000,1.000000
standard_pgd,0.5,A1,C:\Users\최병호\Desktop\과제\MAR20_Aircraft_Project\MAR20\Classification_Dataset\test\A1\1002_6.jpg,C:\Users\최병호\Desktop\과제\MAR20_Aircraft_Project\attacks\Adversarial_Attacks\proposed_efficientnetb0_se_mlp512_full_seed2\epsilon_0p5\standard_pgd\examples\A1\03_1002_6_clean-A1_adv-A19.png,A1,0.999995,A19,1.000000,1.000000
standard_pgd,0.5,A1,C:\Users\최병호\Desktop\과제\MAR20_Aircraft_Project\MAR20\Classification_Dataset\test\A1\1002_7.jpg,C:\Users\최병호\Desktop\과제\MAR20_Aircraft_Project\attacks\Adversarial_Attacks\proposed_efficientnetb0_se_mlp512_full_seed2\epsilon_0p5\standard_pgd\examples\A1\04_1002_7_clean-A1_adv-A19.png,A1,0.999964,A19,1.000000,1.000000
standard_pgd,0.5,A1,C:\Users\최병호\Desktop\과제\MAR20_Aircraft_Project\MAR20\Classification_Dataset\test\A1\1016_0.jpg,C:\Users\최병호\Desktop\과제\MAR20_Aircraft_Project\attacks\Adversarial_Attacks\proposed_efficientnetb0_se_mlp512_full_seed2\epsilon_0p5\standard_pgd\examples\A1\05_1016_0_clean-A1_adv-A19.png,A1,0.996841,A19,1.000000,1.000000
standard_pgd,0.5,A1,C:\Users\최병호\Desktop\과제\MAR20_Aircraft_Project\MAR20\Classification_Dataset\test\A1\1016_1.jpg,C:\Users\최병호\Desktop\과제\MAR20_Aircraft_Project\attacks\Adversarial_Attacks\proposed_efficientnetb0_se_mlp512_full_seed2\epsilon_0p5\standard_pgd\examples\A1\06_1016_1_clean-A1_adv-A16.png,A1,0.998057,A16,1.000000,1.000000
standard_pgd,0.5,A1,C:\Users\최병호\Desktop\과제\MAR20_Aircraft_Project\MAR20\Classification_Dataset\test\A1\1016_3.jpg,C:\Users\최병호\Desktop\과제\MAR20_Aircraft_Project\attacks\Adversarial_Attacks\proposed_efficientnetb0_se_mlp512_full_seed2\epsilon_0p5\standard_pgd\examples\A1\07_1016_3_clean-A1_adv-A19.png,A1,0.776757,A19,1.000000,1.000000
standard_pgd,0.5,A1,C:\Users\최병호\Desktop\과제\MAR20_Aircraft_Project\MAR20\Classification_Dataset\test\A1\1018_0.jpg,C:\Users\최병호\Desktop\과제\MAR20_Aircraft_Project\attacks\Adversarial_Attacks\proposed_efficientnetb0_se_mlp512_full_seed2\epsilon_0p5\standard_pgd\examples\A1\08_1018_0_clean-A1_adv-A20.png,A1,0.996867,A20,0.999998,1.000000
standard_pgd,0.5,A1,C:\Users\최병호\Desktop\과제\MAR20_Aircraft_Project\MAR20\Classification_Dataset\test\A1\1018_1.jpg,C:\Users\최병호\Desktop\과제\MAR20_Aircraft_Project\attacks\Adversarial_Attacks\proposed_efficientnetb0_se_mlp512_full_seed2\epsilon_0p5\standard_pgd\examples\A1\09_1018_1_clean-A1_adv-A20.png,A1,0.996269,A20,0.999998,1.000000
standard_pgd,0.5,A1,C:\Users\최병호\Desktop\과제\MAR20_Aircraft_Project\MAR20\Classification_Dataset\test\A1\1018_2.jpg,C:\Users\최병호\Desktop\과제\MAR20_Aircraft_Project\attacks\Adversarial_Attacks\proposed_efficientnetb0_se_mlp512_full_seed2\epsilon_0p5\standard_pgd\examples\A1\10_1018_2_clean-A1_adv-A20.png,A1,0.999507,A20,0.999998,1.000000
standard_pgd,0.5,A10,C:\Users\최병호\Desktop\과제\MAR20_Aircraft_Project\MAR20\Classification_Dataset\test\A10\1040_0.jpg,C:\Users\최병호\Desktop\과제\MAR20_Aircraft_Project\attacks\Adversarial_Attacks\proposed_efficientnetb0_se_mlp512_full_seed2\epsilon_0p5\standard_pgd\examples\A10\01_1040_0_clean-A10_adv-A13.png,A10,1.000000,A13,0.999999,1.000000
standard_pgd,0.5,A10,C:\Users\최병호\Desktop\과제\MAR20_Aircraft_Project\MAR20\Classification_Dataset\test\A10\1040_1.jpg,C:\Users\최병호\Desktop\과제\MAR20_Aircraft_Project\attacks\Adversarial_Attacks\proposed_efficientnetb0_se_mlp512_full_seed2\epsilon_0p5\standard_pgd\examples\A10\02_1040_1_clean-A10_adv-A13.png,A10,1.000000,A13,0.999998,1.000000
standard_pgd,0.5,A10,C:\Users\최병호\Desktop\과제\MAR20_Aircraft_Project\MAR20\Classification_Dataset\test\A10\1040_2.jpg,C:\Users\최병호\Desktop\과제\MAR20_Aircraft_Project\attacks\Adversarial_Attacks\proposed_efficientnetb0_se_mlp512_full_seed2\epsilon_0p5\standard_pgd\examples\A10\03_1040_2_clean-A10_adv-A13.png,A10,1.000000,A13,0.999971,1.000000
standard_pgd,0.5,A10,C:\Users\최병호\Desktop\과제\MAR20_Aircraft_Project\MAR20\Classification_Dataset\test\A10\1040_3.jpg,C:\Users\최병호\Desktop\과제\MAR20_Aircraft_Project\attacks\Adversarial_Attacks\proposed_efficientnetb0_se_mlp512_full_seed2\epsilon_0p5\standard_pgd\examples\A10\04_1040_3_clean-A10_adv-A13.png,A10,1.000000,A13,0.999977,1.000000
standard_pgd,0.5,A10,C:\Users\최병호\Desktop\과제\MAR20_Aircraft_Project\MAR20\Classification_Dataset\test\A10\1057_0.jpg,C:\Users\최병호\Desktop\과제\MAR20_Aircraft_Project\attacks\Adversarial_Attacks\proposed_efficientnetb0_se_mlp512_full_seed2\epsilon_0p5\standard_pgd\examples\A10\05_1057_0_clean-A10_adv-A15.png,A10,0.999997,A15,1.000000,1.000000
standard_pgd,0.5,A10,C:\Users\최병호\Desktop\과제\MAR20_Aircraft_Project\MAR20\Classification_Dataset\test\A10\1057_1.jpg,C:\Users\최병호\Desktop\과제\MAR20_Aircraft_Project\attacks\Adversarial_Attacks\proposed_efficientnetb0_se_mlp512_full_seed2\epsilon_0p5\standard_pgd\examples\A10\06_1057_1_clean-A10_adv-A15.png,A10,0.999982,A15,1.000000,1.000000
standard_pgd,0.5,A10,C:\Users\최병호\Desktop\과제\MAR20_Aircraft_Project\MAR20\Classification_Dataset\test\A10\1057_2.jpg,C:\Users\최병호\Desktop\과제\MAR20_Aircraft_Project\attacks\Adversarial_Attacks\proposed_efficientnetb0_se_mlp512_full_seed2\epsilon_0p5\standard_pgd\examples\A10\07_1057_2_clean-A10_adv-A15.png,A10,0.999941,A15,1.000000,1.000000
standard_pgd,0.5,A10,C:\Users\최병호\Desktop\과제\MAR20_Aircraft_Project\MAR20\Classification_Dataset\test\A10\1057_3.jpg,C:\Users\최병호\Desktop\과제\MAR20_Aircraft_Project\attacks\Adversarial_Attacks\proposed_efficientnetb0_se_mlp512_full_seed2\epsilon_0p5\standard_pgd\examples\A10\08_1057_3_clean-A10_adv-A15.png,A10,0.999981,A15,1.000000,1.000000
standard_pgd,0.5,A10,C:\Users\최병호\Desktop\과제\MAR20_Aircraft_Project\MAR20\Classification_Dataset\test\A10\1057_4.jpg,C:\Users\최병호\Desktop\과제\MAR20_Aircraft_Project\attacks\Adversarial_Attacks\proposed_efficientnetb0_se_mlp512_full_seed2\epsilon_0p5\standard_pgd\examples\A10\09_1057_4_clean-A10_adv-A14.png,A10,1.000000,A14,1.000000,1.000000
standard_pgd,0.5,A10,C:\Users\최병호\Desktop\과제\MAR20_Aircraft_Project\MAR20\Classification_Dataset\test\A10\1057_5.jpg,C:\Users\최병호\Desktop\과제\MAR20_Aircraft_Project\attacks\Adversarial_Attacks\proposed_efficientnetb0_se_mlp512_full_seed2\epsilon_0p5\standard_pgd\examples\A10\10_1057_5_clean-A10_adv-A15.png,A10,0.999789,A15,1.000000,1.000000
standard_pgd,0.5,A11,C:\Users\최병호\Desktop\과제\MAR20_Aircraft_Project\MAR20\Classification_Dataset\test\A11\1057_6.jpg,C:\Users\최병호\Desktop\과제\MAR20_Aircraft_Project\attacks\Adversarial_Attacks\proposed_efficientnetb0_se_mlp512_full_seed2\epsilon_0p5\standard_pgd\examples\A11\01_1057_6_clean-A11_adv-A14.png,A11,0.578755,A14,1.000000,1.000000
standard_pgd,0.5,A11,C:\Users\최병호\Desktop\과제\MAR20_Aircraft_Project\MAR20\Classification_Dataset\test\A11\1065_0.jpg,C:\Users\최병호\Desktop\과제\MAR20_Aircraft_Project\attacks\Adversarial_Attacks\proposed_efficientnetb0_se_mlp512_full_seed2\epsilon_0p5\standard_pgd\examples\A11\02_1065_0_clean-A11_adv-A17.png,A11,0.997459,A17,1.000000,1.000000
standard_pgd,0.5,A11,C:\Users\최병호\Desktop\과제\MAR20_Aircraft_Project\MAR20\Classification_Dataset\test\A11\1065_1.jpg,C:\Users\최병호\Desktop\과제\MAR20_Aircraft_Project\attacks\Adversarial_Attacks\proposed_efficientnetb0_se_mlp512_full_seed2\epsilon_0p5\standard_pgd\examples\A11\03_1065_1_clean-A11_adv-A17.png,A11,0.946119,A17,1.000000,1.000000
standard_pgd,0.5,A11,C:\Users\최병호\Desktop\과제\MAR20_Aircraft_Project\MAR20\Classification_Dataset\test\A11\1076_7.jpg,C:\Users\최병호\Desktop\과제\MAR20_Aircraft_Project\attacks\Adversarial_Attacks\proposed_efficientnetb0_se_mlp512_full_seed2\epsilon_0p5\standard_pgd\examples\A11\04_1076_7_clean-A11_adv-A17.png,A11,0.999800,A17,0.617284,1.000000
standard_pgd,0.5,A11,C:\Users\최병호\Desktop\과제\MAR20_Aircraft_Project\MAR20\Classification_Dataset\test\A11\1076_8.jpg,C:\Users\최병호\Desktop\과제\MAR20_Aircraft_Project\attacks\Adversarial_Attacks\proposed_efficientnetb0_se_mlp512_full_seed2\epsilon_0p5\standard_pgd\examples\A11\05_1076_8_clean-A11_adv-A6.png,A11,0.999908,A6,0.993446,1.000000
standard_pgd,0.5,A11,C:\Users\최병호\Desktop\과제\MAR20_Aircraft_Project\MAR20\Classification_Dataset\test\A11\1114_1.jpg,C:\Users\최병호\Desktop\과제\MAR20_Aircraft_Project\attacks\Adversarial_Attacks\proposed_efficientnetb0_se_mlp512_full_seed2\epsilon_0p5\standard_pgd\examples\A11\06_1114_1_clean-A11_adv-A14.png,A11,0.999794,A14,0.999998,1.000000
standard_pgd,0.5,A11,C:\Users\최병호\Desktop\과제\MAR20_Aircraft_Project\MAR20\Classification_Dataset\test\A11\1117_1.jpg,C:\Users\최병호\Desktop\과제\MAR20_Aircraft_Project\attacks\Adversarial_Attacks\proposed_efficientnetb0_se_mlp512_full_seed2\epsilon_0p5\standard_pgd\examples\A11\07_1117_1_clean-A11_adv-A17.png,A11,0.999708,A17,1.000000,1.000000
