method,epsilon_px,class,n_test,clean_accuracy,adv_accuracy,accuracy_drop,attack_success_rate_clean_correct
layercam_masked_pgd,1,A1,1092,0.917582,0.086996,0.830586,0.905190
layercam_masked_pgd,1,A10,556,0.987410,0.210432,0.776978,0.786885
layercam_masked_pgd,1,A11,356,0.926966,0.294944,0.632022,0.681818
layercam_masked_pgd,1,A12,462,0.898268,0.138528,0.759740,0.845783
layercam_masked_pgd,1,A13,1091,0.687443,0.035747,0.651696,0.948000
layercam_masked_pgd,1,A14,1119,0.865952,0.067024,0.798928,0.922601
layercam_masked_pgd,1,A15,418,0.808612,0.028708,0.779904,0.964497
layercam_masked_pgd,1,A16,1847,0.511640,0.009204,0.502436,0.982011
layercam_masked_pgd,1,A17,958,0.972860,0.081420,0.891441,0.916309
layercam_masked_pgd,1,A18,148,0.804054,0.101351,0.702703,0.873950
layercam_masked_pgd,1,A19,717,0.781032,0.110181,0.670851,0.858929
layercam_masked_pgd,1,A2,993,0.811682,0.018127,0.793555,0.977667
layercam_masked_pgd,1,A20,551,0.916515,0.624319,0.292196,0.318812
layercam_masked_pgd,1,A3,860,0.975581,0.123256,0.852326,0.873659
layercam_masked_pgd,1,A4,463,0.928726,0.047516,0.881210,0.948837
layercam_masked_pgd,1,A5,827,0.769045,0.021765,0.747279,0.971698
layercam_masked_pgd,1,A6,334,0.961078,0.158683,0.802395,0.834891
layercam_masked_pgd,1,A7,489,0.983640,0.259714,0.723926,0.735967
layercam_masked_pgd,1,A8,579,0.867012,0.012090,0.854922,0.986056
layercam_masked_pgd,1,A9,611,0.880524,0.142390,0.738134,0.838290
