"checkpoint","model_name","model_detail","model_family","weight_tag","seed","n_test","accuracy","precision_macro","recall_macro","f1_macro","precision_weighted","recall_weighted","f1_weighted"
"best_efficientnetb0_pretrained_seed1.pth","efficientnetb0","efficientnetb0","EfficientNet","pretrained","1","14471","0.852533","0.850880","0.873886","0.853669","0.870394","0.852533","0.853936"
"best_efficientnetb0_pretrained_seed2.pth","efficientnetb0","efficientnetb0","EfficientNet","pretrained","2","14471","0.872780","0.876418","0.886554","0.874877","0.891912","0.872780","0.876643"
"best_efficientnetb0_pretrained_seed3.pth","efficientnetb0","efficientnetb0","EfficientNet","pretrained","3","14471","0.826411","0.824819","0.846428","0.825066","0.855141","0.826411","0.832325"
"best_efficientnetb0_pretrained_seed4.pth","efficientnetb0","efficientnetb0","EfficientNet","pretrained","4","14471","0.873540","0.871630","0.892072","0.876203","0.890482","0.873540","0.876633"
"best_efficientnetb0_pretrained_seed5.pth","efficientnetb0","efficientnetb0","EfficientNet","pretrained","5","14471","0.821851","0.831187","0.852348","0.826317","0.856824","0.821851","0.825715"
"best_mobilenetv2_pretrained_seed1.pth","mobilenetv2","mobilenetv2","MobileNet","pretrained","1","14471","0.848386","0.860037","0.877930","0.860663","0.877366","0.848386","0.853397"
"best_mobilenetv2_pretrained_seed2.pth","mobilenetv2","mobilenetv2","MobileNet","pretrained","2","14471","0.850598","0.854108","0.881357","0.857118","0.878634","0.850598","0.854281"
"best_mobilenetv2_pretrained_seed3.pth","mobilenetv2","mobilenetv2","MobileNet","pretrained","3","14471","0.801119","0.834070","0.847766","0.828026","0.836248","0.801119","0.798305"
"best_mobilenetv2_pretrained_seed4.pth","mobilenetv2","mobilenetv2","MobileNet","pretrained","4","14471","0.863036","0.872165","0.887930","0.873159","0.884552","0.863036","0.866705"
"best_mobilenetv2_pretrained_seed5.pth","mobilenetv2","mobilenetv2","MobileNet","pretrained","5","14471","0.827517","0.841678","0.864353","0.842326","0.861548","0.827517","0.829260"
"best_mobilenetv3_pretrained_seed1.pth","mobilenetv3","mobilenetv3","MobileNet","pretrained","1","14471","0.848663","0.845285","0.861754","0.845185","0.870712","0.848663","0.853588"
"best_mobilenetv3_pretrained_seed2.pth","mobilenetv3","mobilenetv3","MobileNet","pretrained","2","14471","0.852947","0.858328","0.865193","0.855553","0.869031","0.852947","0.855382"
"best_mobilenetv3_pretrained_seed3.pth","mobilenetv3","mobilenetv3","MobileNet","pretrained","3","14471","0.823233","0.823517","0.848434","0.823261","0.854502","0.823233","0.828843"
"best_mobilenetv3_pretrained_seed4.pth","mobilenetv3","mobilenetv3","MobileNet","pretrained","4","14471","0.808514","0.800002","0.813889","0.796488","0.831430","0.808514","0.809585"
"best_mobilenetv3_pretrained_seed5.pth","mobilenetv3","mobilenetv3","MobileNet","pretrained","5","14471","0.866768","0.861219","0.877958","0.863385","0.884200","0.866768","0.870265"
"best_resnet18_pretrained_seed1.pth","resnet18","resnet18","ResNet","pretrained","1","14471","0.817082","0.848531","0.849956","0.838077","0.855661","0.817082","0.823932"
"best_resnet18_pretrained_seed2.pth","resnet18","resnet18","ResNet","pretrained","2","14471","0.838988","0.843425","0.860766","0.845034","0.859305","0.838988","0.842446"
"best_resnet18_pretrained_seed3.pth","resnet18","resnet18","ResNet","pretrained","3","14471","0.824960","0.839626","0.857371","0.837700","0.854163","0.824960","0.828069"
"best_resnet18_pretrained_seed4.pth","resnet18","resnet18","ResNet","pretrained","4","14471","0.829936","0.844696","0.863915","0.845789","0.856781","0.829936","0.834321"
"best_resnet18_pretrained_seed5.pth","resnet18","resnet18","ResNet","pretrained","5","14471","0.853707","0.865315","0.878368","0.865456","0.873576","0.853707","0.857258"
"best_resnet34_pretrained_seed1.pth","resnet34","resnet34","ResNet","pretrained","1","14471","0.847143","0.858062","0.869758","0.858270","0.865453","0.847143","0.850114"
"best_resnet34_pretrained_seed2.pth","resnet34","resnet34","ResNet","pretrained","2","14471","0.833529","0.847640","0.861693","0.845456","0.863707","0.833529","0.837791"
"best_resnet34_pretrained_seed3.pth","resnet34","resnet34","ResNet","pretrained","3","14471","0.824062","0.838841","0.853513","0.835774","0.858787","0.824062","0.828518"
"best_resnet34_pretrained_seed4.pth","resnet34","resnet34","ResNet","pretrained","4","14471","0.845139","0.850045","0.863309","0.850779","0.862668","0.845139","0.848540"
"best_resnet34_pretrained_seed5.pth","resnet34","resnet34","ResNet","pretrained","5","14471","0.823371","0.822376","0.845413","0.823907","0.848486","0.823371","0.828655"
"best_resnet50_pretrained_seed1.pth","resnet50","resnet50","ResNet","pretrained","1","14471","0.797872","0.803584","0.825800","0.806976","0.818915","0.797872","0.800155"
"best_resnet50_pretrained_seed2.pth","resnet50","resnet50","ResNet","pretrained","2","14471","0.765600","0.773063","0.790475","0.769140","0.796003","0.765600","0.768205"
"best_resnet50_pretrained_seed3.pth","resnet50","resnet50","ResNet","pretrained","3","14471","0.788404","0.795125","0.822302","0.795202","0.820604","0.788404","0.789952"
"best_resnet50_pretrained_seed4.pth","resnet50","resnet50","ResNet","pretrained","4","14471","0.731878","0.749989","0.776095","0.740094","0.786953","0.731878","0.738937"
"best_resnet50_pretrained_seed5.pth","resnet50","resnet50","ResNet","pretrained","5","14471","0.716467","0.730607","0.753793","0.714824","0.773593","0.716467","0.718821"
