stage,model_name,attention,head,activation,train_scope,seed,epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec,is_best,early_stop_counter,grad_accum_steps,effective_batch_size
stage4_scope,efficientnetb0_eca_added_only,eca,linear,relu,added_only,1,1,2.27079391,0.37010506,2.43498633,0.40176322,0.0010000000,21.0152,1,0,1,64
stage4_scope,efficientnetb0_eca_added_only,eca,linear,relu,added_only,1,2,1.64864775,0.58293537,2.29792659,0.40302267,0.0010000000,17.9961,1,0,1,64
stage4_scope,efficientnetb0_eca_added_only,eca,linear,relu,added_only,1,3,1.36837081,0.64851958,2.26339775,0.37846348,0.0010000000,14.5126,1,0,1,64
stage4_scope,efficientnetb0_eca_added_only,eca,linear,relu,added_only,1,4,1.18763432,0.68497294,2.12976859,0.42191436,0.0010000000,17.7336,1,0,1,64
stage4_scope,efficientnetb0_eca_added_only,eca,linear,relu,added_only,1,5,1.07004842,0.71665075,1.78057627,0.55982368,0.0010000000,14.5822,1,0,1,64
stage4_scope,efficientnetb0_eca_added_only,eca,linear,relu,added_only,1,6,0.97855626,0.73177332,1.95834189,0.48173804,0.0010000000,14.4749,0,1,1,64
stage4_scope,efficientnetb0_eca_added_only,eca,linear,relu,added_only,1,7,0.91945264,0.75421840,1.91999036,0.49055416,0.0010000000,17.6168,0,2,1,64
stage4_scope,efficientnetb0_eca_added_only,eca,linear,relu,added_only,1,8,0.86304807,0.75756129,1.85589853,0.49622166,0.0010000000,14.7851,0,3,1,64
stage4_scope,efficientnetb0_eca_added_only,eca,linear,relu,added_only,1,9,0.81680779,0.77316141,1.85199594,0.49874055,0.0010000000,14.2025,0,4,1,64
stage4_scope,efficientnetb0_eca_added_only,eca,linear,relu,added_only,1,10,0.78359392,0.78080229,1.66982154,0.56989924,0.0010000000,15.3324,1,0,1,64
stage4_scope,efficientnetb0_eca_added_only,eca,linear,relu,added_only,1,11,0.76172152,0.78319007,1.91183180,0.42002519,0.0010000000,17.2017,0,1,1,64
stage4_scope,efficientnetb0_eca_added_only,eca,linear,relu,added_only,1,12,0.73186658,0.78955747,1.40977051,0.59634761,0.0010000000,16.8954,1,0,1,64
stage4_scope,efficientnetb0_eca_added_only,eca,linear,relu,added_only,1,13,0.69971192,0.80149634,1.65064182,0.53022670,0.0010000000,13.8169,0,1,1,64
stage4_scope,efficientnetb0_eca_added_only,eca,linear,relu,added_only,1,14,0.67897906,0.80531678,1.59355788,0.56989924,0.0010000000,15.7782,0,2,1,64
stage4_scope,efficientnetb0_eca_added_only,eca,linear,relu,added_only,1,15,0.64298636,0.81534543,1.91051023,0.42632242,0.0010000000,17.0453,0,3,1,64
stage4_scope,efficientnetb0_eca_added_only,eca,linear,relu,added_only,1,16,0.64293792,0.81152499,1.63573342,0.54722922,0.0010000000,17.6787,0,4,1,64
stage4_scope,efficientnetb0_eca_added_only,eca,linear,relu,added_only,1,17,0.62043788,0.82012098,1.54578656,0.56801008,0.0010000000,16.7321,0,5,1,64
stage4_scope,efficientnetb0_eca_added_only,eca,linear,relu,added_only,1,18,0.60036517,0.82330468,1.61580413,0.53967254,0.0001000000,19.8915,0,6,1,64
stage4_scope,efficientnetb0_eca_added_only,eca,linear,relu,added_only,1,19,0.59077058,0.82298631,1.59608511,0.53904282,0.0001000000,17.7385,0,7,1,64
stage4_scope,efficientnetb0_eca_added_only,eca,linear,relu,added_only,1,20,0.59260308,0.82712512,1.75458071,0.48299748,0.0001000000,20.2288,0,8,1,64
stage4_scope,efficientnetb0_eca_added_only,eca,linear,relu,added_only,1,21,0.57428212,0.83444763,1.60344937,0.54345088,0.0001000000,19.5191,0,9,1,64
stage4_scope,efficientnetb0_eca_added_only,eca,linear,relu,added_only,1,22,0.58466604,0.82489653,1.52397533,0.57556675,0.0001000000,18.1206,0,10,1,64
