stage,model_name,attention,head,activation,train_scope,seed,epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec,is_best,early_stop_counter,grad_accum_steps,effective_batch_size
stage3_ablation,efficientnetb0_eca_full,eca,linear,relu,full,3,1,0.97827890,0.71012416,0.85894189,0.70403023,0.0010000000,19.6824,1,0,1,64
stage3_ablation,efficientnetb0_eca_full,eca,linear,relu,full,3,2,0.23694354,0.92629736,0.31038664,0.89546599,0.0010000000,20.7125,1,0,1,64
stage3_ablation,efficientnetb0_eca_full,eca,linear,relu,full,3,3,0.15621479,0.95192614,0.22305355,0.93513854,0.0010000000,22.9217,1,0,1,64
stage3_ablation,efficientnetb0_eca_full,eca,linear,relu,full,3,4,0.09141998,0.97293855,0.14316998,0.95528967,0.0010000000,22.5291,1,0,1,64
stage3_ablation,efficientnetb0_eca_full,eca,linear,relu,full,3,5,0.09132589,0.97277937,0.11599426,0.96725441,0.0010000000,22.9233,1,0,1,64
stage3_ablation,efficientnetb0_eca_full,eca,linear,relu,full,3,6,0.06329975,0.97930595,0.24210480,0.92758186,0.0010000000,22.4747,0,1,1,64
stage3_ablation,efficientnetb0_eca_full,eca,linear,relu,full,3,7,0.06632442,0.97914677,0.11859232,0.96032746,0.0010000000,21.1231,0,2,1,64
stage3_ablation,efficientnetb0_eca_full,eca,linear,relu,full,3,8,0.05492674,0.98328558,0.09476976,0.97670025,0.0010000000,21.0266,1,0,1,64
stage3_ablation,efficientnetb0_eca_full,eca,linear,relu,full,3,9,0.04536179,0.98806113,0.10442048,0.97292191,0.0010000000,40.6042,0,1,1,64
stage3_ablation,efficientnetb0_eca_full,eca,linear,relu,full,3,10,0.02856334,0.99188157,0.12883599,0.96473552,0.0010000000,33.6623,0,2,1,64
stage3_ablation,efficientnetb0_eca_full,eca,linear,relu,full,3,11,0.03579146,0.98822031,0.23321785,0.93891688,0.0010000000,21.0450,0,3,1,64
stage3_ablation,efficientnetb0_eca_full,eca,linear,relu,full,3,12,0.03243739,0.98997135,0.15549839,0.95277078,0.0010000000,20.6204,0,4,1,64
stage3_ablation,efficientnetb0_eca_full,eca,linear,relu,full,3,13,0.08104656,0.97596307,0.28896319,0.92254408,0.0010000000,26.1832,0,5,1,64
