stage,model_name,attention,head,activation,train_scope,seed,epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec,is_best,early_stop_counter,grad_accum_steps,effective_batch_size
stage4_scope,efficientnetb0_eca_last2,eca,linear,relu,last2,2,1,1.33742973,0.60283349,1.11117912,0.68639798,0.0010000000,13.5468,1,0,1,64
stage4_scope,efficientnetb0_eca_last2,eca,linear,relu,last2,2,2,0.50717273,0.84495384,0.79073773,0.75188917,0.0010000000,13.0466,1,0,1,64
stage4_scope,efficientnetb0_eca_last2,eca,linear,relu,last2,2,3,0.33874068,0.89111748,0.65784453,0.78967254,0.0010000000,13.3274,1,0,1,64
stage4_scope,efficientnetb0_eca_last2,eca,linear,relu,last2,2,4,0.25496042,0.91515441,0.73635645,0.77392947,0.0010000000,13.8168,0,1,1,64
stage4_scope,efficientnetb0_eca_last2,eca,linear,relu,last2,2,5,0.21146465,0.92836676,0.62360068,0.80478589,0.0010000000,13.6729,1,0,1,64
stage4_scope,efficientnetb0_eca_last2,eca,linear,relu,last2,2,6,0.16425813,0.94428526,0.73621251,0.77707809,0.0010000000,13.4677,0,1,1,64
stage4_scope,efficientnetb0_eca_last2,eca,linear,relu,last2,2,7,0.14066021,0.95351799,0.55164176,0.83249370,0.0010000000,13.6834,1,0,1,64
stage4_scope,efficientnetb0_eca_last2,eca,linear,relu,last2,2,8,0.12464432,0.95908946,0.56210284,0.84319899,0.0010000000,13.7152,0,1,1,64
stage4_scope,efficientnetb0_eca_last2,eca,linear,relu,last2,2,9,0.14274637,0.95479147,0.55593544,0.83501259,0.0010000000,13.4522,0,2,1,64
stage4_scope,efficientnetb0_eca_last2,eca,linear,relu,last2,2,10,0.11407778,0.96147724,0.52612310,0.83186398,0.0010000000,13.9040,1,0,1,64
stage4_scope,efficientnetb0_eca_last2,eca,linear,relu,last2,2,11,0.10426110,0.96688953,0.52062199,0.83312343,0.0010000000,13.4382,1,0,1,64
stage4_scope,efficientnetb0_eca_last2,eca,linear,relu,last2,2,12,0.08086741,0.97437122,0.54091307,0.82997481,0.0010000000,13.8455,0,1,1,64
stage4_scope,efficientnetb0_eca_last2,eca,linear,relu,last2,2,13,0.09509775,0.96800382,0.50637681,0.84949622,0.0010000000,14.0362,1,0,1,64
stage4_scope,efficientnetb0_eca_last2,eca,linear,relu,last2,2,14,0.07178789,0.97596307,0.60500983,0.83690176,0.0010000000,14.2296,0,1,1,64
stage4_scope,efficientnetb0_eca_last2,eca,linear,relu,last2,2,15,0.07359772,0.97596307,0.52185822,0.84697733,0.0010000000,15.4419,0,2,1,64
stage4_scope,efficientnetb0_eca_last2,eca,linear,relu,last2,2,16,0.06773664,0.97914677,0.44765790,0.85579345,0.0010000000,16.5080,1,0,1,64
stage4_scope,efficientnetb0_eca_last2,eca,linear,relu,last2,2,17,0.06858191,0.97675899,0.47243127,0.85957179,0.0010000000,15.3058,0,1,1,64
stage4_scope,efficientnetb0_eca_last2,eca,linear,relu,last2,2,18,0.05759858,0.97946514,0.39299242,0.88350126,0.0010000000,20.2518,1,0,1,64
stage4_scope,efficientnetb0_eca_last2,eca,linear,relu,last2,2,19,0.06048177,0.97930595,0.60485002,0.84130982,0.0010000000,22.9002,0,1,1,64
stage4_scope,efficientnetb0_eca_last2,eca,linear,relu,last2,2,20,0.06536185,0.98010188,0.90285173,0.75818640,0.0010000000,19.8175,0,2,1,64
stage4_scope,efficientnetb0_eca_last2,eca,linear,relu,last2,2,21,0.07918918,0.97325692,0.44919853,0.85831234,0.0010000000,16.9034,0,3,1,64
stage4_scope,efficientnetb0_eca_last2,eca,linear,relu,last2,2,22,0.06441649,0.97962432,0.39937107,0.86649874,0.0010000000,15.9852,0,4,1,64
stage4_scope,efficientnetb0_eca_last2,eca,linear,relu,last2,2,23,0.05826813,0.98073862,0.37909029,0.86901763,0.0010000000,20.1983,1,0,1,64
stage4_scope,efficientnetb0_eca_last2,eca,linear,relu,last2,2,24,0.06423307,0.98201210,0.37782392,0.88224181,0.0010000000,18.3321,1,0,1,64
stage4_scope,efficientnetb0_eca_last2,eca,linear,relu,last2,2,25,0.04469252,0.98742439,0.31512837,0.90365239,0.0010000000,13.6824,1,0,1,64
stage4_scope,efficientnetb0_eca_last2,eca,linear,relu,last2,2,26,0.04642988,0.98392232,0.74753110,0.80856423,0.0010000000,13.8708,0,1,1,64
stage4_scope,efficientnetb0_eca_last2,eca,linear,relu,last2,2,27,0.04183302,0.98631009,0.42513261,0.87783375,0.0010000000,13.6873,0,2,1,64
stage4_scope,efficientnetb0_eca_last2,eca,linear,relu,last2,2,28,0.03745596,0.98631009,0.45747768,0.86335013,0.0010000000,13.8112,0,3,1,64
stage4_scope,efficientnetb0_eca_last2,eca,linear,relu,last2,2,29,0.04287642,0.98694683,0.52772123,0.85075567,0.0010000000,13.6508,0,4,1,64
stage4_scope,efficientnetb0_eca_last2,eca,linear,relu,last2,2,30,0.02834447,0.99092646,0.48663424,0.85957179,0.0010000000,13.6100,0,5,1,64
stage4_scope,efficientnetb0_eca_last2,eca,linear,relu,last2,2,31,0.03956028,0.98583254,0.46512069,0.85957179,0.0001000000,14.1099,0,6,1,64
stage4_scope,efficientnetb0_eca_last2,eca,linear,relu,last2,2,32,0.03046240,0.99092646,0.46677459,0.86335013,0.0001000000,14.0177,0,7,1,64
stage4_scope,efficientnetb0_eca_last2,eca,linear,relu,last2,2,33,0.02752864,0.99283668,0.37082227,0.89609572,0.0001000000,14.1185,0,8,1,64
stage4_scope,efficientnetb0_eca_last2,eca,linear,relu,last2,2,34,0.01873030,0.99442853,0.45151033,0.86649874,0.0001000000,14.1061,0,9,1,64
stage4_scope,efficientnetb0_eca_last2,eca,linear,relu,last2,2,35,0.02340827,0.99426934,0.42122254,0.87342569,0.0001000000,13.9351,0,10,1,64
