stage,model_name,attention,head,activation,train_scope,seed,epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec,is_best,early_stop_counter,grad_accum_steps,effective_batch_size
stage2_activation,efficientnetb0_eca_mlp512_silu_full,eca,mlp512,silu,full,1,1,1.01626711,0.67478510,0.65141087,0.77267003,0.0010000000,17.4127,1,0,1,64
stage2_activation,efficientnetb0_eca_mlp512_silu_full,eca,mlp512,silu,full,1,2,0.29054531,0.90305635,0.40115130,0.88413098,0.0010000000,17.3497,1,0,1,64
stage2_activation,efficientnetb0_eca_mlp512_silu_full,eca,mlp512,silu,full,1,3,0.18546975,0.93935053,0.24115118,0.91624685,0.0010000000,17.7903,1,0,1,64
stage2_activation,efficientnetb0_eca_mlp512_silu_full,eca,mlp512,silu,full,1,4,0.14361397,0.95510984,0.20019197,0.93639798,0.0010000000,17.7988,1,0,1,64
stage2_activation,efficientnetb0_eca_mlp512_silu_full,eca,mlp512,silu,full,1,5,0.11485560,0.96418338,0.11162505,0.96599496,0.0010000000,18.0455,1,0,1,64
stage2_activation,efficientnetb0_eca_mlp512_silu_full,eca,mlp512,silu,full,1,6,0.06333280,0.97898758,0.15770460,0.95528967,0.0010000000,17.8553,0,1,1,64
stage2_activation,efficientnetb0_eca_mlp512_silu_full,eca,mlp512,silu,full,1,7,0.04185204,0.98646928,0.16098380,0.95906801,0.0010000000,18.0281,0,2,1,64
stage2_activation,efficientnetb0_eca_mlp512_silu_full,eca,mlp512,silu,full,1,8,0.05864605,0.98312639,0.14079925,0.96032746,0.0010000000,17.5954,0,3,1,64
stage2_activation,efficientnetb0_eca_mlp512_silu_full,eca,mlp512,silu,full,1,9,0.05995756,0.98376313,0.13328355,0.95843829,0.0010000000,18.4355,0,4,1,64
stage2_activation,efficientnetb0_eca_mlp512_silu_full,eca,mlp512,silu,full,1,10,0.03663648,0.98949379,0.13791804,0.95654912,0.0010000000,19.5736,0,5,1,64
stage2_activation,efficientnetb0_eca_mlp512_silu_full,eca,mlp512,silu,full,1,11,0.03226034,0.98981216,0.16613657,0.95906801,0.0001000000,18.7178,0,6,1,64
stage2_activation,efficientnetb0_eca_mlp512_silu_full,eca,mlp512,silu,full,1,12,0.01999545,0.99411016,0.10297299,0.96977330,0.0001000000,19.0077,1,0,1,64
stage2_activation,efficientnetb0_eca_mlp512_silu_full,eca,mlp512,silu,full,1,13,0.01319902,0.99602038,0.09299303,0.97418136,0.0001000000,20.4337,1,0,1,64
stage2_activation,efficientnetb0_eca_mlp512_silu_full,eca,mlp512,silu,full,1,14,0.00636795,0.99872652,0.09033251,0.97544081,0.0001000000,19.0784,1,0,1,64
stage2_activation,efficientnetb0_eca_mlp512_silu_full,eca,mlp512,silu,full,1,15,0.00934499,0.99697549,0.08487557,0.97670025,0.0001000000,18.7103,1,0,1,64
stage2_activation,efficientnetb0_eca_mlp512_silu_full,eca,mlp512,silu,full,1,16,0.00689246,0.99793060,0.07974536,0.97858942,0.0001000000,18.6012,1,0,1,64
stage2_activation,efficientnetb0_eca_mlp512_silu_full,eca,mlp512,silu,full,1,17,0.00581338,0.99840815,0.07465693,0.98110831,0.0001000000,18.6569,1,0,1,64
stage2_activation,efficientnetb0_eca_mlp512_silu_full,eca,mlp512,silu,full,1,18,0.00434108,0.99872652,0.07409471,0.98110831,0.0001000000,18.9946,1,0,1,64
stage2_activation,efficientnetb0_eca_mlp512_silu_full,eca,mlp512,silu,full,1,19,0.00599355,0.99808978,0.08355505,0.97921914,0.0001000000,18.9425,0,1,1,64
stage2_activation,efficientnetb0_eca_mlp512_silu_full,eca,mlp512,silu,full,1,20,0.00500729,0.99824897,0.08142868,0.98047859,0.0001000000,20.3872,0,2,1,64
stage2_activation,efficientnetb0_eca_mlp512_silu_full,eca,mlp512,silu,full,1,21,0.00331874,0.99920408,0.08780948,0.97858942,0.0001000000,19.4278,0,3,1,64
stage2_activation,efficientnetb0_eca_mlp512_silu_full,eca,mlp512,silu,full,1,22,0.00317552,0.99936326,0.07741813,0.98047859,0.0001000000,19.5198,0,4,1,64
stage2_activation,efficientnetb0_eca_mlp512_silu_full,eca,mlp512,silu,full,1,23,0.00366392,0.99904489,0.08538972,0.97921914,0.0001000000,18.3851,0,5,1,64
stage2_activation,efficientnetb0_eca_mlp512_silu_full,eca,mlp512,silu,full,1,24,0.00379576,0.99888571,0.09214495,0.97670025,0.0000100000,20.2746,0,6,1,64
stage2_activation,efficientnetb0_eca_mlp512_silu_full,eca,mlp512,silu,full,1,25,0.00300488,0.99936326,0.09283422,0.97858942,0.0000100000,19.4200,0,7,1,64
stage2_activation,efficientnetb0_eca_mlp512_silu_full,eca,mlp512,silu,full,1,26,0.00225591,0.99968163,0.08824818,0.98047859,0.0000100000,19.2254,0,8,1,64
stage2_activation,efficientnetb0_eca_mlp512_silu_full,eca,mlp512,silu,full,1,27,0.00288636,0.99888571,0.08702232,0.97984887,0.0000100000,18.3376,0,9,1,64
stage2_activation,efficientnetb0_eca_mlp512_silu_full,eca,mlp512,silu,full,1,28,0.00208550,0.99936326,0.08908432,0.97670025,0.0000100000,18.3946,0,10,1,64
