stage,model_name,attention,head,activation,train_scope,seed,epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec,is_best,early_stop_counter,grad_accum_steps,effective_batch_size
stage3_ablation,efficientnetb0_mlp512_silu_full,none,mlp512,silu,full,3,1,0.90748029,0.70725883,0.47254413,0.84319899,0.0010000000,19.0382,1,0,1,64
stage3_ablation,efficientnetb0_mlp512_silu_full,none,mlp512,silu,full,3,2,0.26960436,0.91388093,0.38925882,0.90050378,0.0010000000,19.4622,1,0,1,64
stage3_ablation,efficientnetb0_mlp512_silu_full,none,mlp512,silu,full,3,3,0.15004407,0.95128940,0.19925355,0.93513854,0.0010000000,18.4086,1,0,1,64
stage3_ablation,efficientnetb0_mlp512_silu_full,none,mlp512,silu,full,3,4,0.13688497,0.95638332,0.15653378,0.95214106,0.0010000000,19.3227,1,0,1,64
stage3_ablation,efficientnetb0_mlp512_silu_full,none,mlp512,silu,full,3,5,0.10511993,0.96704871,0.24879000,0.91750630,0.0010000000,19.7664,0,1,1,64
stage3_ablation,efficientnetb0_mlp512_silu_full,none,mlp512,silu,full,3,6,0.12968710,0.95893028,0.28511817,0.92947103,0.0010000000,20.8179,0,2,1,64
stage3_ablation,efficientnetb0_mlp512_silu_full,none,mlp512,silu,full,3,7,0.10094508,0.96911812,0.17850478,0.95088161,0.0010000000,18.1695,0,3,1,64
stage3_ablation,efficientnetb0_mlp512_silu_full,none,mlp512,silu,full,3,8,0.05353302,0.98360395,0.17600753,0.95780856,0.0010000000,18.9337,0,4,1,64
stage3_ablation,efficientnetb0_mlp512_silu_full,none,mlp512,silu,full,3,9,0.05941923,0.98089780,0.23996532,0.94269521,0.0010000000,20.0449,0,5,1,64
stage3_ablation,efficientnetb0_mlp512_silu_full,none,mlp512,silu,full,3,10,0.05532119,0.98376313,0.22103275,0.95151134,0.0001000000,18.6386,0,6,1,64
stage3_ablation,efficientnetb0_mlp512_silu_full,none,mlp512,silu,full,3,11,0.02636060,0.99156320,0.11441846,0.97040302,0.0001000000,31.3573,1,0,1,64
stage3_ablation,efficientnetb0_mlp512_silu_full,none,mlp512,silu,full,3,12,0.01453093,0.99570201,0.09759146,0.97544081,0.0001000000,40.3465,1,0,1,64
stage3_ablation,efficientnetb0_mlp512_silu_full,none,mlp512,silu,full,3,13,0.01215511,0.99649793,0.09025767,0.97858942,0.0001000000,26.9692,1,0,1,64
stage3_ablation,efficientnetb0_mlp512_silu_full,none,mlp512,silu,full,3,14,0.01033841,0.99729386,0.10462441,0.97481108,0.0001000000,29.2066,0,1,1,64
stage3_ablation,efficientnetb0_mlp512_silu_full,none,mlp512,silu,full,3,15,0.00992512,0.99697549,0.10252157,0.97732997,0.0001000000,27.6070,0,2,1,64
stage3_ablation,efficientnetb0_mlp512_silu_full,none,mlp512,silu,full,3,16,0.00922155,0.99713467,0.11414020,0.97607053,0.0001000000,25.7267,0,3,1,64
stage3_ablation,efficientnetb0_mlp512_silu_full,none,mlp512,silu,full,3,17,0.00726690,0.99761223,0.09791760,0.97858942,0.0001000000,22.4188,0,4,1,64
stage3_ablation,efficientnetb0_mlp512_silu_full,none,mlp512,silu,full,3,18,0.00666420,0.99793060,0.10709164,0.97670025,0.0001000000,19.5987,0,5,1,64
stage3_ablation,efficientnetb0_mlp512_silu_full,none,mlp512,silu,full,3,19,0.00757057,0.99808978,0.09819568,0.97921914,0.0000100000,18.9513,0,6,1,64
stage3_ablation,efficientnetb0_mlp512_silu_full,none,mlp512,silu,full,3,20,0.00461683,0.99888571,0.10471317,0.97795970,0.0000100000,18.0072,0,7,1,64
stage3_ablation,efficientnetb0_mlp512_silu_full,none,mlp512,silu,full,3,21,0.00455916,0.99936326,0.10209232,0.97732997,0.0000100000,19.0016,0,8,1,64
stage3_ablation,efficientnetb0_mlp512_silu_full,none,mlp512,silu,full,3,22,0.00482844,0.99856734,0.09030302,0.98425693,0.0000100000,18.1970,0,9,1,64
stage3_ablation,efficientnetb0_mlp512_silu_full,none,mlp512,silu,full,3,23,0.00581005,0.99840815,0.09169250,0.98488665,0.0000100000,17.7156,0,10,1,64
