stage,model_name,attention,head,activation,train_scope,seed,epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec,is_best,early_stop_counter,grad_accum_steps,effective_batch_size
stage1_attention,efficientnetb0_se_mlp512_full,se,mlp512,relu,full,1,1,0.99537607,0.68194842,1.04059566,0.68261965,0.0010000000,25.3994,1,0,1,64
stage1_attention,efficientnetb0_se_mlp512_full,se,mlp512,relu,full,1,2,0.28991155,0.90289717,0.24361794,0.91876574,0.0010000000,20.5884,1,0,1,64
stage1_attention,efficientnetb0_se_mlp512_full,se,mlp512,relu,full,1,3,0.18638108,0.93839542,0.18610252,0.94017632,0.0010000000,20.4207,1,0,1,64
stage1_attention,efficientnetb0_se_mlp512_full,se,mlp512,relu,full,1,4,0.11026527,0.96290990,0.14244881,0.94962217,0.0010000000,20.1893,1,0,1,64
stage1_attention,efficientnetb0_se_mlp512_full,se,mlp512,relu,full,1,5,0.11731396,0.96354664,0.22038892,0.94899244,0.0010000000,17.4303,0,1,1,64
stage1_attention,efficientnetb0_se_mlp512_full,se,mlp512,relu,full,1,6,0.08872772,0.97214263,0.20076020,0.93891688,0.0010000000,19.5658,0,2,1,64
stage1_attention,efficientnetb0_se_mlp512_full,se,mlp512,relu,full,1,7,0.07378372,0.97787329,0.10711410,0.96851385,0.0010000000,20.2371,1,0,1,64
stage1_attention,efficientnetb0_se_mlp512_full,se,mlp512,relu,full,1,8,0.06211120,0.97851003,0.16333622,0.95591940,0.0010000000,61.2304,0,1,1,64
stage1_attention,efficientnetb0_se_mlp512_full,se,mlp512,relu,full,1,9,0.05007823,0.98519580,0.17674530,0.95025189,0.0010000000,65.4409,0,2,1,64
stage1_attention,efficientnetb0_se_mlp512_full,se,mlp512,relu,full,1,10,0.06162245,0.98137536,0.17461842,0.95151134,0.0010000000,74.8806,0,3,1,64
stage1_attention,efficientnetb0_se_mlp512_full,se,mlp512,relu,full,1,11,0.05034677,0.98583254,0.14274971,0.95591940,0.0010000000,33.4422,0,4,1,64
stage1_attention,efficientnetb0_se_mlp512_full,se,mlp512,relu,full,1,12,0.04317757,0.98726520,0.10157543,0.97229219,0.0010000000,18.0288,1,0,1,64
stage1_attention,efficientnetb0_se_mlp512_full,se,mlp512,relu,full,1,13,0.02674551,0.99076727,0.09349211,0.97607053,0.0010000000,18.0420,1,0,1,64
stage1_attention,efficientnetb0_se_mlp512_full,se,mlp512,relu,full,1,14,0.04241031,0.98615091,0.08752808,0.97858942,0.0010000000,17.5052,1,0,1,64
stage1_attention,efficientnetb0_se_mlp512_full,se,mlp512,relu,full,1,15,0.03363292,0.99028972,0.10609480,0.97229219,0.0010000000,17.7890,0,1,1,64
stage1_attention,efficientnetb0_se_mlp512_full,se,mlp512,relu,full,1,16,0.04427189,0.98678765,0.16907562,0.95277078,0.0010000000,17.9162,0,2,1,64
stage1_attention,efficientnetb0_se_mlp512_full,se,mlp512,relu,full,1,17,0.04079344,0.98917542,0.20288272,0.94962217,0.0010000000,17.8206,0,3,1,64
stage1_attention,efficientnetb0_se_mlp512_full,se,mlp512,relu,full,1,18,0.03147258,0.99124483,0.23028875,0.94836272,0.0010000000,17.9765,0,4,1,64
stage1_attention,efficientnetb0_se_mlp512_full,se,mlp512,relu,full,1,19,0.03024576,0.98997135,0.12817456,0.97166247,0.0010000000,18.5621,0,5,1,64
stage1_attention,efficientnetb0_se_mlp512_full,se,mlp512,relu,full,1,20,0.06238377,0.98010188,0.22549794,0.94269521,0.0001000000,18.3399,0,6,1,64
stage1_attention,efficientnetb0_se_mlp512_full,se,mlp512,relu,full,1,21,0.03358047,0.99044890,0.17141832,0.96221662,0.0001000000,18.5911,0,7,1,64
stage1_attention,efficientnetb0_se_mlp512_full,se,mlp512,relu,full,1,22,0.01278316,0.99681630,0.12275392,0.96725441,0.0001000000,19.2201,0,8,1,64
stage1_attention,efficientnetb0_se_mlp512_full,se,mlp512,relu,full,1,23,0.00932543,0.99713467,0.13241877,0.96725441,0.0001000000,18.4828,0,9,1,64
stage1_attention,efficientnetb0_se_mlp512_full,se,mlp512,relu,full,1,24,0.00906591,0.99729386,0.12250254,0.96662469,0.0001000000,20.6542,0,10,1,64
