stage,model_name,attention,head,activation,train_scope,seed,epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec,is_best,early_stop_counter,grad_accum_steps,effective_batch_size
grid,grid_efficientnetb0_eca_linear_added_only,eca,linear,relu,added_only,3,1,2.48285971,0.27873289,2.65355031,0.30100756,0.0010000000,12.3776,1,0,1,128
grid,grid_efficientnetb0_eca_linear_added_only,eca,linear,relu,added_only,3,2,1.93907541,0.51114295,2.44203505,0.35012594,0.0010000000,12.5464,1,0,1,128
grid,grid_efficientnetb0_eca_linear_added_only,eca,linear,relu,added_only,3,3,1.65827951,0.58150271,2.33244327,0.33375315,0.0010000000,12.0822,1,0,1,128
grid,grid_efficientnetb0_eca_linear_added_only,eca,linear,relu,added_only,3,4,1.46033984,0.63148679,2.26230573,0.37405542,0.0010000000,12.8875,1,0,1,128
grid,grid_efficientnetb0_eca_linear_added_only,eca,linear,relu,added_only,3,5,1.32530549,0.66316460,2.05920072,0.45277078,0.0010000000,12.0945,1,0,1,128
grid,grid_efficientnetb0_eca_linear_added_only,eca,linear,relu,added_only,3,6,1.21339632,0.68863419,2.15812134,0.40869018,0.0010000000,11.8592,0,1,1,128
grid,grid_efficientnetb0_eca_linear_added_only,eca,linear,relu,added_only,3,7,1.13798027,0.70407514,2.02990538,0.47670025,0.0010000000,12.1630,1,0,1,128
grid,grid_efficientnetb0_eca_linear_added_only,eca,linear,relu,added_only,3,8,1.05762838,0.72524674,2.05730556,0.41624685,0.0010000000,11.8336,0,1,1,128
grid,grid_efficientnetb0_eca_linear_added_only,eca,linear,relu,added_only,3,9,1.00820568,0.73129577,2.06669421,0.42191436,0.0010000000,10.9871,0,2,1,128
grid,grid_efficientnetb0_eca_linear_added_only,eca,linear,relu,added_only,3,10,0.95140393,0.74960204,1.97560792,0.45025189,0.0010000000,11.3833,1,0,1,128
grid,grid_efficientnetb0_eca_linear_added_only,eca,linear,relu,added_only,3,11,0.92972652,0.74816937,2.01258124,0.41939547,0.0010000000,11.6375,0,1,1,128
grid,grid_efficientnetb0_eca_linear_added_only,eca,linear,relu,added_only,3,12,0.88491360,0.75485514,1.93838478,0.45969773,0.0010000000,11.6236,1,0,1,128
grid,grid_efficientnetb0_eca_linear_added_only,eca,linear,relu,added_only,3,13,0.85857175,0.76822668,1.84596341,0.49370277,0.0010000000,12.0361,1,0,1,128
grid,grid_efficientnetb0_eca_linear_added_only,eca,linear,relu,added_only,3,14,0.81974368,0.77905126,1.77263551,0.52455919,0.0010000000,12.1836,1,0,1,128
grid,grid_efficientnetb0_eca_linear_added_only,eca,linear,relu,added_only,3,15,0.79338637,0.78446355,1.86553290,0.46599496,0.0010000000,11.7878,0,1,1,128
grid,grid_efficientnetb0_eca_linear_added_only,eca,linear,relu,added_only,3,16,0.77316764,0.78987584,1.86746612,0.46221662,0.0010000000,11.6013,0,2,1,128
grid,grid_efficientnetb0_eca_linear_added_only,eca,linear,relu,added_only,3,17,0.74414134,0.79114932,2.00348754,0.38539043,0.0010000000,11.6612,0,3,1,128
grid,grid_efficientnetb0_eca_linear_added_only,eca,linear,relu,added_only,3,18,0.73657180,0.79449220,1.65208153,0.54974811,0.0010000000,12.0519,1,0,1,128
grid,grid_efficientnetb0_eca_linear_added_only,eca,linear,relu,added_only,3,19,0.71310595,0.79608405,1.71916739,0.49874055,0.0010000000,11.8679,0,1,1,128
grid,grid_efficientnetb0_eca_linear_added_only,eca,linear,relu,added_only,3,20,0.69718207,0.79863101,1.51281894,0.58690176,0.0010000000,11.7362,1,0,1,128
grid,grid_efficientnetb0_eca_linear_added_only,eca,linear,relu,added_only,3,21,0.67788243,0.81072907,1.75987697,0.49748111,0.0010000000,10.7507,0,1,1,128
grid,grid_efficientnetb0_eca_linear_added_only,eca,linear,relu,added_only,3,22,0.67160785,0.80897803,1.89568431,0.43639798,0.0010000000,11.9623,0,2,1,128
grid,grid_efficientnetb0_eca_linear_added_only,eca,linear,relu,added_only,3,23,0.64697119,0.81391277,1.82941577,0.45969773,0.0010000000,11.7833,0,3,1,128
grid,grid_efficientnetb0_eca_linear_added_only,eca,linear,relu,added_only,3,24,0.65478359,0.81248010,1.72868929,0.52392947,0.0010000000,11.6161,0,4,1,128
grid,grid_efficientnetb0_eca_linear_added_only,eca,linear,relu,added_only,3,25,0.62793997,0.82171283,1.88348233,0.43450882,0.0010000000,11.8900,0,5,1,128
grid,grid_efficientnetb0_eca_linear_added_only,eca,linear,relu,added_only,3,26,0.61412426,0.82059854,1.55206211,0.57178841,0.0001000000,11.3266,0,6,1,128
grid,grid_efficientnetb0_eca_linear_added_only,eca,linear,relu,added_only,3,27,0.60944239,0.82585164,1.45348905,0.59571788,0.0001000000,11.7014,1,0,1,128
grid,grid_efficientnetb0_eca_linear_added_only,eca,linear,relu,added_only,3,28,0.60536057,0.82266794,1.93113094,0.41309824,0.0001000000,11.2897,0,1,1,128
grid,grid_efficientnetb0_eca_linear_added_only,eca,linear,relu,added_only,3,29,0.59953921,0.82394142,1.63893433,0.53904282,0.0001000000,11.6260,0,2,1,128
grid,grid_efficientnetb0_eca_linear_added_only,eca,linear,relu,added_only,3,30,0.60382101,0.82187202,1.67683215,0.52644836,0.0001000000,11.8651,0,3,1,128
grid,grid_efficientnetb0_eca_linear_added_only,eca,linear,relu,added_only,3,31,0.58924223,0.83747214,1.59567514,0.55352645,0.0001000000,11.3409,0,4,1,128
