stage,model_name,attention,head,activation,train_scope,seed,epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec,is_best,early_stop_counter,grad_accum_steps,effective_batch_size
grid,grid_efficientnetb0_eca_linear_full,eca,linear,relu,full,3,1,1.15855649,0.67000955,0.64889074,0.78841310,0.0010000000,13.0274,1,0,1,128
grid,grid_efficientnetb0_eca_linear_full,eca,linear,relu,full,3,2,0.26932556,0.91881566,0.42529078,0.86397985,0.0010000000,13.1106,1,0,1,128
grid,grid_efficientnetb0_eca_linear_full,eca,linear,relu,full,3,3,0.13586367,0.95574658,0.24028041,0.92317380,0.0010000000,12.9054,1,0,1,128
grid,grid_efficientnetb0_eca_linear_full,eca,linear,relu,full,3,4,0.09199230,0.97166507,0.14569270,0.94962217,0.0010000000,13.1587,1,0,1,128
grid,grid_efficientnetb0_eca_linear_full,eca,linear,relu,full,3,5,0.06442755,0.97978351,0.20503993,0.94017632,0.0010000000,12.9909,0,1,1,128
grid,grid_efficientnetb0_eca_linear_full,eca,linear,relu,full,3,6,0.09897798,0.96927730,0.26825958,0.91813602,0.0010000000,13.0745,0,2,1,128
grid,grid_efficientnetb0_eca_linear_full,eca,linear,relu,full,3,7,0.09157470,0.97277937,0.10586139,0.97544081,0.0010000000,12.9615,1,0,1,128
grid,grid_efficientnetb0_eca_linear_full,eca,linear,relu,full,3,8,0.04920006,0.98726520,0.13581305,0.96158690,0.0010000000,12.9497,0,1,1,128
grid,grid_efficientnetb0_eca_linear_full,eca,linear,relu,full,3,9,0.02860987,0.99172238,0.19083676,0.94584383,0.0010000000,13.0002,0,2,1,128
grid,grid_efficientnetb0_eca_linear_full,eca,linear,relu,full,3,10,0.02685666,0.99299586,0.12007849,0.96158690,0.0010000000,13.0621,0,3,1,128
grid,grid_efficientnetb0_eca_linear_full,eca,linear,relu,full,3,11,0.02927824,0.99267749,0.10493147,0.97292191,0.0010000000,12.8433,1,0,1,128
grid,grid_efficientnetb0_eca_linear_full,eca,linear,relu,full,3,12,0.06376846,0.98121617,0.28286780,0.93136020,0.0010000000,13.1797,0,1,1,128
grid,grid_efficientnetb0_eca_linear_full,eca,linear,relu,full,3,13,0.10372544,0.96800382,0.13278881,0.96599496,0.0010000000,12.8394,0,2,1,128
grid,grid_efficientnetb0_eca_linear_full,eca,linear,relu,full,3,14,0.07162481,0.97787329,0.15956284,0.95591940,0.0010000000,12.9350,0,3,1,128
grid,grid_efficientnetb0_eca_linear_full,eca,linear,relu,full,3,15,0.05282538,0.98471824,0.12488592,0.96536524,0.0010000000,12.9287,0,4,1,128
grid,grid_efficientnetb0_eca_linear_full,eca,linear,relu,full,3,16,0.01536562,0.99522445,0.11525205,0.96851385,0.0010000000,13.0029,0,5,1,128
grid,grid_efficientnetb0_eca_linear_full,eca,linear,relu,full,3,17,0.01249356,0.99665712,0.09015046,0.96914358,0.0010000000,12.6079,1,0,1,128
grid,grid_efficientnetb0_eca_linear_full,eca,linear,relu,full,3,18,0.01690618,0.99490608,0.08729024,0.97732997,0.0010000000,13.0322,1,0,1,128
grid,grid_efficientnetb0_eca_linear_full,eca,linear,relu,full,3,19,0.08487351,0.97437122,0.11297177,0.96914358,0.0010000000,13.0589,0,1,1,128
grid,grid_efficientnetb0_eca_linear_full,eca,linear,relu,full,3,20,0.01902094,0.99442853,0.05911511,0.98110831,0.0010000000,12.8781,1,0,1,128
grid,grid_efficientnetb0_eca_linear_full,eca,linear,relu,full,3,21,0.01621342,0.99602038,0.07203838,0.97670025,0.0010000000,12.7213,0,1,1,128
grid,grid_efficientnetb0_eca_linear_full,eca,linear,relu,full,3,22,0.02875908,0.99124483,0.07104476,0.98488665,0.0010000000,12.8554,0,2,1,128
grid,grid_efficientnetb0_eca_linear_full,eca,linear,relu,full,3,23,0.04366818,0.98710602,0.09522721,0.97481108,0.0010000000,12.8069,0,3,1,128
grid,grid_efficientnetb0_eca_linear_full,eca,linear,relu,full,3,24,0.08166882,0.97500796,0.14560788,0.95654912,0.0010000000,12.9906,0,4,1,128
grid,grid_efficientnetb0_eca_linear_full,eca,linear,relu,full,3,25,0.05793593,0.98169373,0.10651408,0.97670025,0.0010000000,13.1377,0,5,1,128
grid,grid_efficientnetb0_eca_linear_full,eca,linear,relu,full,3,26,0.04599956,0.98710602,0.11648577,0.96473552,0.0001000000,12.9041,0,6,1,128
grid,grid_efficientnetb0_eca_linear_full,eca,linear,relu,full,3,27,0.02629710,0.99283668,0.09701910,0.97670025,0.0001000000,12.8004,0,7,1,128
grid,grid_efficientnetb0_eca_linear_full,eca,linear,relu,full,3,28,0.01076034,0.99745304,0.09668400,0.97670025,0.0001000000,12.8605,0,8,1,128
grid,grid_efficientnetb0_eca_linear_full,eca,linear,relu,full,3,29,0.01205396,0.99665712,0.09039183,0.97795970,0.0001000000,13.0035,0,9,1,128
grid,grid_efficientnetb0_eca_linear_full,eca,linear,relu,full,3,30,0.00908193,0.99793060,0.08109372,0.97732997,0.0001000000,12.5515,0,10,1,128
