stage,model_name,attention,head,activation,train_scope,seed,epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec,is_best,early_stop_counter,grad_accum_steps,effective_batch_size
grid,grid_efficientnetb0_eca_linear_last2,eca,linear,relu,last2,3,1,1.65093529,0.52674308,1.59526615,0.50566751,0.0010000000,11.2629,1,0,1,128
grid,grid_efficientnetb0_eca_linear_last2,eca,linear,relu,last2,3,2,0.66776605,0.80213308,1.08755321,0.66687657,0.0010000000,10.9765,1,0,1,128
grid,grid_efficientnetb0_eca_linear_last2,eca,linear,relu,last2,3,3,0.41469414,0.87551735,0.89141513,0.70780856,0.0010000000,11.2235,1,0,1,128
grid,grid_efficientnetb0_eca_linear_last2,eca,linear,relu,last2,3,4,0.30198240,0.90592168,0.77681077,0.76385390,0.0010000000,11.2340,1,0,1,128
grid,grid_efficientnetb0_eca_linear_last2,eca,linear,relu,last2,3,5,0.22783168,0.92788921,0.70964053,0.77455919,0.0010000000,11.6935,1,0,1,128
grid,grid_efficientnetb0_eca_linear_last2,eca,linear,relu,last2,3,6,0.19928336,0.93775868,0.77982047,0.76007557,0.0010000000,11.4116,0,1,1,128
grid,grid_efficientnetb0_eca_linear_last2,eca,linear,relu,last2,3,7,0.17069728,0.94380770,0.68451714,0.78148615,0.0010000000,11.5821,1,0,1,128
grid,grid_efficientnetb0_eca_linear_last2,eca,linear,relu,last2,3,8,0.14001834,0.95208532,0.61105820,0.80793451,0.0010000000,11.4603,1,0,1,128
grid,grid_efficientnetb0_eca_linear_last2,eca,linear,relu,last2,3,9,0.12628558,0.96004457,0.59074787,0.80604534,0.0010000000,11.8294,1,0,1,128
grid,grid_efficientnetb0_eca_linear_last2,eca,linear,relu,last2,3,10,0.10933484,0.96259153,0.62245245,0.80919395,0.0010000000,10.7295,0,1,1,128
grid,grid_efficientnetb0_eca_linear_last2,eca,linear,relu,last2,3,11,0.10507800,0.96577523,0.60352966,0.80667506,0.0010000000,11.2751,0,2,1,128
grid,grid_efficientnetb0_eca_linear_last2,eca,linear,relu,last2,3,12,0.11090259,0.96052213,0.71694680,0.78211587,0.0010000000,10.9668,0,3,1,128
grid,grid_efficientnetb0_eca_linear_last2,eca,linear,relu,last2,3,13,0.11295267,0.96386501,0.67076762,0.80730479,0.0010000000,11.1406,0,4,1,128
grid,grid_efficientnetb0_eca_linear_last2,eca,linear,relu,last2,3,14,0.10877116,0.96545686,0.65491529,0.80604534,0.0010000000,11.8357,0,5,1,128
grid,grid_efficientnetb0_eca_linear_last2,eca,linear,relu,last2,3,15,0.08503119,0.97102833,0.66082212,0.79974811,0.0001000000,11.6238,0,6,1,128
grid,grid_efficientnetb0_eca_linear_last2,eca,linear,relu,last2,3,16,0.06500830,0.97946514,0.68570982,0.78778338,0.0001000000,10.9127,0,7,1,128
grid,grid_efficientnetb0_eca_linear_last2,eca,linear,relu,last2,3,17,0.05415841,0.98312639,0.73050736,0.77204030,0.0001000000,11.5060,0,8,1,128
grid,grid_efficientnetb0_eca_linear_last2,eca,linear,relu,last2,3,18,0.05422076,0.98503661,0.50928171,0.84130982,0.0001000000,11.5604,1,0,1,128
grid,grid_efficientnetb0_eca_linear_last2,eca,linear,relu,last2,3,19,0.05297247,0.98455906,0.54165318,0.83753149,0.0001000000,11.4809,0,1,1,128
grid,grid_efficientnetb0_eca_linear_last2,eca,linear,relu,last2,3,20,0.04998405,0.98296721,0.43734701,0.86335013,0.0001000000,11.8320,1,0,1,128
grid,grid_efficientnetb0_eca_linear_last2,eca,linear,relu,last2,3,21,0.04924440,0.98615091,0.55949719,0.82367758,0.0001000000,11.1774,0,1,1,128
grid,grid_efficientnetb0_eca_linear_last2,eca,linear,relu,last2,3,22,0.05066334,0.98360395,0.62630144,0.80100756,0.0001000000,11.1729,0,2,1,128
grid,grid_efficientnetb0_eca_linear_last2,eca,linear,relu,last2,3,23,0.05160715,0.98328558,0.62400871,0.80856423,0.0001000000,10.8459,0,3,1,128
grid,grid_efficientnetb0_eca_linear_last2,eca,linear,relu,last2,3,24,0.05323377,0.98233047,0.50059073,0.84319899,0.0001000000,11.5143,0,4,1,128
grid,grid_efficientnetb0_eca_linear_last2,eca,linear,relu,last2,3,25,0.04726307,0.98439987,0.64438867,0.80352645,0.0001000000,11.7103,0,5,1,128
grid,grid_efficientnetb0_eca_linear_last2,eca,linear,relu,last2,3,26,0.04801492,0.98455906,0.46022388,0.85705290,0.0000100000,11.5724,0,6,1,128
grid,grid_efficientnetb0_eca_linear_last2,eca,linear,relu,last2,3,27,0.04287724,0.98774276,0.46781338,0.85894207,0.0000100000,11.4868,0,7,1,128
grid,grid_efficientnetb0_eca_linear_last2,eca,linear,relu,last2,3,28,0.04289388,0.98599172,0.66417779,0.78967254,0.0000100000,11.0739,0,8,1,128
grid,grid_efficientnetb0_eca_linear_last2,eca,linear,relu,last2,3,29,0.04128819,0.98599172,0.54579716,0.83564232,0.0000100000,11.6585,0,9,1,128
grid,grid_efficientnetb0_eca_linear_last2,eca,linear,relu,last2,3,30,0.04189784,0.98726520,0.50842231,0.84256927,0.0000100000,10.9360,0,10,1,128
