stage,model_name,attention,head,activation,train_scope,seed,epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec,is_best,early_stop_counter,grad_accum_steps,effective_batch_size
grid,grid_efficientnetb0_eca_mlp512_added_only,eca,mlp512,relu,added_only,2,1,2.06542680,0.38936644,2.32499545,0.36272040,0.0010000000,11.7739,1,0,1,128
grid,grid_efficientnetb0_eca_mlp512_added_only,eca,mlp512,relu,added_only,2,2,1.24823026,0.62591531,2.13684759,0.35516373,0.0010000000,11.7456,1,0,1,128
grid,grid_efficientnetb0_eca_mlp512_added_only,eca,mlp512,relu,added_only,2,3,1.01244227,0.68863419,2.04972701,0.37405542,0.0010000000,11.8661,1,0,1,128
grid,grid_efficientnetb0_eca_mlp512_added_only,eca,mlp512,relu,added_only,2,4,0.81764258,0.75198981,1.91657520,0.46851385,0.0010000000,11.9545,1,0,1,128
grid,grid_efficientnetb0_eca_mlp512_added_only,eca,mlp512,relu,added_only,2,5,0.73137497,0.77188793,1.87620919,0.44773300,0.0010000000,11.9235,1,0,1,128
grid,grid_efficientnetb0_eca_mlp512_added_only,eca,mlp512,relu,added_only,2,6,0.66484368,0.79242280,1.71359176,0.50314861,0.0010000000,12.0078,1,0,1,128
grid,grid_efficientnetb0_eca_mlp512_added_only,eca,mlp512,relu,added_only,2,7,0.59774800,0.80897803,1.97720917,0.39357683,0.0010000000,11.8498,0,1,1,128
grid,grid_efficientnetb0_eca_mlp512_added_only,eca,mlp512,relu,added_only,2,8,0.55728749,0.82314550,1.50403821,0.57052897,0.0010000000,12.2419,1,0,1,128
grid,grid_efficientnetb0_eca_mlp512_added_only,eca,mlp512,relu,added_only,2,9,0.55960733,0.81884750,1.74156962,0.46977330,0.0010000000,11.4869,0,1,1,128
grid,grid_efficientnetb0_eca_mlp512_added_only,eca,mlp512,relu,added_only,2,10,0.50586431,0.83842725,1.55167234,0.55667506,0.0010000000,14.6595,0,2,1,128
grid,grid_efficientnetb0_eca_mlp512_added_only,eca,mlp512,relu,added_only,2,11,0.47100924,0.84686406,1.56470548,0.52707809,0.0010000000,15.0918,0,3,1,128
grid,grid_efficientnetb0_eca_mlp512_added_only,eca,mlp512,relu,added_only,2,12,0.44025534,0.85832537,1.60307872,0.51826196,0.0010000000,18.1801,0,4,1,128
