stage,model_name,attention,head,activation,train_scope,seed,epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec,is_best,early_stop_counter,grad_accum_steps,effective_batch_size
grid,grid_efficientnetb0_eca_mlp512_full,eca,mlp512,relu,full,2,1,1.31413839,0.59248647,0.80787773,0.72858942,0.0010000000,13.3070,1,0,1,128
grid,grid_efficientnetb0_eca_mlp512_full,eca,mlp512,relu,full,2,2,0.32925907,0.89111748,0.40397921,0.86838791,0.0010000000,12.9465,1,0,1,128
grid,grid_efficientnetb0_eca_mlp512_full,eca,mlp512,relu,full,2,3,0.16943219,0.94619548,0.18345708,0.94395466,0.0010000000,13.0129,1,0,1,128
grid,grid_efficientnetb0_eca_mlp512_full,eca,mlp512,relu,full,2,4,0.10226786,0.96497931,0.24383146,0.91750630,0.0010000000,12.8989,0,1,1,128
grid,grid_efficientnetb0_eca_mlp512_full,eca,mlp512,relu,full,2,5,0.10273830,0.96784464,0.18106492,0.93765743,0.0010000000,12.8093,1,0,1,128
grid,grid_efficientnetb0_eca_mlp512_full,eca,mlp512,relu,full,2,6,0.07465516,0.97468959,0.18418327,0.94080605,0.0010000000,12.9766,0,1,1,128
grid,grid_efficientnetb0_eca_mlp512_full,eca,mlp512,relu,full,2,7,0.06216079,0.97930595,0.18950151,0.94395466,0.0010000000,12.9547,0,2,1,128
grid,grid_efficientnetb0_eca_mlp512_full,eca,mlp512,relu,full,2,8,0.04772840,0.98519580,0.12804811,0.96221662,0.0010000000,13.1947,1,0,1,128
grid,grid_efficientnetb0_eca_mlp512_full,eca,mlp512,relu,full,2,9,0.06690263,0.97819166,0.13553284,0.96599496,0.0010000000,12.9226,0,1,1,128
grid,grid_efficientnetb0_eca_mlp512_full,eca,mlp512,relu,full,2,10,0.06068769,0.97914677,0.21538647,0.94836272,0.0010000000,12.8330,0,2,1,128
grid,grid_efficientnetb0_eca_mlp512_full,eca,mlp512,relu,full,2,11,0.09235115,0.97118752,0.19689224,0.95528967,0.0010000000,13.0721,0,3,1,128
grid,grid_efficientnetb0_eca_mlp512_full,eca,mlp512,relu,full,2,12,0.03866267,0.98806113,0.12595582,0.96788413,0.0010000000,13.1563,1,0,1,128
grid,grid_efficientnetb0_eca_mlp512_full,eca,mlp512,relu,full,2,13,0.02402769,0.99347342,0.14416709,0.96725441,0.0010000000,12.9870,0,1,1,128
grid,grid_efficientnetb0_eca_mlp512_full,eca,mlp512,relu,full,2,14,0.01612211,0.99442853,0.09537121,0.97795970,0.0010000000,12.8168,1,0,1,128
grid,grid_efficientnetb0_eca_mlp512_full,eca,mlp512,relu,full,2,15,0.08244329,0.97644062,0.13240872,0.96788413,0.0010000000,13.0697,0,1,1,128
grid,grid_efficientnetb0_eca_mlp512_full,eca,mlp512,relu,full,2,16,0.05159179,0.98471824,0.22570668,0.94458438,0.0010000000,13.0387,0,2,1,128
grid,grid_efficientnetb0_eca_mlp512_full,eca,mlp512,relu,full,2,17,0.10423959,0.96975486,0.18806445,0.95654912,0.0010000000,12.7269,0,3,1,128
grid,grid_efficientnetb0_eca_mlp512_full,eca,mlp512,relu,full,2,18,0.07871463,0.97675899,0.16692057,0.95528967,0.0010000000,12.7277,0,4,1,128
grid,grid_efficientnetb0_eca_mlp512_full,eca,mlp512,relu,full,2,19,0.06092954,0.97978351,0.08381468,0.97795970,0.0010000000,12.8216,1,0,1,128
grid,grid_efficientnetb0_eca_mlp512_full,eca,mlp512,relu,full,2,20,0.04302342,0.98678765,0.22521930,0.94332494,0.0010000000,12.9294,0,1,1,128
grid,grid_efficientnetb0_eca_mlp512_full,eca,mlp512,relu,full,2,21,0.07110305,0.97851003,0.16227795,0.95465995,0.0010000000,12.7092,0,2,1,128
grid,grid_efficientnetb0_eca_mlp512_full,eca,mlp512,relu,full,2,22,0.01765599,0.99363260,0.13203096,0.96662469,0.0010000000,12.8013,0,3,1,128
grid,grid_efficientnetb0_eca_mlp512_full,eca,mlp512,relu,full,2,23,0.02958875,0.99060809,0.17959796,0.94962217,0.0010000000,12.9050,0,4,1,128
grid,grid_efficientnetb0_eca_mlp512_full,eca,mlp512,relu,full,2,24,0.05665475,0.98233047,0.22674199,0.94647355,0.0010000000,13.0597,0,5,1,128
grid,grid_efficientnetb0_eca_mlp512_full,eca,mlp512,relu,full,2,25,0.02708004,0.99267749,0.18799393,0.95780856,0.0001000000,12.9336,0,6,1,128
grid,grid_efficientnetb0_eca_mlp512_full,eca,mlp512,relu,full,2,26,0.01650577,0.99570201,0.17646169,0.96158690,0.0001000000,13.0803,0,7,1,128
grid,grid_efficientnetb0_eca_mlp512_full,eca,mlp512,relu,full,2,27,0.00976964,0.99729386,0.14501247,0.96662469,0.0001000000,13.1611,0,8,1,128
grid,grid_efficientnetb0_eca_mlp512_full,eca,mlp512,relu,full,2,28,0.00770094,0.99745304,0.13246497,0.96851385,0.0001000000,12.7198,0,9,1,128
grid,grid_efficientnetb0_eca_mlp512_full,eca,mlp512,relu,full,2,29,0.00783332,0.99840815,0.13699773,0.96851385,0.0001000000,12.7698,0,10,1,128
