stage,model_name,attention,head,activation,train_scope,seed,epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec,is_best,early_stop_counter,grad_accum_steps,effective_batch_size
grid,grid_efficientnetb0_eca_mlp512_last2,eca,mlp512,relu,last2,1,1,1.55302415,0.52053486,1.36302395,0.54785894,0.0010000000,11.5565,1,0,1,128
grid,grid_efficientnetb0_eca_mlp512_last2,eca,mlp512,relu,last2,1,2,0.62074715,0.79305954,1.39837990,0.55982368,0.0010000000,11.1550,0,1,1,128
grid,grid_efficientnetb0_eca_mlp512_last2,eca,mlp512,relu,last2,1,3,0.40453537,0.86676218,1.00370552,0.68954660,0.0010000000,10.7341,1,0,1,128
grid,grid_efficientnetb0_eca_mlp512_last2,eca,mlp512,relu,last2,1,4,0.31155089,0.89414199,0.93710753,0.71158690,0.0010000000,12.0246,1,0,1,128
grid,grid_efficientnetb0_eca_mlp512_last2,eca,mlp512,relu,last2,1,5,0.25568975,0.91276663,1.03489569,0.68136020,0.0010000000,11.2858,0,1,1,128
grid,grid_efficientnetb0_eca_mlp512_last2,eca,mlp512,relu,last2,1,6,0.19619520,0.93250557,0.63802857,0.80667506,0.0010000000,10.5207,1,0,1,128
grid,grid_efficientnetb0_eca_mlp512_last2,eca,mlp512,relu,last2,1,7,0.19206323,0.93457498,0.90286521,0.74496222,0.0010000000,10.1497,0,1,1,128
grid,grid_efficientnetb0_eca_mlp512_last2,eca,mlp512,relu,last2,1,8,0.15029181,0.94730977,0.54829648,0.83942065,0.0010000000,10.5839,1,0,1,128
grid,grid_efficientnetb0_eca_mlp512_last2,eca,mlp512,relu,last2,1,9,0.16510466,0.94380770,0.65617654,0.80352645,0.0010000000,10.7310,0,1,1,128
grid,grid_efficientnetb0_eca_mlp512_last2,eca,mlp512,relu,last2,1,10,0.15929741,0.95017510,0.86767256,0.75188917,0.0010000000,10.1477,0,2,1,128
grid,grid_efficientnetb0_eca_mlp512_last2,eca,mlp512,relu,last2,1,11,0.11805154,0.95781598,0.60397488,0.81926952,0.0010000000,9.8054,0,3,1,128
grid,grid_efficientnetb0_eca_mlp512_last2,eca,mlp512,relu,last2,1,12,0.09590608,0.96625279,0.62892153,0.83123426,0.0010000000,10.0683,0,4,1,128
grid,grid_efficientnetb0_eca_mlp512_last2,eca,mlp512,relu,last2,1,13,0.09563043,0.96688953,0.64570282,0.83753149,0.0010000000,10.1518,0,5,1,128
grid,grid_efficientnetb0_eca_mlp512_last2,eca,mlp512,relu,last2,1,14,0.09687528,0.96513849,0.54859263,0.84068010,0.0001000000,10.0330,0,6,1,128
grid,grid_efficientnetb0_eca_mlp512_last2,eca,mlp512,relu,last2,1,15,0.06781050,0.97851003,0.58395550,0.82367758,0.0001000000,10.1807,0,7,1,128
grid,grid_efficientnetb0_eca_mlp512_last2,eca,mlp512,relu,last2,1,16,0.06289181,0.97803247,0.64404738,0.81108312,0.0001000000,9.8507,0,8,1,128
grid,grid_efficientnetb0_eca_mlp512_last2,eca,mlp512,relu,last2,1,17,0.06550210,0.97819166,0.55733731,0.83942065,0.0001000000,10.1582,0,9,1,128
grid,grid_efficientnetb0_eca_mlp512_last2,eca,mlp512,relu,last2,1,18,0.05633214,0.98089780,0.58545829,0.83186398,0.0001000000,9.9842,0,10,1,128
