stage,model_name,attention,head,activation,train_scope,seed,epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec,is_best,early_stop_counter,grad_accum_steps,effective_batch_size
grid,grid_efficientnetb0_eca_mlp512_silu_added_only,eca,mlp512,silu,added_only,1,1,2.06333211,0.39382362,2.09254283,0.45403023,0.0010000000,11.4504,1,0,1,128
grid,grid_efficientnetb0_eca_mlp512_silu_added_only,eca,mlp512,silu,added_only,1,2,1.19157175,0.63928685,2.07080458,0.43576826,0.0010000000,11.6184,1,0,1,128
grid,grid_efficientnetb0_eca_mlp512_silu_added_only,eca,mlp512,silu,added_only,1,3,0.94642136,0.71394460,1.86652286,0.47607053,0.0010000000,11.8037,1,0,1,128
grid,grid_efficientnetb0_eca_mlp512_silu_added_only,eca,mlp512,silu,added_only,1,4,0.82937010,0.73893664,1.71388051,0.50629723,0.0010000000,11.6538,1,0,1,128
grid,grid_efficientnetb0_eca_mlp512_silu_added_only,eca,mlp512,silu,added_only,1,5,0.72867035,0.77332060,1.99146377,0.41624685,0.0010000000,12.2862,0,1,1,128
grid,grid_efficientnetb0_eca_mlp512_silu_added_only,eca,mlp512,silu,added_only,1,6,0.67403118,0.79019421,1.59228535,0.57682620,0.0010000000,11.0206,1,0,1,128
grid,grid_efficientnetb0_eca_mlp512_silu_added_only,eca,mlp512,silu,added_only,1,7,0.64204556,0.79687997,1.82309014,0.45717884,0.0010000000,11.4918,0,1,1,128
grid,grid_efficientnetb0_eca_mlp512_silu_added_only,eca,mlp512,silu,added_only,1,8,0.58177014,0.81614136,1.56783638,0.54785894,0.0010000000,12.1947,1,0,1,128
grid,grid_efficientnetb0_eca_mlp512_silu_added_only,eca,mlp512,silu,added_only,1,9,0.55172316,0.82553327,1.74995543,0.44395466,0.0010000000,12.0359,0,1,1,128
grid,grid_efficientnetb0_eca_mlp512_silu_added_only,eca,mlp512,silu,added_only,1,10,0.52167497,0.83460681,1.94018597,0.36964736,0.0010000000,12.0820,0,2,1,128
grid,grid_efficientnetb0_eca_mlp512_silu_added_only,eca,mlp512,silu,added_only,1,11,0.49548127,0.84001910,1.41581657,0.57619647,0.0010000000,11.2865,1,0,1,128
grid,grid_efficientnetb0_eca_mlp512_silu_added_only,eca,mlp512,silu,added_only,1,12,0.47558395,0.84670487,1.47698844,0.55100756,0.0010000000,10.7582,0,1,1,128
grid,grid_efficientnetb0_eca_mlp512_silu_added_only,eca,mlp512,silu,added_only,1,13,0.47826492,0.84463547,1.42277640,0.56549118,0.0010000000,11.0058,0,2,1,128
grid,grid_efficientnetb0_eca_mlp512_silu_added_only,eca,mlp512,silu,added_only,1,14,0.43023810,0.85705189,1.45983551,0.54534005,0.0010000000,10.6044,0,3,1,128
grid,grid_efficientnetb0_eca_mlp512_silu_added_only,eca,mlp512,silu,added_only,1,15,0.42990756,0.86119070,1.70989735,0.43513854,0.0010000000,11.9741,0,4,1,128
grid,grid_efficientnetb0_eca_mlp512_silu_added_only,eca,mlp512,silu,added_only,1,16,0.41451471,0.86723973,1.79699449,0.40869018,0.0010000000,11.1676,0,5,1,128
grid,grid_efficientnetb0_eca_mlp512_silu_added_only,eca,mlp512,silu,added_only,1,17,0.42103398,0.85943967,1.43585011,0.54974811,0.0001000000,10.8381,0,6,1,128
grid,grid_efficientnetb0_eca_mlp512_silu_added_only,eca,mlp512,silu,added_only,1,18,0.39163613,0.87249284,1.60813623,0.48047859,0.0001000000,11.5973,0,7,1,128
grid,grid_efficientnetb0_eca_mlp512_silu_added_only,eca,mlp512,silu,added_only,1,19,0.36393526,0.88252149,1.71694043,0.43828715,0.0001000000,11.7865,0,8,1,128
grid,grid_efficientnetb0_eca_mlp512_silu_added_only,eca,mlp512,silu,added_only,1,20,0.37108499,0.87790513,1.31271244,0.59445844,0.0001000000,10.5399,1,0,1,128
grid,grid_efficientnetb0_eca_mlp512_silu_added_only,eca,mlp512,silu,added_only,1,21,0.36516937,0.88140720,1.45608246,0.53526448,0.0001000000,11.3035,0,1,1,128
grid,grid_efficientnetb0_eca_mlp512_silu_added_only,eca,mlp512,silu,added_only,1,22,0.36964051,0.88204394,1.72174992,0.43576826,0.0001000000,11.9895,0,2,1,128
grid,grid_efficientnetb0_eca_mlp512_silu_added_only,eca,mlp512,silu,added_only,1,23,0.36262681,0.88427252,1.47010011,0.52959698,0.0001000000,11.6812,0,3,1,128
grid,grid_efficientnetb0_eca_mlp512_silu_added_only,eca,mlp512,silu,added_only,1,24,0.36930371,0.87838268,1.39059593,0.56675063,0.0001000000,11.9329,0,4,1,128
grid,grid_efficientnetb0_eca_mlp512_silu_added_only,eca,mlp512,silu,added_only,1,25,0.35279335,0.88777459,1.40253136,0.57052897,0.0001000000,11.1191,0,5,1,128
grid,grid_efficientnetb0_eca_mlp512_silu_added_only,eca,mlp512,silu,added_only,1,26,0.36516013,0.88315823,1.47204747,0.53148615,0.0000100000,11.5888,0,6,1,128
grid,grid_efficientnetb0_eca_mlp512_silu_added_only,eca,mlp512,silu,added_only,1,27,0.35259595,0.88268067,1.37092059,0.57430730,0.0000100000,12.0008,0,7,1,128
grid,grid_efficientnetb0_eca_mlp512_silu_added_only,eca,mlp512,silu,added_only,1,28,0.34634115,0.88554600,1.35444516,0.58690176,0.0000100000,11.9582,0,8,1,128
grid,grid_efficientnetb0_eca_mlp512_silu_added_only,eca,mlp512,silu,added_only,1,29,0.35540346,0.88395415,1.54470707,0.50755668,0.0000100000,10.8310,0,9,1,128
