stage,model_name,attention,head,activation,train_scope,seed,epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec,is_best,early_stop_counter,grad_accum_steps,effective_batch_size
grid,grid_efficientnetb0_eca_mlp512_silu_full,eca,mlp512,silu,full,2,1,1.26408411,0.60442534,0.84927887,0.71788413,0.0010000000,13.1885,1,0,1,128
grid,grid_efficientnetb0_eca_mlp512_silu_full,eca,mlp512,silu,full,2,2,0.32485442,0.89127666,0.37801162,0.87153652,0.0010000000,13.0996,1,0,1,128
grid,grid_efficientnetb0_eca_mlp512_silu_full,eca,mlp512,silu,full,2,3,0.19408085,0.93744031,0.20319738,0.94080605,0.0010000000,13.4290,1,0,1,128
grid,grid_efficientnetb0_eca_mlp512_silu_full,eca,mlp512,silu,full,2,4,0.11613203,0.96179561,0.23076261,0.92506297,0.0010000000,13.6801,0,1,1,128
grid,grid_efficientnetb0_eca_mlp512_silu_full,eca,mlp512,silu,full,2,5,0.08603617,0.97628144,0.26403735,0.92065491,0.0010000000,13.6386,0,2,1,128
grid,grid_efficientnetb0_eca_mlp512_silu_full,eca,mlp512,silu,full,2,6,0.06845368,0.97898758,0.24672737,0.91939547,0.0010000000,13.7960,0,3,1,128
grid,grid_efficientnetb0_eca_mlp512_silu_full,eca,mlp512,silu,full,2,7,0.08429060,0.97357529,0.21400009,0.94647355,0.0010000000,14.6430,0,4,1,128
grid,grid_efficientnetb0_eca_mlp512_silu_full,eca,mlp512,silu,full,2,8,0.07576756,0.97659981,0.14678847,0.95843829,0.0010000000,14.3686,1,0,1,128
grid,grid_efficientnetb0_eca_mlp512_silu_full,eca,mlp512,silu,full,2,9,0.05145621,0.98471824,0.15658394,0.96032746,0.0010000000,13.3803,0,1,1,128
grid,grid_efficientnetb0_eca_mlp512_silu_full,eca,mlp512,silu,full,2,10,0.05150964,0.98344476,0.11950188,0.97292191,0.0010000000,14.4448,1,0,1,128
grid,grid_efficientnetb0_eca_mlp512_silu_full,eca,mlp512,silu,full,2,11,0.10338131,0.96911812,0.30932614,0.93324937,0.0010000000,14.1576,0,1,1,128
grid,grid_efficientnetb0_eca_mlp512_silu_full,eca,mlp512,silu,full,2,12,0.08084061,0.97484877,0.19093928,0.94332494,0.0010000000,14.7817,0,2,1,128
grid,grid_efficientnetb0_eca_mlp512_silu_full,eca,mlp512,silu,full,2,13,0.08149146,0.97723655,0.21686910,0.94017632,0.0010000000,13.2500,0,3,1,128
grid,grid_efficientnetb0_eca_mlp512_silu_full,eca,mlp512,silu,full,2,14,0.03428214,0.98869787,0.12727376,0.95906801,0.0010000000,12.6801,0,4,1,128
grid,grid_efficientnetb0_eca_mlp512_silu_full,eca,mlp512,silu,full,2,15,0.04463402,0.98694683,0.15210493,0.96032746,0.0010000000,13.0788,0,5,1,128
grid,grid_efficientnetb0_eca_mlp512_silu_full,eca,mlp512,silu,full,2,16,0.02889376,0.99013053,0.16429743,0.96599496,0.0001000000,13.1168,0,6,1,128
grid,grid_efficientnetb0_eca_mlp512_silu_full,eca,mlp512,silu,full,2,17,0.01496500,0.99490608,0.12013867,0.97103275,0.0001000000,12.8858,0,7,1,128
grid,grid_efficientnetb0_eca_mlp512_silu_full,eca,mlp512,silu,full,2,18,0.01029517,0.99665712,0.13131896,0.96851385,0.0001000000,13.1098,0,8,1,128
grid,grid_efficientnetb0_eca_mlp512_silu_full,eca,mlp512,silu,full,2,19,0.00885457,0.99777141,0.11992067,0.97166247,0.0001000000,12.8856,0,9,1,128
grid,grid_efficientnetb0_eca_mlp512_silu_full,eca,mlp512,silu,full,2,20,0.00739656,0.99793060,0.11039319,0.97481108,0.0001000000,13.1265,1,0,1,128
grid,grid_efficientnetb0_eca_mlp512_silu_full,eca,mlp512,silu,full,2,21,0.01049434,0.99713467,0.10707232,0.97481108,0.0001000000,13.1234,1,0,1,128
grid,grid_efficientnetb0_eca_mlp512_silu_full,eca,mlp512,silu,full,2,22,0.00779198,0.99745304,0.10384390,0.97732997,0.0001000000,13.2941,1,0,1,128
grid,grid_efficientnetb0_eca_mlp512_silu_full,eca,mlp512,silu,full,2,23,0.00687744,0.99777141,0.11154905,0.97607053,0.0001000000,13.5785,0,1,1,128
grid,grid_efficientnetb0_eca_mlp512_silu_full,eca,mlp512,silu,full,2,24,0.00744360,0.99777141,0.11485389,0.97355164,0.0001000000,13.7119,0,2,1,128
grid,grid_efficientnetb0_eca_mlp512_silu_full,eca,mlp512,silu,full,2,25,0.00588544,0.99888571,0.11795706,0.97229219,0.0001000000,13.9734,0,3,1,128
grid,grid_efficientnetb0_eca_mlp512_silu_full,eca,mlp512,silu,full,2,26,0.00388613,0.99872652,0.11804343,0.97229219,0.0001000000,14.1157,0,4,1,128
grid,grid_efficientnetb0_eca_mlp512_silu_full,eca,mlp512,silu,full,2,27,0.00401944,0.99888571,0.12368878,0.97166247,0.0001000000,13.2183,0,5,1,128
grid,grid_efficientnetb0_eca_mlp512_silu_full,eca,mlp512,silu,full,2,28,0.00511072,0.99808978,0.11709003,0.97355164,0.0000100000,13.5607,0,6,1,128
grid,grid_efficientnetb0_eca_mlp512_silu_full,eca,mlp512,silu,full,2,29,0.00621424,0.99824897,0.12282710,0.97229219,0.0000100000,13.8059,0,7,1,128
grid,grid_efficientnetb0_eca_mlp512_silu_full,eca,mlp512,silu,full,2,30,0.00398104,0.99856734,0.10446635,0.97858942,0.0000100000,12.8951,0,8,1,128
grid,grid_efficientnetb0_eca_mlp512_silu_full,eca,mlp512,silu,full,2,31,0.00378912,0.99904489,0.10864076,0.97418136,0.0000100000,14.2727,0,9,1,128
grid,grid_efficientnetb0_eca_mlp512_silu_full,eca,mlp512,silu,full,2,32,0.00408960,0.99904489,0.11849997,0.97229219,0.0000100000,13.6507,0,10,1,128
