stage,model_name,attention,head,activation,train_scope,seed,epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec,is_best,early_stop_counter,grad_accum_steps,effective_batch_size
grid,grid_efficientnetb0_eca_mlp512_silu_last2,eca,mlp512,silu,last2,2,1,1.59320650,0.49808978,1.55702275,0.51259446,0.0010000000,11.8930,1,0,1,128
grid,grid_efficientnetb0_eca_mlp512_silu_last2,eca,mlp512,silu,last2,2,2,0.62828997,0.79114932,1.14265234,0.63476071,0.0010000000,10.8364,1,0,1,128
grid,grid_efficientnetb0_eca_mlp512_silu_last2,eca,mlp512,silu,last2,2,3,0.45710820,0.85243553,1.05416621,0.65806045,0.0010000000,10.6540,1,0,1,128
grid,grid_efficientnetb0_eca_mlp512_silu_last2,eca,mlp512,silu,last2,2,4,0.31175905,0.89796243,0.83533449,0.72166247,0.0010000000,10.3748,1,0,1,128
grid,grid_efficientnetb0_eca_mlp512_silu_last2,eca,mlp512,silu,last2,2,5,0.26321578,0.91324419,0.94495221,0.69332494,0.0010000000,10.0600,0,1,1,128
grid,grid_efficientnetb0_eca_mlp512_silu_last2,eca,mlp512,silu,last2,2,6,0.21624029,0.92629736,0.79257315,0.73047859,0.0010000000,10.7971,1,0,1,128
grid,grid_efficientnetb0_eca_mlp512_silu_last2,eca,mlp512,silu,last2,2,7,0.20964626,0.92804839,0.99867936,0.68387909,0.0010000000,10.6043,0,1,1,128
grid,grid_efficientnetb0_eca_mlp512_silu_last2,eca,mlp512,silu,last2,2,8,0.14609443,0.94890162,0.81047293,0.74433249,0.0010000000,10.4307,0,2,1,128
grid,grid_efficientnetb0_eca_mlp512_silu_last2,eca,mlp512,silu,last2,2,9,0.17876110,0.93950971,1.00933887,0.71410579,0.0010000000,10.3262,0,3,1,128
grid,grid_efficientnetb0_eca_mlp512_silu_last2,eca,mlp512,silu,last2,2,10,0.18208537,0.93950971,0.67637162,0.78085642,0.0010000000,10.3805,1,0,1,128
grid,grid_efficientnetb0_eca_mlp512_silu_last2,eca,mlp512,silu,last2,2,11,0.12610766,0.95479147,0.90491113,0.75188917,0.0010000000,11.2185,0,1,1,128
grid,grid_efficientnetb0_eca_mlp512_silu_last2,eca,mlp512,silu,last2,2,12,0.11263614,0.96195479,0.93534191,0.72103275,0.0010000000,10.8609,0,2,1,128
grid,grid_efficientnetb0_eca_mlp512_silu_last2,eca,mlp512,silu,last2,2,13,0.10813749,0.96211398,0.87352238,0.75566751,0.0010000000,10.8114,0,3,1,128
grid,grid_efficientnetb0_eca_mlp512_silu_last2,eca,mlp512,silu,last2,2,14,0.09534177,0.96545686,0.97669223,0.73677582,0.0010000000,10.7942,0,4,1,128
grid,grid_efficientnetb0_eca_mlp512_silu_last2,eca,mlp512,silu,last2,2,15,0.12201584,0.95797517,0.68850488,0.80604534,0.0010000000,10.8029,0,5,1,128
grid,grid_efficientnetb0_eca_mlp512_silu_last2,eca,mlp512,silu,last2,2,16,0.08318412,0.96832219,0.79035097,0.77392947,0.0001000000,10.7285,0,6,1,128
grid,grid_efficientnetb0_eca_mlp512_silu_last2,eca,mlp512,silu,last2,2,17,0.08185068,0.97389366,0.85324363,0.74937028,0.0001000000,10.4697,0,7,1,128
grid,grid_efficientnetb0_eca_mlp512_silu_last2,eca,mlp512,silu,last2,2,18,0.05490100,0.98185291,0.82834636,0.75881612,0.0001000000,10.4638,0,8,1,128
grid,grid_efficientnetb0_eca_mlp512_silu_last2,eca,mlp512,silu,last2,2,19,0.05239940,0.98217128,0.84819083,0.74874055,0.0001000000,9.9884,0,9,1,128
grid,grid_efficientnetb0_eca_mlp512_silu_last2,eca,mlp512,silu,last2,2,20,0.05736715,0.97898758,0.66230375,0.80100756,0.0001000000,10.2300,1,0,1,128
grid,grid_efficientnetb0_eca_mlp512_silu_last2,eca,mlp512,silu,last2,2,21,0.04846241,0.98471824,0.57947405,0.82556675,0.0001000000,11.1529,1,0,1,128
grid,grid_efficientnetb0_eca_mlp512_silu_last2,eca,mlp512,silu,last2,2,22,0.04995386,0.98264884,0.57752368,0.82682620,0.0001000000,10.8797,1,0,1,128
grid,grid_efficientnetb0_eca_mlp512_silu_last2,eca,mlp512,silu,last2,2,23,0.05876306,0.98121617,0.67482272,0.79659950,0.0001000000,10.5999,0,1,1,128
grid,grid_efficientnetb0_eca_mlp512_silu_last2,eca,mlp512,silu,last2,2,24,0.04804717,0.98567335,0.80018635,0.75944584,0.0001000000,10.9630,0,2,1,128
grid,grid_efficientnetb0_eca_mlp512_silu_last2,eca,mlp512,silu,last2,2,25,0.04972731,0.98439987,0.67587173,0.81297229,0.0001000000,10.4588,0,3,1,128
grid,grid_efficientnetb0_eca_mlp512_silu_last2,eca,mlp512,silu,last2,2,26,0.04371422,0.98519580,0.74329841,0.79848866,0.0001000000,10.7043,0,4,1,128
grid,grid_efficientnetb0_eca_mlp512_silu_last2,eca,mlp512,silu,last2,2,27,0.04067613,0.98885705,0.64373642,0.81549118,0.0001000000,10.7287,0,5,1,128
grid,grid_efficientnetb0_eca_mlp512_silu_last2,eca,mlp512,silu,last2,2,28,0.04814688,0.98376313,0.59115994,0.83627204,0.0000100000,10.1323,0,6,1,128
grid,grid_efficientnetb0_eca_mlp512_silu_last2,eca,mlp512,silu,last2,2,29,0.04237817,0.98567335,0.69394803,0.81108312,0.0000100000,10.5593,0,7,1,128
grid,grid_efficientnetb0_eca_mlp512_silu_last2,eca,mlp512,silu,last2,2,30,0.04565616,0.98535498,0.59014343,0.83816121,0.0000100000,10.3250,0,8,1,128
grid,grid_efficientnetb0_eca_mlp512_silu_last2,eca,mlp512,silu,last2,2,31,0.03872232,0.98694683,0.89647668,0.74811083,0.0000100000,10.2728,0,9,1,128
grid,grid_efficientnetb0_eca_mlp512_silu_last2,eca,mlp512,silu,last2,2,32,0.04356208,0.98487743,0.56356531,0.84760705,0.0000100000,10.0298,1,0,1,128
grid,grid_efficientnetb0_eca_mlp512_silu_last2,eca,mlp512,silu,last2,2,33,0.04336162,0.98646928,0.77077124,0.78841310,0.0000100000,10.1129,0,1,1,128
grid,grid_efficientnetb0_eca_mlp512_silu_last2,eca,mlp512,silu,last2,2,34,0.03831538,0.98885705,0.54798474,0.85579345,0.0000100000,10.3561,1,0,1,128
grid,grid_efficientnetb0_eca_mlp512_silu_last2,eca,mlp512,silu,last2,2,35,0.04288107,0.98551417,0.69207162,0.80289673,0.0000100000,10.3427,0,1,1,128
grid,grid_efficientnetb0_eca_mlp512_silu_last2,eca,mlp512,silu,last2,2,36,0.03970912,0.98822031,0.64612414,0.82430730,0.0000100000,10.3212,0,2,1,128
grid,grid_efficientnetb0_eca_mlp512_silu_last2,eca,mlp512,silu,last2,2,37,0.03923050,0.98631009,0.87272066,0.76070529,0.0000100000,10.2646,0,3,1,128
grid,grid_efficientnetb0_eca_mlp512_silu_last2,eca,mlp512,silu,last2,2,38,0.04472301,0.98551417,0.61647921,0.81675063,0.0000100000,10.0520,0,4,1,128
grid,grid_efficientnetb0_eca_mlp512_silu_last2,eca,mlp512,silu,last2,2,39,0.03812331,0.98774276,0.69408793,0.81360202,0.0000100000,10.7323,0,5,1,128
grid,grid_efficientnetb0_eca_mlp512_silu_last2,eca,mlp512,silu,last2,2,40,0.03779646,0.98694683,0.62118201,0.83312343,0.0000010000,10.3519,0,6,1,128
grid,grid_efficientnetb0_eca_mlp512_silu_last2,eca,mlp512,silu,last2,2,41,0.03992305,0.98662846,0.73084018,0.78904282,0.0000010000,10.6633,0,7,1,128
grid,grid_efficientnetb0_eca_mlp512_silu_last2,eca,mlp512,silu,last2,2,42,0.04377658,0.98567335,0.82759661,0.76133501,0.0000010000,11.2403,0,8,1,128
grid,grid_efficientnetb0_eca_mlp512_silu_last2,eca,mlp512,silu,last2,2,43,0.03665883,0.99044890,0.62695029,0.82682620,0.0000010000,11.4990,0,9,1,128
grid,grid_efficientnetb0_eca_mlp512_silu_last2,eca,mlp512,silu,last2,2,44,0.03801807,0.98535498,0.68327383,0.80856423,0.0000010000,11.8283,0,10,1,128
