stage,model_name,attention,head,activation,train_scope,seed,epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec,is_best,early_stop_counter,grad_accum_steps,effective_batch_size
grid,grid_efficientnetb0_noattn_linear_added_only,none,linear,relu,added_only,2,1,2.19843464,0.38092964,2.43656095,0.33438287,0.0010000000,10.7829,1,0,1,128
grid,grid_efficientnetb0_noattn_linear_added_only,none,linear,relu,added_only,2,2,1.54914907,0.59917224,2.32815729,0.33501259,0.0010000000,10.8861,1,0,1,128
grid,grid_efficientnetb0_noattn_linear_added_only,none,linear,relu,added_only,2,3,1.29545323,0.66268704,1.91118285,0.51196474,0.0010000000,11.5335,1,0,1,128
grid,grid_efficientnetb0_noattn_linear_added_only,none,linear,relu,added_only,2,4,1.12951213,0.70296084,2.17937126,0.38287154,0.0010000000,10.8664,0,1,1,128
grid,grid_efficientnetb0_noattn_linear_added_only,none,linear,relu,added_only,2,5,1.04468404,0.71633238,1.83854433,0.52329975,0.0010000000,11.3420,1,0,1,128
grid,grid_efficientnetb0_noattn_linear_added_only,none,linear,relu,added_only,2,6,0.97131976,0.74673671,1.76415209,0.53652393,0.0010000000,10.3616,1,0,1,128
grid,grid_efficientnetb0_noattn_linear_added_only,none,linear,relu,added_only,2,7,0.90355781,0.76010825,2.02485615,0.40617128,0.0010000000,10.6360,0,1,1,128
grid,grid_efficientnetb0_noattn_linear_added_only,none,linear,relu,added_only,2,8,0.85062333,0.76488379,1.70287990,0.55856423,0.0010000000,10.8773,1,0,1,128
grid,grid_efficientnetb0_noattn_linear_added_only,none,linear,relu,added_only,2,9,0.81896357,0.77475326,1.84693513,0.48362720,0.0010000000,11.4551,0,1,1,128
grid,grid_efficientnetb0_noattn_linear_added_only,none,linear,relu,added_only,2,10,0.78529177,0.79051258,1.78905970,0.50629723,0.0010000000,11.3703,0,2,1,128
grid,grid_efficientnetb0_noattn_linear_added_only,none,linear,relu,added_only,2,11,0.76396233,0.79035339,1.72888562,0.52078086,0.0010000000,10.7196,0,3,1,128
grid,grid_efficientnetb0_noattn_linear_added_only,none,linear,relu,added_only,2,12,0.73475889,0.79353709,1.89115175,0.43261965,0.0010000000,11.1711,0,4,1,128
grid,grid_efficientnetb0_noattn_linear_added_only,none,linear,relu,added_only,2,13,0.71862886,0.80531678,1.84100019,0.45780856,0.0010000000,11.2783,0,5,1,128
grid,grid_efficientnetb0_noattn_linear_added_only,none,linear,relu,added_only,2,14,0.70680982,0.80372493,1.63372672,0.57682620,0.0010000000,10.4322,1,0,1,128
grid,grid_efficientnetb0_noattn_linear_added_only,none,linear,relu,added_only,2,15,0.68183928,0.80627189,1.61397683,0.56045340,0.0010000000,11.1390,1,0,1,128
grid,grid_efficientnetb0_noattn_linear_added_only,none,linear,relu,added_only,2,16,0.65650303,0.81056988,1.63649011,0.54282116,0.0010000000,10.9478,0,1,1,128
grid,grid_efficientnetb0_noattn_linear_added_only,none,linear,relu,added_only,2,17,0.64625521,0.81980261,1.56524904,0.57304786,0.0010000000,11.2980,1,0,1,128
grid,grid_efficientnetb0_noattn_linear_added_only,none,linear,relu,added_only,2,18,0.63571351,0.81916587,1.45344586,0.58879093,0.0010000000,10.9233,1,0,1,128
