stage,model_name,attention,head,activation,train_scope,seed,epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec,is_best,early_stop_counter,grad_accum_steps,effective_batch_size
grid,grid_efficientnetb0_noattn_linear_full,none,linear,relu,full,1,1,0.88965450,0.73766316,0.50430695,0.83753149,0.0010000000,20.2992,1,0,1,128
grid,grid_efficientnetb0_noattn_linear_full,none,linear,relu,full,1,2,0.21280510,0.93202802,0.27442578,0.91120907,0.0010000000,13.0133,1,0,1,128
grid,grid_efficientnetb0_noattn_linear_full,none,linear,relu,full,1,3,0.12143699,0.95956702,0.18439482,0.95340050,0.0010000000,12.9306,1,0,1,128
grid,grid_efficientnetb0_noattn_linear_full,none,linear,relu,full,1,4,0.06357677,0.97787329,0.15957989,0.95214106,0.0010000000,12.7416,1,0,1,128
grid,grid_efficientnetb0_noattn_linear_full,none,linear,relu,full,1,5,0.04773563,0.98487743,0.18485530,0.95151134,0.0010000000,12.6781,0,1,1,128
grid,grid_efficientnetb0_noattn_linear_full,none,linear,relu,full,1,6,0.05247176,0.98392232,0.12920646,0.96977330,0.0010000000,12.9331,1,0,1,128
grid,grid_efficientnetb0_noattn_linear_full,none,linear,relu,full,1,7,0.09159513,0.97118752,0.18200746,0.93891688,0.0010000000,12.7532,0,1,1,128
grid,grid_efficientnetb0_noattn_linear_full,none,linear,relu,full,1,8,0.05466802,0.98408150,0.22593457,0.94899244,0.0010000000,12.7878,0,2,1,128
grid,grid_efficientnetb0_noattn_linear_full,none,linear,relu,full,1,9,0.05330495,0.98487743,0.15175635,0.95214106,0.0010000000,12.8635,0,3,1,128
grid,grid_efficientnetb0_noattn_linear_full,none,linear,relu,full,1,10,0.07970284,0.97484877,0.16309760,0.95906801,0.0010000000,12.9078,0,4,1,128
grid,grid_efficientnetb0_noattn_linear_full,none,linear,relu,full,1,11,0.03230090,0.99060809,0.13758626,0.96347607,0.0010000000,12.8430,0,5,1,128
grid,grid_efficientnetb0_noattn_linear_full,none,linear,relu,full,1,12,0.02720309,0.99188157,0.14779345,0.95088161,0.0001000000,12.5611,0,6,1,128
grid,grid_efficientnetb0_noattn_linear_full,none,linear,relu,full,1,13,0.01804863,0.99474690,0.09532696,0.97544081,0.0001000000,13.0999,1,0,1,128
grid,grid_efficientnetb0_noattn_linear_full,none,linear,relu,full,1,14,0.00884437,0.99808978,0.09236413,0.97795970,0.0001000000,12.6974,1,0,1,128
grid,grid_efficientnetb0_noattn_linear_full,none,linear,relu,full,1,15,0.00640234,0.99872652,0.09451893,0.97858942,0.0001000000,13.0175,0,1,1,128
grid,grid_efficientnetb0_noattn_linear_full,none,linear,relu,full,1,16,0.00840027,0.99745304,0.09253677,0.97795970,0.0001000000,12.6913,0,2,1,128
grid,grid_efficientnetb0_noattn_linear_full,none,linear,relu,full,1,17,0.00671961,0.99824897,0.09467406,0.97984887,0.0001000000,12.8164,0,3,1,128
grid,grid_efficientnetb0_noattn_linear_full,none,linear,relu,full,1,18,0.00457323,0.99904489,0.09452467,0.97858942,0.0001000000,12.6786,0,4,1,128
grid,grid_efficientnetb0_noattn_linear_full,none,linear,relu,full,1,19,0.00373851,0.99952245,0.09478750,0.97921914,0.0001000000,12.6790,0,5,1,128
grid,grid_efficientnetb0_noattn_linear_full,none,linear,relu,full,1,20,0.00441318,0.99872652,0.09617430,0.97921914,0.0000100000,12.9625,0,6,1,128
grid,grid_efficientnetb0_noattn_linear_full,none,linear,relu,full,1,21,0.00376503,0.99888571,0.09250699,0.98047859,0.0000100000,12.8244,0,7,1,128
grid,grid_efficientnetb0_noattn_linear_full,none,linear,relu,full,1,22,0.00415881,0.99888571,0.09623467,0.97795970,0.0000100000,12.8327,0,8,1,128
grid,grid_efficientnetb0_noattn_linear_full,none,linear,relu,full,1,23,0.00361084,0.99904489,0.09510285,0.97795970,0.0000100000,12.7917,0,9,1,128
grid,grid_efficientnetb0_noattn_linear_full,none,linear,relu,full,1,24,0.00447880,0.99872652,0.09450342,0.97858942,0.0000100000,12.8135,0,10,1,128
