stage,model_name,attention,head,activation,train_scope,seed,epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec,is_best,early_stop_counter,grad_accum_steps,effective_batch_size
grid,grid_efficientnetb0_noattn_linear_last2,none,linear,relu,last2,3,1,1.33049902,0.60458453,1.53000069,0.53589421,0.0010000000,10.8010,1,0,1,128
grid,grid_efficientnetb0_noattn_linear_last2,none,linear,relu,last2,3,2,0.48804490,0.84845591,1.05590153,0.66120907,0.0010000000,11.2402,1,0,1,128
grid,grid_efficientnetb0_noattn_linear_last2,none,linear,relu,last2,3,3,0.33596294,0.89652977,0.89890092,0.71536524,0.0010000000,11.2834,1,0,1,128
grid,grid_efficientnetb0_noattn_linear_last2,none,linear,relu,last2,3,4,0.25071502,0.91770137,0.86987504,0.72921914,0.0010000000,10.6630,1,0,1,128
grid,grid_efficientnetb0_noattn_linear_last2,none,linear,relu,last2,3,5,0.20348900,0.93282394,0.76221648,0.76196474,0.0010000000,11.2341,1,0,1,128
grid,grid_efficientnetb0_noattn_linear_last2,none,linear,relu,last2,3,6,0.18363131,0.93855460,0.69460454,0.78652393,0.0010000000,11.2616,1,0,1,128
grid,grid_efficientnetb0_noattn_linear_last2,none,linear,relu,last2,3,7,0.14077795,0.95399554,0.69695257,0.78463476,0.0010000000,11.1676,0,1,1,128
grid,grid_efficientnetb0_noattn_linear_last2,none,linear,relu,last2,3,8,0.11300464,0.96482012,0.67697219,0.80982368,0.0010000000,11.0747,1,0,1,128
grid,grid_efficientnetb0_noattn_linear_last2,none,linear,relu,last2,3,9,0.13275284,0.95574658,0.86692919,0.74748111,0.0010000000,10.8618,0,1,1,128
grid,grid_efficientnetb0_noattn_linear_last2,none,linear,relu,last2,3,10,0.11014484,0.96370583,0.64379646,0.81612091,0.0010000000,11.1540,1,0,1,128
grid,grid_efficientnetb0_noattn_linear_last2,none,linear,relu,last2,3,11,0.10265697,0.96688953,0.65468005,0.82052897,0.0010000000,11.0379,0,1,1,128
grid,grid_efficientnetb0_noattn_linear_last2,none,linear,relu,last2,3,12,0.09560256,0.96927730,0.61314037,0.83627204,0.0010000000,11.2380,1,0,1,128
grid,grid_efficientnetb0_noattn_linear_last2,none,linear,relu,last2,3,13,0.11866742,0.96068131,0.74721547,0.80478589,0.0010000000,10.4212,0,1,1,128
grid,grid_efficientnetb0_noattn_linear_last2,none,linear,relu,last2,3,14,0.10379356,0.96704871,0.62429191,0.83060453,0.0010000000,10.6201,0,2,1,128
grid,grid_efficientnetb0_noattn_linear_last2,none,linear,relu,last2,3,15,0.08664797,0.97214263,0.70523550,0.79659950,0.0010000000,10.8640,0,3,1,128
grid,grid_efficientnetb0_noattn_linear_last2,none,linear,relu,last2,3,16,0.07097621,0.97484877,0.71950608,0.79659950,0.0010000000,10.3406,0,4,1,128
grid,grid_efficientnetb0_noattn_linear_last2,none,linear,relu,last2,3,17,0.07425353,0.97373448,0.77910653,0.80100756,0.0010000000,11.0645,0,5,1,128
grid,grid_efficientnetb0_noattn_linear_last2,none,linear,relu,last2,3,18,0.06473200,0.97771410,0.57432817,0.85264484,0.0010000000,11.1171,1,0,1,128
grid,grid_efficientnetb0_noattn_linear_last2,none,linear,relu,last2,3,19,0.07272211,0.97707736,0.85710121,0.81423174,0.0010000000,13.4386,0,1,1,128
grid,grid_efficientnetb0_noattn_linear_last2,none,linear,relu,last2,3,20,0.05585060,0.98042025,0.55184668,0.86209068,0.0010000000,16.8637,1,0,1,128
grid,grid_efficientnetb0_noattn_linear_last2,none,linear,relu,last2,3,21,0.07030359,0.97755492,0.55522787,0.85516373,0.0010000000,17.3578,0,1,1,128
grid,grid_efficientnetb0_noattn_linear_last2,none,linear,relu,last2,3,22,0.07052676,0.97739573,0.76616742,0.80604534,0.0010000000,14.9095,0,2,1,128
grid,grid_efficientnetb0_noattn_linear_last2,none,linear,relu,last2,3,23,0.05948167,0.98105699,0.65748914,0.83816121,0.0010000000,15.5816,0,3,1,128
grid,grid_efficientnetb0_noattn_linear_last2,none,linear,relu,last2,3,24,0.08635131,0.97070996,0.61617799,0.83186398,0.0010000000,14.9398,0,4,1,128
grid,grid_efficientnetb0_noattn_linear_last2,none,linear,relu,last2,3,25,0.05614421,0.98169373,0.61432267,0.84005038,0.0010000000,14.4237,0,5,1,128
grid,grid_efficientnetb0_noattn_linear_last2,none,linear,relu,last2,3,26,0.04652738,0.98503661,0.46295989,0.87342569,0.0010000000,14.2171,1,0,1,128
grid,grid_efficientnetb0_noattn_linear_last2,none,linear,relu,last2,3,27,0.04450053,0.98583254,0.54853953,0.87090680,0.0010000000,14.4910,0,1,1,128
grid,grid_efficientnetb0_noattn_linear_last2,none,linear,relu,last2,3,28,0.06979221,0.97771410,0.80558702,0.81486146,0.0010000000,12.0546,0,2,1,128
grid,grid_efficientnetb0_noattn_linear_last2,none,linear,relu,last2,3,29,0.04201880,0.98551417,0.66660530,0.84256927,0.0010000000,10.8272,0,3,1,128
grid,grid_efficientnetb0_noattn_linear_last2,none,linear,relu,last2,3,30,0.05479614,0.98201210,0.61317008,0.84382872,0.0010000000,11.2071,0,4,1,128
grid,grid_efficientnetb0_noattn_linear_last2,none,linear,relu,last2,3,31,0.05215240,0.98328558,0.55204565,0.83186398,0.0010000000,10.9886,0,5,1,128
grid,grid_efficientnetb0_noattn_linear_last2,none,linear,relu,last2,3,32,0.04905315,0.98344476,0.61469848,0.84193955,0.0001000000,11.0647,0,6,1,128
grid,grid_efficientnetb0_noattn_linear_last2,none,linear,relu,last2,3,33,0.03888714,0.98694683,0.55850927,0.84634761,0.0001000000,10.7978,0,7,1,128
grid,grid_efficientnetb0_noattn_linear_last2,none,linear,relu,last2,3,34,0.02826492,0.99092646,0.51849662,0.86146096,0.0001000000,10.5782,0,8,1,128
grid,grid_efficientnetb0_noattn_linear_last2,none,linear,relu,last2,3,35,0.02851421,0.99140401,0.45657608,0.88287154,0.0001000000,11.5883,1,0,1,128
grid,grid_efficientnetb0_noattn_linear_last2,none,linear,relu,last2,3,36,0.02824636,0.98997135,0.48336126,0.87027708,0.0001000000,11.2053,0,1,1,128
grid,grid_efficientnetb0_noattn_linear_last2,none,linear,relu,last2,3,37,0.03086509,0.98965298,0.62501312,0.83312343,0.0001000000,10.8862,0,2,1,128
grid,grid_efficientnetb0_noattn_linear_last2,none,linear,relu,last2,3,38,0.02765700,0.99156320,0.56097347,0.84760705,0.0001000000,11.0625,0,3,1,128
grid,grid_efficientnetb0_noattn_linear_last2,none,linear,relu,last2,3,39,0.02507644,0.99347342,0.58144765,0.84886650,0.0001000000,11.3552,0,4,1,128
grid,grid_efficientnetb0_noattn_linear_last2,none,linear,relu,last2,3,40,0.02449424,0.99204075,0.56970574,0.84823678,0.0001000000,11.1235,0,5,1,128
grid,grid_efficientnetb0_noattn_linear_last2,none,linear,relu,last2,3,41,0.02870208,0.99044890,0.53283067,0.85327456,0.0000100000,11.2635,0,6,1,128
grid,grid_efficientnetb0_noattn_linear_last2,none,linear,relu,last2,3,42,0.02048079,0.99538364,0.51452591,0.86335013,0.0000100000,11.0795,0,7,1,128
grid,grid_efficientnetb0_noattn_linear_last2,none,linear,relu,last2,3,43,0.02306532,0.99299586,0.47967678,0.87090680,0.0000100000,10.4050,0,8,1,128
grid,grid_efficientnetb0_noattn_linear_last2,none,linear,relu,last2,3,44,0.02366876,0.99267749,0.56123366,0.85075567,0.0000100000,10.7480,0,9,1,128
grid,grid_efficientnetb0_noattn_linear_last2,none,linear,relu,last2,3,45,0.02401292,0.99188157,0.47718028,0.87342569,0.0000100000,10.6466,0,10,1,128
