stage,model_name,attention,head,activation,train_scope,seed,epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec,is_best,early_stop_counter,grad_accum_steps,effective_batch_size
grid,grid_efficientnetb0_noattn_mlp512_added_only,none,mlp512,relu,added_only,1,1,1.82018368,0.46052213,1.88730442,0.45717884,0.0010000000,10.7932,1,0,1,128
grid,grid_efficientnetb0_noattn_mlp512_added_only,none,mlp512,relu,added_only,1,2,1.03534406,0.67685450,2.00496095,0.41183879,0.0010000000,10.1514,0,1,1,128
grid,grid_efficientnetb0_noattn_mlp512_added_only,none,mlp512,relu,added_only,1,3,0.82836849,0.74180197,1.79886927,0.47229219,0.0010000000,10.5357,1,0,1,128
grid,grid_efficientnetb0_noattn_mlp512_added_only,none,mlp512,relu,added_only,1,4,0.71957086,0.77554919,1.66336529,0.50881612,0.0010000000,10.2662,1,0,1,128
grid,grid_efficientnetb0_noattn_mlp512_added_only,none,mlp512,relu,added_only,1,5,0.62673947,0.80515759,1.81374396,0.46158690,0.0010000000,10.2644,0,1,1,128
grid,grid_efficientnetb0_noattn_mlp512_added_only,none,mlp512,relu,added_only,1,6,0.58746686,0.81248010,1.57926184,0.54722922,0.0010000000,10.0446,1,0,1,128
grid,grid_efficientnetb0_noattn_mlp512_added_only,none,mlp512,relu,added_only,1,7,0.54990235,0.82107609,1.67769080,0.49118388,0.0010000000,10.4785,0,1,1,128
grid,grid_efficientnetb0_noattn_mlp512_added_only,none,mlp512,relu,added_only,1,8,0.49797336,0.84336199,1.52728256,0.55037783,0.0010000000,11.7558,1,0,1,128
grid,grid_efficientnetb0_noattn_mlp512_added_only,none,mlp512,relu,added_only,1,9,0.48487959,0.84463547,1.61033985,0.51133501,0.0010000000,10.8741,0,1,1,128
grid,grid_efficientnetb0_noattn_mlp512_added_only,none,mlp512,relu,added_only,1,10,0.45550633,0.85116205,1.81888014,0.42632242,0.0010000000,10.2622,0,2,1,128
grid,grid_efficientnetb0_noattn_mlp512_added_only,none,mlp512,relu,added_only,1,11,0.42516325,0.86564788,1.31583177,0.61083123,0.0010000000,10.7055,1,0,1,128
grid,grid_efficientnetb0_noattn_mlp512_added_only,none,mlp512,relu,added_only,1,12,0.39670264,0.86692136,1.31653821,0.60768262,0.0010000000,10.6006,0,1,1,128
grid,grid_efficientnetb0_noattn_mlp512_added_only,none,mlp512,relu,added_only,1,13,0.39634788,0.86787647,1.31186730,0.61712846,0.0010000000,10.7372,1,0,1,128
grid,grid_efficientnetb0_noattn_mlp512_added_only,none,mlp512,relu,added_only,1,14,0.38263793,0.87535817,1.33423455,0.58816121,0.0010000000,10.7171,0,1,1,128
grid,grid_efficientnetb0_noattn_mlp512_added_only,none,mlp512,relu,added_only,1,15,0.35151111,0.88570519,1.52177724,0.51952141,0.0010000000,9.9864,0,2,1,128
grid,grid_efficientnetb0_noattn_mlp512_added_only,none,mlp512,relu,added_only,1,16,0.34773353,0.88475008,1.75015367,0.44584383,0.0010000000,10.1708,0,3,1,128
grid,grid_efficientnetb0_noattn_mlp512_added_only,none,mlp512,relu,added_only,1,17,0.35361970,0.88427252,1.28033518,0.59760705,0.0010000000,10.3350,1,0,1,128
grid,grid_efficientnetb0_noattn_mlp512_added_only,none,mlp512,relu,added_only,1,18,0.34115865,0.88395415,1.70749020,0.47229219,0.0010000000,10.7588,0,1,1,128
grid,grid_efficientnetb0_noattn_mlp512_added_only,none,mlp512,relu,added_only,1,19,0.31158065,0.89812162,1.64777872,0.47544081,0.0010000000,10.7240,0,2,1,128
