stage,model_name,attention,head,activation,train_scope,seed,epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec,is_best,early_stop_counter,grad_accum_steps,effective_batch_size
grid,grid_efficientnetb0_noattn_mlp512_full,none,mlp512,relu,full,2,1,1.08031291,0.66316460,0.68341620,0.78904282,0.0010000000,13.2764,1,0,1,128
grid,grid_efficientnetb0_noattn_mlp512_full,none,mlp512,relu,full,2,2,0.25876975,0.91435848,0.32263186,0.89483627,0.0010000000,13.0118,1,0,1,128
grid,grid_efficientnetb0_noattn_mlp512_full,none,mlp512,relu,full,2,3,0.13324725,0.95749761,0.30203498,0.90365239,0.0010000000,12.9627,1,0,1,128
grid,grid_efficientnetb0_noattn_mlp512_full,none,mlp512,relu,full,2,4,0.12533754,0.95908946,0.30513491,0.92128463,0.0010000000,12.8594,0,1,1,128
grid,grid_efficientnetb0_noattn_mlp512_full,none,mlp512,relu,full,2,5,0.12155245,0.96243235,0.28875602,0.90680101,0.0010000000,12.9810,1,0,1,128
grid,grid_efficientnetb0_noattn_mlp512_full,none,mlp512,relu,full,2,6,0.06980367,0.97851003,0.18497370,0.94332494,0.0010000000,13.0481,1,0,1,128
grid,grid_efficientnetb0_noattn_mlp512_full,none,mlp512,relu,full,2,7,0.03850796,0.98806113,0.14241263,0.95591940,0.0010000000,12.8833,1,0,1,128
grid,grid_efficientnetb0_noattn_mlp512_full,none,mlp512,relu,full,2,8,0.04065352,0.98837950,0.14140736,0.96158690,0.0010000000,12.7461,1,0,1,128
grid,grid_efficientnetb0_noattn_mlp512_full,none,mlp512,relu,full,2,9,0.07926961,0.97628144,0.17161680,0.95843829,0.0010000000,13.0101,0,1,1,128
grid,grid_efficientnetb0_noattn_mlp512_full,none,mlp512,relu,full,2,10,0.07441147,0.97723655,0.21501824,0.94080605,0.0010000000,12.7348,0,2,1,128
grid,grid_efficientnetb0_noattn_mlp512_full,none,mlp512,relu,full,2,11,0.04869785,0.98360395,0.12730710,0.96851385,0.0010000000,12.9731,1,0,1,128
grid,grid_efficientnetb0_noattn_mlp512_full,none,mlp512,relu,full,2,12,0.06992184,0.97946514,0.23355523,0.94143577,0.0010000000,13.1546,0,1,1,128
grid,grid_efficientnetb0_noattn_mlp512_full,none,mlp512,relu,full,2,13,0.03643265,0.98901624,0.23375601,0.95277078,0.0010000000,13.1476,0,2,1,128
grid,grid_efficientnetb0_noattn_mlp512_full,none,mlp512,relu,full,2,14,0.03294468,0.99028972,0.20336996,0.94899244,0.0010000000,12.8608,0,3,1,128
grid,grid_efficientnetb0_noattn_mlp512_full,none,mlp512,relu,full,2,15,0.10243102,0.97086915,0.17859382,0.94269521,0.0010000000,12.7883,0,4,1,128
grid,grid_efficientnetb0_noattn_mlp512_full,none,mlp512,relu,full,2,16,0.07609434,0.97628144,0.14503618,0.95780856,0.0010000000,12.9414,0,5,1,128
grid,grid_efficientnetb0_noattn_mlp512_full,none,mlp512,relu,full,2,17,0.06474971,0.97946514,0.12765449,0.96284635,0.0001000000,12.7131,0,6,1,128
grid,grid_efficientnetb0_noattn_mlp512_full,none,mlp512,relu,full,2,18,0.02235981,0.99331423,0.08854807,0.97732997,0.0001000000,12.9548,1,0,1,128
grid,grid_efficientnetb0_noattn_mlp512_full,none,mlp512,relu,full,2,19,0.01440435,0.99665712,0.07872333,0.98110831,0.0001000000,13.0129,1,0,1,128
grid,grid_efficientnetb0_noattn_mlp512_full,none,mlp512,relu,full,2,20,0.00990507,0.99713467,0.07364645,0.98425693,0.0001000000,12.9577,1,0,1,128
grid,grid_efficientnetb0_noattn_mlp512_full,none,mlp512,relu,full,2,21,0.00929140,0.99681630,0.08218938,0.98614610,0.0001000000,12.6199,0,1,1,128
grid,grid_efficientnetb0_noattn_mlp512_full,none,mlp512,relu,full,2,22,0.00865906,0.99745304,0.08361115,0.98551637,0.0001000000,12.8485,0,2,1,128
grid,grid_efficientnetb0_noattn_mlp512_full,none,mlp512,relu,full,2,23,0.00934112,0.99713467,0.08378548,0.98488665,0.0001000000,12.6405,0,3,1,128
grid,grid_efficientnetb0_noattn_mlp512_full,none,mlp512,relu,full,2,24,0.00886260,0.99793060,0.09166645,0.98110831,0.0001000000,12.5497,0,4,1,128
grid,grid_efficientnetb0_noattn_mlp512_full,none,mlp512,relu,full,2,25,0.00600244,0.99824897,0.09146026,0.97795970,0.0001000000,12.7556,0,5,1,128
grid,grid_efficientnetb0_noattn_mlp512_full,none,mlp512,relu,full,2,26,0.00422130,0.99872652,0.09408922,0.98236776,0.0000100000,14.3759,0,6,1,128
grid,grid_efficientnetb0_noattn_mlp512_full,none,mlp512,relu,full,2,27,0.00493325,0.99840815,0.08842082,0.98299748,0.0000100000,14.3644,0,7,1,128
grid,grid_efficientnetb0_noattn_mlp512_full,none,mlp512,relu,full,2,28,0.00431688,0.99872652,0.08433853,0.98488665,0.0000100000,13.6113,0,8,1,128
grid,grid_efficientnetb0_noattn_mlp512_full,none,mlp512,relu,full,2,29,0.00513919,0.99808978,0.09261756,0.98110831,0.0000100000,14.9249,0,9,1,128
grid,grid_efficientnetb0_noattn_mlp512_full,none,mlp512,relu,full,2,30,0.00561551,0.99824897,0.08952753,0.98173804,0.0000100000,15.7603,0,10,1,128
