stage,model_name,attention,head,activation,train_scope,seed,epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec,is_best,early_stop_counter,grad_accum_steps,effective_batch_size
grid,grid_efficientnetb0_noattn_mlp512_last2,none,mlp512,relu,last2,1,1,1.36175817,0.57609042,1.20171040,0.58879093,0.0010000000,11.2846,1,0,1,128
grid,grid_efficientnetb0_noattn_mlp512_last2,none,mlp512,relu,last2,1,2,0.52214104,0.82314550,1.27576080,0.59068010,0.0010000000,10.3847,0,1,1,128
grid,grid_efficientnetb0_noattn_mlp512_last2,none,mlp512,relu,last2,1,3,0.37130516,0.87631328,0.84102050,0.73047859,0.0010000000,10.5593,1,0,1,128
grid,grid_efficientnetb0_noattn_mlp512_last2,none,mlp512,relu,last2,1,4,0.28376512,0.90305635,0.82585050,0.74244332,0.0010000000,10.8050,1,0,1,128
grid,grid_efficientnetb0_noattn_mlp512_last2,none,mlp512,relu,last2,1,5,0.23040729,0.92375040,1.28833207,0.62279597,0.0010000000,10.1927,0,1,1,128
grid,grid_efficientnetb0_noattn_mlp512_last2,none,mlp512,relu,last2,1,6,0.19047030,0.93648520,0.76444888,0.79093199,0.0010000000,10.5229,1,0,1,128
grid,grid_efficientnetb0_noattn_mlp512_last2,none,mlp512,relu,last2,1,7,0.16711395,0.94508118,0.88984603,0.74496222,0.0010000000,10.4085,0,1,1,128
grid,grid_efficientnetb0_noattn_mlp512_last2,none,mlp512,relu,last2,1,8,0.15648595,0.94890162,0.65084348,0.80478589,0.0010000000,10.8952,1,0,1,128
grid,grid_efficientnetb0_noattn_mlp512_last2,none,mlp512,relu,last2,1,9,0.15519863,0.94906081,0.81830216,0.78148615,0.0010000000,10.0850,0,1,1,128
grid,grid_efficientnetb0_noattn_mlp512_last2,none,mlp512,relu,last2,1,10,0.14412426,0.95367717,0.88223628,0.76511335,0.0010000000,10.7072,0,2,1,128
grid,grid_efficientnetb0_noattn_mlp512_last2,none,mlp512,relu,last2,1,11,0.11521787,0.95717924,0.64123543,0.82304786,0.0010000000,10.4069,1,0,1,128
grid,grid_efficientnetb0_noattn_mlp512_last2,none,mlp512,relu,last2,1,12,0.09769808,0.96673034,0.54941355,0.84571788,0.0010000000,10.0933,1,0,1,128
grid,grid_efficientnetb0_noattn_mlp512_last2,none,mlp512,relu,last2,1,13,0.08964916,0.96848138,0.63043039,0.82178841,0.0010000000,10.6265,0,1,1,128
grid,grid_efficientnetb0_noattn_mlp512_last2,none,mlp512,relu,last2,1,14,0.07948543,0.97118752,0.41671273,0.87909320,0.0010000000,10.5403,1,0,1,128
grid,grid_efficientnetb0_noattn_mlp512_last2,none,mlp512,relu,last2,1,15,0.07247752,0.97389366,0.54067342,0.84068010,0.0010000000,10.7159,0,1,1,128
grid,grid_efficientnetb0_noattn_mlp512_last2,none,mlp512,relu,last2,1,16,0.06720729,0.97580388,0.76968166,0.79534005,0.0010000000,10.8636,0,2,1,128
grid,grid_efficientnetb0_noattn_mlp512_last2,none,mlp512,relu,last2,1,17,0.11193536,0.96004457,0.51229623,0.85138539,0.0010000000,10.1716,0,3,1,128
grid,grid_efficientnetb0_noattn_mlp512_last2,none,mlp512,relu,last2,1,18,0.07304773,0.97484877,0.95659448,0.77329975,0.0010000000,10.0330,0,4,1,128
grid,grid_efficientnetb0_noattn_mlp512_last2,none,mlp512,relu,last2,1,19,0.05836669,0.98026106,0.68344407,0.81863980,0.0010000000,10.4610,0,5,1,128
grid,grid_efficientnetb0_noattn_mlp512_last2,none,mlp512,relu,last2,1,20,0.06891031,0.97787329,0.67001340,0.82556675,0.0001000000,10.4931,0,6,1,128
grid,grid_efficientnetb0_noattn_mlp512_last2,none,mlp512,relu,last2,1,21,0.04964373,0.98408150,0.67379567,0.83690176,0.0001000000,10.5441,0,7,1,128
grid,grid_efficientnetb0_noattn_mlp512_last2,none,mlp512,relu,last2,1,22,0.04390807,0.98471824,0.81014523,0.80415617,0.0001000000,10.0554,0,8,1,128
grid,grid_efficientnetb0_noattn_mlp512_last2,none,mlp512,relu,last2,1,23,0.03148497,0.98981216,0.62830628,0.83942065,0.0001000000,10.9649,0,9,1,128
grid,grid_efficientnetb0_noattn_mlp512_last2,none,mlp512,relu,last2,1,24,0.03918334,0.98742439,0.61633517,0.84823678,0.0001000000,9.9879,0,10,1,128
