stage,model_name,attention,head,activation,train_scope,seed,epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec,is_best,early_stop_counter,grad_accum_steps,effective_batch_size
grid,grid_efficientnetb0_noattn_mlp512_silu_full,none,mlp512,silu,full,3,1,1.03909130,0.66698504,0.72348053,0.76952141,0.0010000000,12.9216,1,0,1,128
grid,grid_efficientnetb0_noattn_mlp512_silu_full,none,mlp512,silu,full,3,2,0.24773159,0.92327284,0.33989297,0.88916877,0.0010000000,13.0666,1,0,1,128
grid,grid_efficientnetb0_noattn_mlp512_silu_full,none,mlp512,silu,full,3,3,0.12182714,0.96163642,0.25658287,0.91939547,0.0010000000,12.9053,1,0,1,128
grid,grid_efficientnetb0_noattn_mlp512_silu_full,none,mlp512,silu,full,3,4,0.09144739,0.97070996,0.23013850,0.92380353,0.0010000000,12.9082,1,0,1,128
grid,grid_efficientnetb0_noattn_mlp512_silu_full,none,mlp512,silu,full,3,5,0.08600681,0.97341611,0.16554515,0.95151134,0.0010000000,13.0903,1,0,1,128
grid,grid_efficientnetb0_noattn_mlp512_silu_full,none,mlp512,silu,full,3,6,0.07318156,0.97851003,0.27771110,0.92317380,0.0010000000,12.8660,0,1,1,128
grid,grid_efficientnetb0_noattn_mlp512_silu_full,none,mlp512,silu,full,3,7,0.06425231,0.98185291,0.12628782,0.96662469,0.0010000000,12.9272,1,0,1,128
grid,grid_efficientnetb0_noattn_mlp512_silu_full,none,mlp512,silu,full,3,8,0.07500330,0.97596307,0.23612740,0.92758186,0.0010000000,12.7757,0,1,1,128
grid,grid_efficientnetb0_noattn_mlp512_silu_full,none,mlp512,silu,full,3,9,0.13062529,0.96259153,0.43159439,0.91435768,0.0010000000,12.7982,0,2,1,128
grid,grid_efficientnetb0_noattn_mlp512_silu_full,none,mlp512,silu,full,3,10,0.05813195,0.98105699,0.16069660,0.95654912,0.0010000000,12.7609,0,3,1,128
grid,grid_efficientnetb0_noattn_mlp512_silu_full,none,mlp512,silu,full,3,11,0.02985705,0.99092646,0.15864120,0.96095718,0.0010000000,12.8422,0,4,1,128
grid,grid_efficientnetb0_noattn_mlp512_silu_full,none,mlp512,silu,full,3,12,0.02937745,0.98917542,0.21492767,0.94899244,0.0010000000,13.0986,0,5,1,128
grid,grid_efficientnetb0_noattn_mlp512_silu_full,none,mlp512,silu,full,3,13,0.03735362,0.98901624,0.19577797,0.94899244,0.0001000000,12.6619,0,6,1,128
grid,grid_efficientnetb0_noattn_mlp512_silu_full,none,mlp512,silu,full,3,14,0.02833268,0.98933461,0.09012985,0.97732997,0.0001000000,13.0174,1,0,1,128
grid,grid_efficientnetb0_noattn_mlp512_silu_full,none,mlp512,silu,full,3,15,0.01205599,0.99617956,0.08521017,0.97795970,0.0001000000,12.7594,1,0,1,128
grid,grid_efficientnetb0_noattn_mlp512_silu_full,none,mlp512,silu,full,3,16,0.00793674,0.99761223,0.10418645,0.97732997,0.0001000000,12.9052,0,1,1,128
grid,grid_efficientnetb0_noattn_mlp512_silu_full,none,mlp512,silu,full,3,17,0.00520998,0.99872652,0.09419303,0.97858942,0.0001000000,12.7088,0,2,1,128
grid,grid_efficientnetb0_noattn_mlp512_silu_full,none,mlp512,silu,full,3,18,0.00554457,0.99856734,0.09413321,0.97921914,0.0001000000,12.7297,0,3,1,128
grid,grid_efficientnetb0_noattn_mlp512_silu_full,none,mlp512,silu,full,3,19,0.00827902,0.99729386,0.09572991,0.97732997,0.0001000000,12.6045,0,4,1,128
grid,grid_efficientnetb0_noattn_mlp512_silu_full,none,mlp512,silu,full,3,20,0.00751476,0.99793060,0.09772420,0.97732997,0.0001000000,12.7904,0,5,1,128
grid,grid_efficientnetb0_noattn_mlp512_silu_full,none,mlp512,silu,full,3,21,0.00558278,0.99856734,0.09742894,0.97921914,0.0000100000,12.6650,0,6,1,128
grid,grid_efficientnetb0_noattn_mlp512_silu_full,none,mlp512,silu,full,3,22,0.00415026,0.99888571,0.09347633,0.97921914,0.0000100000,12.9084,0,7,1,128
grid,grid_efficientnetb0_noattn_mlp512_silu_full,none,mlp512,silu,full,3,23,0.00385501,0.99888571,0.09392762,0.97795970,0.0000100000,12.8557,0,8,1,128
grid,grid_efficientnetb0_noattn_mlp512_silu_full,none,mlp512,silu,full,3,24,0.00404488,0.99856734,0.09708344,0.97670025,0.0000100000,12.8665,0,9,1,128
grid,grid_efficientnetb0_noattn_mlp512_silu_full,none,mlp512,silu,full,3,25,0.00318339,0.99952245,0.10277389,0.97607053,0.0000100000,12.6885,0,10,1,128
