stage,model_name,attention,head,activation,train_scope,seed,epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec,is_best,early_stop_counter,grad_accum_steps,effective_batch_size
grid,grid_efficientnetb0_noattn_mlp512_silu_last2,none,mlp512,silu,last2,2,1,1.37683021,0.56224132,1.31201953,0.58249370,0.0010000000,11.2333,1,0,1,128
grid,grid_efficientnetb0_noattn_mlp512_silu_last2,none,mlp512,silu,last2,2,2,0.52636932,0.82617001,1.19598550,0.60957179,0.0010000000,10.3503,1,0,1,128
grid,grid_efficientnetb0_noattn_mlp512_silu_last2,none,mlp512,silu,last2,2,3,0.35718637,0.88188475,1.04570145,0.64861461,0.0010000000,11.1644,1,0,1,128
grid,grid_efficientnetb0_noattn_mlp512_silu_last2,none,mlp512,silu,last2,2,4,0.29035096,0.90337472,0.91998463,0.70214106,0.0010000000,10.5746,1,0,1,128
grid,grid_efficientnetb0_noattn_mlp512_silu_last2,none,mlp512,silu,last2,2,5,0.23491216,0.92359121,0.92355877,0.72732997,0.0010000000,10.3749,0,1,1,128
grid,grid_efficientnetb0_noattn_mlp512_silu_last2,none,mlp512,silu,last2,2,6,0.18344184,0.93648520,0.70799597,0.78085642,0.0010000000,10.7404,1,0,1,128
grid,grid_efficientnetb0_noattn_mlp512_silu_last2,none,mlp512,silu,last2,2,7,0.16264407,0.94524037,0.88443728,0.71284635,0.0010000000,11.0222,0,1,1,128
grid,grid_efficientnetb0_noattn_mlp512_silu_last2,none,mlp512,silu,last2,2,8,0.14057846,0.95208532,0.69053259,0.78526448,0.0010000000,11.2288,1,0,1,128
grid,grid_efficientnetb0_noattn_mlp512_silu_last2,none,mlp512,silu,last2,2,9,0.16855792,0.94492200,0.98099739,0.72040302,0.0010000000,10.7900,0,1,1,128
grid,grid_efficientnetb0_noattn_mlp512_silu_last2,none,mlp512,silu,last2,2,10,0.16689123,0.94603629,0.78000901,0.78904282,0.0010000000,11.4493,0,2,1,128
grid,grid_efficientnetb0_noattn_mlp512_silu_last2,none,mlp512,silu,last2,2,11,0.11301081,0.96211398,0.75883769,0.78715365,0.0010000000,10.6308,0,3,1,128
grid,grid_efficientnetb0_noattn_mlp512_silu_last2,none,mlp512,silu,last2,2,12,0.13346104,0.95542821,0.73035606,0.79219144,0.0010000000,10.7459,0,4,1,128
grid,grid_efficientnetb0_noattn_mlp512_silu_last2,none,mlp512,silu,last2,2,13,0.10976028,0.96306909,0.78529257,0.78778338,0.0010000000,10.4883,0,5,1,128
grid,grid_efficientnetb0_noattn_mlp512_silu_last2,none,mlp512,silu,last2,2,14,0.08718938,0.96784464,0.67055557,0.81549118,0.0010000000,10.5872,1,0,1,128
grid,grid_efficientnetb0_noattn_mlp512_silu_last2,none,mlp512,silu,last2,2,15,0.07590588,0.97389366,0.54175922,0.85390428,0.0010000000,11.3365,1,0,1,128
grid,grid_efficientnetb0_noattn_mlp512_silu_last2,none,mlp512,silu,last2,2,16,0.07274979,0.97421203,0.81674665,0.78022670,0.0010000000,11.1216,0,1,1,128
grid,grid_efficientnetb0_noattn_mlp512_silu_last2,none,mlp512,silu,last2,2,17,0.08282910,0.97198344,0.95008919,0.76763224,0.0010000000,10.0350,0,2,1,128
grid,grid_efficientnetb0_noattn_mlp512_silu_last2,none,mlp512,silu,last2,2,18,0.10169628,0.96450175,0.60279101,0.82430730,0.0010000000,10.2966,0,3,1,128
grid,grid_efficientnetb0_noattn_mlp512_silu_last2,none,mlp512,silu,last2,2,19,0.08446593,0.97437122,0.71855342,0.81675063,0.0010000000,10.7649,0,4,1,128
grid,grid_efficientnetb0_noattn_mlp512_silu_last2,none,mlp512,silu,last2,2,20,0.06634490,0.97866921,0.80061352,0.78337531,0.0010000000,10.1930,0,5,1,128
grid,grid_efficientnetb0_noattn_mlp512_silu_last2,none,mlp512,silu,last2,2,21,0.12971456,0.95654250,0.55814702,0.84886650,0.0001000000,11.4543,0,6,1,128
grid,grid_efficientnetb0_noattn_mlp512_silu_last2,none,mlp512,silu,last2,2,22,0.05391124,0.98248965,0.47610775,0.86901763,0.0001000000,10.8963,1,0,1,128
