stage,model_name,attention,head,activation,train_scope,seed,epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec,is_best,early_stop_counter,grad_accum_steps,effective_batch_size
grid,grid_efficientnetb0_se_linear_added_only,se,linear,relu,added_only,2,1,2.30378888,0.35370901,2.44022306,0.31612091,0.0010000000,11.3458,1,0,1,128
grid,grid_efficientnetb0_se_linear_added_only,se,linear,relu,added_only,2,2,1.52231907,0.59742120,2.11191326,0.45214106,0.0010000000,12.0432,1,0,1,128
grid,grid_efficientnetb0_se_linear_added_only,se,linear,relu,added_only,2,3,1.26605804,0.66300541,2.22078876,0.38664987,0.0010000000,13.8862,0,1,1,128
grid,grid_efficientnetb0_se_linear_added_only,se,linear,relu,added_only,2,4,1.09777995,0.71092009,2.11319585,0.41939547,0.0010000000,13.4679,0,2,1,128
grid,grid_efficientnetb0_se_linear_added_only,se,linear,relu,added_only,2,5,1.00727938,0.73145495,1.86895175,0.47984887,0.0010000000,13.1451,1,0,1,128
grid,grid_efficientnetb0_se_linear_added_only,se,linear,relu,added_only,2,6,0.93335793,0.75167144,2.00007011,0.45088161,0.0010000000,12.8480,0,1,1,128
grid,grid_efficientnetb0_se_linear_added_only,se,linear,relu,added_only,2,7,0.86326608,0.76981853,1.79965122,0.49748111,0.0010000000,12.6112,1,0,1,128
grid,grid_efficientnetb0_se_linear_added_only,se,linear,relu,added_only,2,8,0.82492971,0.76981853,1.92455855,0.48677582,0.0010000000,12.3071,0,1,1,128
grid,grid_efficientnetb0_se_linear_added_only,se,linear,relu,added_only,2,9,0.80003511,0.78096148,1.68162810,0.53967254,0.0010000000,12.5000,1,0,1,128
grid,grid_efficientnetb0_se_linear_added_only,se,linear,relu,added_only,2,10,0.75286737,0.78844317,1.75473059,0.52204030,0.0010000000,12.7743,0,1,1,128
grid,grid_efficientnetb0_se_linear_added_only,se,linear,relu,added_only,2,11,0.73115266,0.79703916,1.74960350,0.53715365,0.0010000000,14.4058,0,2,1,128
grid,grid_efficientnetb0_se_linear_added_only,se,linear,relu,added_only,2,12,0.70620191,0.80149634,2.02315416,0.40617128,0.0010000000,15.4275,0,3,1,128
grid,grid_efficientnetb0_se_linear_added_only,se,linear,relu,added_only,2,13,0.67957538,0.80929640,1.80843422,0.49874055,0.0010000000,12.7029,0,4,1,128
grid,grid_efficientnetb0_se_linear_added_only,se,linear,relu,added_only,2,14,0.66398948,0.81168418,1.47808890,0.59256927,0.0010000000,11.3660,1,0,1,128
grid,grid_efficientnetb0_se_linear_added_only,se,linear,relu,added_only,2,15,0.64388496,0.81821076,1.91712273,0.45906801,0.0010000000,11.5695,0,1,1,128
grid,grid_efficientnetb0_se_linear_added_only,se,linear,relu,added_only,2,16,0.61453717,0.82298631,1.78540973,0.50062972,0.0010000000,11.4216,0,2,1,128
grid,grid_efficientnetb0_se_linear_added_only,se,linear,relu,added_only,2,17,0.62007841,0.82091691,1.72971745,0.50125945,0.0010000000,10.7194,0,3,1,128
grid,grid_efficientnetb0_se_linear_added_only,se,linear,relu,added_only,2,18,0.58805535,0.83540274,1.74799733,0.50818640,0.0010000000,10.7466,0,4,1,128
grid,grid_efficientnetb0_se_linear_added_only,se,linear,relu,added_only,2,19,0.57686526,0.83699459,1.57831779,0.54030227,0.0010000000,10.7626,0,5,1,128
grid,grid_efficientnetb0_se_linear_added_only,se,linear,relu,added_only,2,20,0.57137138,0.83540274,1.95042804,0.42947103,0.0001000000,11.1211,0,6,1,128
grid,grid_efficientnetb0_se_linear_added_only,se,linear,relu,added_only,2,21,0.53532364,0.85116205,1.68449005,0.52644836,0.0001000000,10.9876,0,7,1,128
grid,grid_efficientnetb0_se_linear_added_only,se,linear,relu,added_only,2,22,0.54075311,0.84925183,1.60617872,0.54911839,0.0001000000,11.1549,0,8,1,128
grid,grid_efficientnetb0_se_linear_added_only,se,linear,relu,added_only,2,23,0.55850079,0.84001910,1.66713630,0.52267003,0.0001000000,10.9023,0,9,1,128
grid,grid_efficientnetb0_se_linear_added_only,se,linear,relu,added_only,2,24,0.55339202,0.84574976,1.67801353,0.51826196,0.0001000000,10.3954,0,10,1,128
