stage,model_name,attention,head,activation,train_scope,seed,epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec,is_best,early_stop_counter,grad_accum_steps,effective_batch_size
grid,grid_efficientnetb0_se_linear_full,se,linear,relu,full,2,1,1.10583014,0.67494429,0.72552047,0.78022670,0.0010000000,13.5635,1,0,1,128
grid,grid_efficientnetb0_se_linear_full,se,linear,relu,full,2,2,0.25363605,0.91435848,0.43064411,0.84697733,0.0010000000,13.1182,1,0,1,128
grid,grid_efficientnetb0_se_linear_full,se,linear,relu,full,2,3,0.16047773,0.95272206,0.22369153,0.92884131,0.0010000000,13.0738,1,0,1,128
grid,grid_efficientnetb0_se_linear_full,se,linear,relu,full,2,4,0.10887794,0.96322827,0.18532239,0.95528967,0.0010000000,13.1391,1,0,1,128
grid,grid_efficientnetb0_se_linear_full,se,linear,relu,full,2,5,0.07677999,0.97468959,0.14662614,0.96158690,0.0010000000,12.9915,1,0,1,128
grid,grid_efficientnetb0_se_linear_full,se,linear,relu,full,2,6,0.06007699,0.98073862,0.14396590,0.95151134,0.0010000000,13.3404,1,0,1,128
grid,grid_efficientnetb0_se_linear_full,se,linear,relu,full,2,7,0.04247242,0.98599172,0.12518315,0.95465995,0.0010000000,13.0218,1,0,1,128
grid,grid_efficientnetb0_se_linear_full,se,linear,relu,full,2,8,0.03056522,0.99044890,0.16470585,0.95277078,0.0010000000,12.8351,0,1,1,128
grid,grid_efficientnetb0_se_linear_full,se,linear,relu,full,2,9,0.03048477,0.99028972,0.12656061,0.95906801,0.0010000000,12.8626,0,2,1,128
grid,grid_efficientnetb0_se_linear_full,se,linear,relu,full,2,10,0.02163865,0.99315505,0.14751410,0.95591940,0.0010000000,12.7069,0,3,1,128
grid,grid_efficientnetb0_se_linear_full,se,linear,relu,full,2,11,0.02926484,0.99044890,0.21789572,0.95277078,0.0010000000,12.9827,0,4,1,128
grid,grid_efficientnetb0_se_linear_full,se,linear,relu,full,2,12,0.04142551,0.98646928,0.23700232,0.93010076,0.0010000000,13.0134,0,5,1,128
grid,grid_efficientnetb0_se_linear_full,se,linear,relu,full,2,13,0.03566408,0.98822031,0.11882968,0.96788413,0.0010000000,13.1520,1,0,1,128
grid,grid_efficientnetb0_se_linear_full,se,linear,relu,full,2,14,0.02567611,0.99172238,0.10232101,0.96599496,0.0010000000,13.1156,1,0,1,128
grid,grid_efficientnetb0_se_linear_full,se,linear,relu,full,2,15,0.02602711,0.99156320,0.12810867,0.96662469,0.0010000000,12.8781,0,1,1,128
grid,grid_efficientnetb0_se_linear_full,se,linear,relu,full,2,16,0.02832881,0.99204075,0.27231198,0.94773300,0.0010000000,13.0175,0,2,1,128
grid,grid_efficientnetb0_se_linear_full,se,linear,relu,full,2,17,0.05990999,0.98042025,0.13639334,0.96158690,0.0010000000,13.1167,0,3,1,128
grid,grid_efficientnetb0_se_linear_full,se,linear,relu,full,2,18,0.04760700,0.98408150,0.28622746,0.92947103,0.0010000000,12.9979,0,4,1,128
grid,grid_efficientnetb0_se_linear_full,se,linear,relu,full,2,19,0.06560204,0.98121617,0.23397626,0.94710327,0.0010000000,12.8357,0,5,1,128
grid,grid_efficientnetb0_se_linear_full,se,linear,relu,full,2,20,0.06210849,0.98105699,0.12796091,0.97229219,0.0001000000,12.8499,0,6,1,128
grid,grid_efficientnetb0_se_linear_full,se,linear,relu,full,2,21,0.01792170,0.99570201,0.08102122,0.98299748,0.0001000000,12.9114,1,0,1,128
grid,grid_efficientnetb0_se_linear_full,se,linear,relu,full,2,22,0.01058345,0.99697549,0.07668394,0.98677582,0.0001000000,12.7667,1,0,1,128
grid,grid_efficientnetb0_se_linear_full,se,linear,relu,full,2,23,0.00706792,0.99808978,0.07929496,0.98425693,0.0001000000,13.1027,0,1,1,128
grid,grid_efficientnetb0_se_linear_full,se,linear,relu,full,2,24,0.00694508,0.99824897,0.07627869,0.98425693,0.0001000000,12.7949,1,0,1,128
grid,grid_efficientnetb0_se_linear_full,se,linear,relu,full,2,25,0.00638322,0.99856734,0.07645464,0.98425693,0.0001000000,12.8352,0,1,1,128
grid,grid_efficientnetb0_se_linear_full,se,linear,relu,full,2,26,0.00530035,0.99920408,0.07915953,0.98299748,0.0001000000,12.8864,0,2,1,128
grid,grid_efficientnetb0_se_linear_full,se,linear,relu,full,2,27,0.00605443,0.99761223,0.07660188,0.98299748,0.0001000000,12.9883,0,3,1,128
grid,grid_efficientnetb0_se_linear_full,se,linear,relu,full,2,28,0.00513307,0.99856734,0.07631695,0.98425693,0.0001000000,12.7515,0,4,1,128
grid,grid_efficientnetb0_se_linear_full,se,linear,relu,full,2,29,0.00392242,0.99904489,0.08136953,0.98236776,0.0001000000,13.0171,0,5,1,128
grid,grid_efficientnetb0_se_linear_full,se,linear,relu,full,2,30,0.00376890,0.99936326,0.07984560,0.98488665,0.0000100000,12.8431,0,6,1,128
grid,grid_efficientnetb0_se_linear_full,se,linear,relu,full,2,31,0.00359228,0.99872652,0.08007432,0.98488665,0.0000100000,12.6277,0,7,1,128
grid,grid_efficientnetb0_se_linear_full,se,linear,relu,full,2,32,0.00462259,0.99840815,0.08285540,0.98488665,0.0000100000,13.1195,0,8,1,128
grid,grid_efficientnetb0_se_linear_full,se,linear,relu,full,2,33,0.00356110,0.99904489,0.07915420,0.98551637,0.0000100000,12.9473,0,9,1,128
grid,grid_efficientnetb0_se_linear_full,se,linear,relu,full,2,34,0.00359242,0.99872652,0.07818623,0.98677582,0.0000100000,12.9701,0,10,1,128
