stage,model_name,attention,head,activation,train_scope,seed,epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec,is_best,early_stop_counter,grad_accum_steps,effective_batch_size
grid,grid_efficientnetb0_se_linear_last2,se,linear,relu,last2,2,1,1.51835595,0.54138809,1.17168217,0.61335013,0.0010000000,13.0275,1,0,1,128
grid,grid_efficientnetb0_se_linear_last2,se,linear,relu,last2,2,2,0.54185503,0.83651703,1.22792137,0.60264484,0.0010000000,13.4969,0,1,1,128
grid,grid_efficientnetb0_se_linear_last2,se,linear,relu,last2,2,3,0.36100241,0.88108883,0.94436701,0.68639798,0.0010000000,14.3373,1,0,1,128
grid,grid_efficientnetb0_se_linear_last2,se,linear,relu,last2,2,4,0.26618426,0.91642789,0.79444888,0.74118388,0.0010000000,13.4552,1,0,1,128
grid,grid_efficientnetb0_se_linear_last2,se,linear,relu,last2,2,5,0.21173797,0.92884432,0.83421362,0.73677582,0.0010000000,12.7638,0,1,1,128
grid,grid_efficientnetb0_se_linear_last2,se,linear,relu,last2,2,6,0.18176237,0.93712194,0.72811293,0.75755668,0.0010000000,12.7151,1,0,1,128
grid,grid_efficientnetb0_se_linear_last2,se,linear,relu,last2,2,7,0.15249658,0.94826488,0.65902190,0.77770781,0.0010000000,11.9022,1,0,1,128
grid,grid_efficientnetb0_se_linear_last2,se,linear,relu,last2,2,8,0.12585958,0.95670169,0.76587200,0.74307305,0.0010000000,11.1292,0,1,1,128
grid,grid_efficientnetb0_se_linear_last2,se,linear,relu,last2,2,9,0.13248060,0.95813435,0.59862690,0.81675063,0.0010000000,11.2647,1,0,1,128
grid,grid_efficientnetb0_se_linear_last2,se,linear,relu,last2,2,10,0.12002132,0.96243235,0.67085809,0.79030227,0.0010000000,10.7631,0,1,1,128
grid,grid_efficientnetb0_se_linear_last2,se,linear,relu,last2,2,11,0.10418981,0.96466094,0.64287843,0.79974811,0.0010000000,11.6860,0,2,1,128
grid,grid_efficientnetb0_se_linear_last2,se,linear,relu,last2,2,12,0.10152434,0.96482012,0.78793835,0.74559194,0.0010000000,11.0141,0,3,1,128
grid,grid_efficientnetb0_se_linear_last2,se,linear,relu,last2,2,13,0.09031212,0.96911812,0.69051075,0.78400504,0.0010000000,11.2294,0,4,1,128
grid,grid_efficientnetb0_se_linear_last2,se,linear,relu,last2,2,14,0.08029387,0.97357529,0.42481613,0.86901763,0.0010000000,11.9981,1,0,1,128
grid,grid_efficientnetb0_se_linear_last2,se,linear,relu,last2,2,15,0.08113022,0.97293855,0.64106842,0.79596977,0.0010000000,11.8295,0,1,1,128
grid,grid_efficientnetb0_se_linear_last2,se,linear,relu,last2,2,16,0.06880286,0.97659981,0.50912035,0.85957179,0.0010000000,11.0711,0,2,1,128
grid,grid_efficientnetb0_se_linear_last2,se,linear,relu,last2,2,17,0.12981502,0.95542821,0.61279191,0.80226700,0.0010000000,11.2693,0,3,1,128
grid,grid_efficientnetb0_se_linear_last2,se,linear,relu,last2,2,18,0.10101078,0.96800382,0.55504159,0.82745592,0.0010000000,11.8609,0,4,1,128
grid,grid_efficientnetb0_se_linear_last2,se,linear,relu,last2,2,19,0.06303181,0.97930595,0.54536329,0.84193955,0.0010000000,11.4636,0,5,1,128
grid,grid_efficientnetb0_se_linear_last2,se,linear,relu,last2,2,20,0.06689332,0.97819166,0.69405400,0.80730479,0.0001000000,11.1043,0,6,1,128
grid,grid_efficientnetb0_se_linear_last2,se,linear,relu,last2,2,21,0.05180048,0.98248965,0.48637852,0.85516373,0.0001000000,11.1006,0,7,1,128
grid,grid_efficientnetb0_se_linear_last2,se,linear,relu,last2,2,22,0.04428768,0.98694683,0.45386631,0.86649874,0.0001000000,11.1285,0,8,1,128
grid,grid_efficientnetb0_se_linear_last2,se,linear,relu,last2,2,23,0.04287829,0.98599172,0.48134899,0.86523929,0.0001000000,11.8599,0,9,1,128
grid,grid_efficientnetb0_se_linear_last2,se,linear,relu,last2,2,24,0.03975157,0.98774276,0.46779640,0.86586902,0.0001000000,11.7552,0,10,1,128
