stage,model_name,attention,head,activation,train_scope,seed,epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec,is_best,early_stop_counter,grad_accum_steps,effective_batch_size
grid,grid_efficientnetb0_se_mlp512_added_only,se,mlp512,relu,added_only,3,1,1.90817714,0.42773002,2.17840714,0.38161209,0.0010000000,11.6472,1,0,1,128
grid,grid_efficientnetb0_se_mlp512_added_only,se,mlp512,relu,added_only,3,2,1.03591725,0.67637695,2.24603641,0.35075567,0.0010000000,12.4507,0,1,1,128
grid,grid_efficientnetb0_se_mlp512_added_only,se,mlp512,relu,added_only,3,3,0.82605534,0.74482649,2.08325505,0.42128463,0.0010000000,12.2470,1,0,1,128
grid,grid_efficientnetb0_se_mlp512_added_only,se,mlp512,relu,added_only,3,4,0.72261860,0.77650430,1.61329180,0.56045340,0.0010000000,12.3781,1,0,1,128
grid,grid_efficientnetb0_se_mlp512_added_only,se,mlp512,relu,added_only,3,5,0.63105652,0.80070041,1.65103852,0.52833753,0.0010000000,11.4685,0,1,1,128
grid,grid_efficientnetb0_se_mlp512_added_only,se,mlp512,relu,added_only,3,6,0.58343070,0.81645973,1.66406391,0.52329975,0.0010000000,12.0286,0,2,1,128
grid,grid_efficientnetb0_se_mlp512_added_only,se,mlp512,relu,added_only,3,7,0.52177105,0.83349252,1.62628918,0.50377834,0.0010000000,12.1092,0,3,1,128
grid,grid_efficientnetb0_se_mlp512_added_only,se,mlp512,relu,added_only,3,8,0.50133568,0.84065584,1.75401248,0.47795970,0.0010000000,11.9070,0,4,1,128
grid,grid_efficientnetb0_se_mlp512_added_only,se,mlp512,relu,added_only,3,9,0.48214816,0.84845591,1.53410830,0.54030227,0.0010000000,11.4846,1,0,1,128
grid,grid_efficientnetb0_se_mlp512_added_only,se,mlp512,relu,added_only,3,10,0.43435166,0.85864374,1.46373809,0.55478589,0.0010000000,11.4069,1,0,1,128
grid,grid_efficientnetb0_se_mlp512_added_only,se,mlp512,relu,added_only,3,11,0.41886318,0.86421522,1.78246359,0.44773300,0.0010000000,11.2591,0,1,1,128
grid,grid_efficientnetb0_se_mlp512_added_only,se,mlp512,relu,added_only,3,12,0.41002767,0.86262337,1.71396966,0.48047859,0.0010000000,12.3056,0,2,1,128
grid,grid_efficientnetb0_se_mlp512_added_only,se,mlp512,relu,added_only,3,13,0.40114945,0.86883158,1.63415888,0.51448363,0.0010000000,11.4943,0,3,1,128
grid,grid_efficientnetb0_se_mlp512_added_only,se,mlp512,relu,added_only,3,14,0.37459968,0.87519898,1.32516274,0.59949622,0.0010000000,11.8954,1,0,1,128
grid,grid_efficientnetb0_se_mlp512_added_only,se,mlp512,relu,added_only,3,15,0.36220264,0.87886024,1.47481317,0.55919395,0.0010000000,11.7440,0,1,1,128
grid,grid_efficientnetb0_se_mlp512_added_only,se,mlp512,relu,added_only,3,16,0.32439699,0.89302770,1.46834004,0.54282116,0.0010000000,11.4583,0,2,1,128
grid,grid_efficientnetb0_se_mlp512_added_only,se,mlp512,relu,added_only,3,17,0.32948811,0.89239096,1.46138704,0.55919395,0.0010000000,11.5968,0,3,1,128
grid,grid_efficientnetb0_se_mlp512_added_only,se,mlp512,relu,added_only,3,18,0.34912119,0.88427252,1.64431511,0.49118388,0.0010000000,11.9418,0,4,1,128
grid,grid_efficientnetb0_se_mlp512_added_only,se,mlp512,relu,added_only,3,19,0.32955221,0.89175422,1.55619993,0.52770781,0.0010000000,11.7289,0,5,1,128
grid,grid_efficientnetb0_se_mlp512_added_only,se,mlp512,relu,added_only,3,20,0.30395724,0.89939510,1.78511942,0.45969773,0.0001000000,12.0872,0,6,1,128
grid,grid_efficientnetb0_se_mlp512_added_only,se,mlp512,relu,added_only,3,21,0.27859929,0.90639924,1.63644881,0.50503778,0.0001000000,11.5655,0,7,1,128
grid,grid_efficientnetb0_se_mlp512_added_only,se,mlp512,relu,added_only,3,22,0.27405345,0.91006049,1.79186342,0.45403023,0.0001000000,11.7859,0,8,1,128
grid,grid_efficientnetb0_se_mlp512_added_only,se,mlp512,relu,added_only,3,23,0.26318908,0.91260745,1.50768574,0.54534005,0.0001000000,12.1044,0,9,1,128
grid,grid_efficientnetb0_se_mlp512_added_only,se,mlp512,relu,added_only,3,24,0.27176606,0.91069723,1.69779378,0.48236776,0.0001000000,11.6206,0,10,1,128
