stage,model_name,attention,head,activation,train_scope,seed,epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec,is_best,early_stop_counter,grad_accum_steps,effective_batch_size
grid,grid_efficientnetb0_se_mlp512_full,se,mlp512,relu,full,3,1,1.19253562,0.62973575,0.76279759,0.75000000,0.0010000000,13.2796,1,0,1,128
grid,grid_efficientnetb0_se_mlp512_full,se,mlp512,relu,full,3,2,0.29350517,0.90560331,0.44441792,0.88035264,0.0010000000,13.2230,1,0,1,128
grid,grid_efficientnetb0_se_mlp512_full,se,mlp512,relu,full,3,3,0.18324183,0.94046482,0.20247002,0.93073048,0.0010000000,13.0945,1,0,1,128
grid,grid_efficientnetb0_se_mlp512_full,se,mlp512,relu,full,3,4,0.09174968,0.97293855,0.29345391,0.91939547,0.0010000000,12.9082,0,1,1,128
grid,grid_efficientnetb0_se_mlp512_full,se,mlp512,relu,full,3,5,0.11882178,0.96306909,0.16434138,0.94458438,0.0010000000,13.0241,1,0,1,128
grid,grid_efficientnetb0_se_mlp512_full,se,mlp512,relu,full,3,6,0.05633887,0.98233047,0.22792694,0.93828715,0.0010000000,12.9202,0,1,1,128
grid,grid_efficientnetb0_se_mlp512_full,se,mlp512,relu,full,3,7,0.13208575,0.95972620,0.18172979,0.94710327,0.0010000000,12.9579,0,2,1,128
grid,grid_efficientnetb0_se_mlp512_full,se,mlp512,relu,full,3,8,0.08606058,0.97723655,0.09923709,0.97355164,0.0010000000,13.0750,1,0,1,128
grid,grid_efficientnetb0_se_mlp512_full,se,mlp512,relu,full,3,9,0.06394219,0.98042025,0.09139036,0.97544081,0.0010000000,13.2458,1,0,1,128
grid,grid_efficientnetb0_se_mlp512_full,se,mlp512,relu,full,3,10,0.02336456,0.99188157,0.09513281,0.97355164,0.0010000000,13.0620,0,1,1,128
grid,grid_efficientnetb0_se_mlp512_full,se,mlp512,relu,full,3,11,0.02548358,0.99299586,0.11382027,0.97544081,0.0010000000,13.0687,0,2,1,128
grid,grid_efficientnetb0_se_mlp512_full,se,mlp512,relu,full,3,12,0.03326791,0.98885705,0.18360123,0.97040302,0.0010000000,12.8461,0,3,1,128
grid,grid_efficientnetb0_se_mlp512_full,se,mlp512,relu,full,3,13,0.03149443,0.98901624,0.23781897,0.96095718,0.0010000000,12.9121,0,4,1,128
grid,grid_efficientnetb0_se_mlp512_full,se,mlp512,relu,full,3,14,0.08058446,0.97644062,0.11882196,0.96410579,0.0010000000,12.9892,0,5,1,128
grid,grid_efficientnetb0_se_mlp512_full,se,mlp512,relu,full,3,15,0.05113020,0.98631009,0.33459185,0.91750630,0.0001000000,12.8954,0,6,1,128
grid,grid_efficientnetb0_se_mlp512_full,se,mlp512,relu,full,3,16,0.02496802,0.99251831,0.09819193,0.97544081,0.0001000000,12.9855,0,7,1,128
grid,grid_efficientnetb0_se_mlp512_full,se,mlp512,relu,full,3,17,0.01266036,0.99649793,0.09009113,0.97921914,0.0001000000,13.1278,1,0,1,128
grid,grid_efficientnetb0_se_mlp512_full,se,mlp512,relu,full,3,18,0.01231701,0.99602038,0.09273016,0.97921914,0.0001000000,13.0210,0,1,1,128
grid,grid_efficientnetb0_se_mlp512_full,se,mlp512,relu,full,3,19,0.01349854,0.99617956,0.08370147,0.98047859,0.0001000000,12.9770,1,0,1,128
grid,grid_efficientnetb0_se_mlp512_full,se,mlp512,relu,full,3,20,0.00794478,0.99793060,0.08750792,0.98047859,0.0001000000,12.9086,0,1,1,128
grid,grid_efficientnetb0_se_mlp512_full,se,mlp512,relu,full,3,21,0.00624391,0.99856734,0.08546766,0.98425693,0.0001000000,13.0942,0,2,1,128
grid,grid_efficientnetb0_se_mlp512_full,se,mlp512,relu,full,3,22,0.00667287,0.99793060,0.08360634,0.98362720,0.0001000000,12.8754,1,0,1,128
grid,grid_efficientnetb0_se_mlp512_full,se,mlp512,relu,full,3,23,0.00803949,0.99745304,0.08507789,0.98362720,0.0001000000,13.0845,0,1,1,128
grid,grid_efficientnetb0_se_mlp512_full,se,mlp512,relu,full,3,24,0.00976528,0.99649793,0.08787915,0.98362720,0.0001000000,12.8209,0,2,1,128
grid,grid_efficientnetb0_se_mlp512_full,se,mlp512,relu,full,3,25,0.00955438,0.99761223,0.08257144,0.98362720,0.0001000000,13.1504,1,0,1,128
grid,grid_efficientnetb0_se_mlp512_full,se,mlp512,relu,full,3,26,0.00640166,0.99808978,0.08064598,0.98425693,0.0001000000,12.8686,1,0,1,128
grid,grid_efficientnetb0_se_mlp512_full,se,mlp512,relu,full,3,27,0.00685345,0.99856734,0.08963216,0.98614610,0.0001000000,12.8846,0,1,1,128
grid,grid_efficientnetb0_se_mlp512_full,se,mlp512,relu,full,3,28,0.00835852,0.99681630,0.08935868,0.98425693,0.0001000000,12.9362,0,2,1,128
grid,grid_efficientnetb0_se_mlp512_full,se,mlp512,relu,full,3,29,0.00494296,0.99856734,0.08567769,0.98362720,0.0001000000,13.1238,0,3,1,128
grid,grid_efficientnetb0_se_mlp512_full,se,mlp512,relu,full,3,30,0.00688180,0.99808978,0.08723326,0.98677582,0.0001000000,13.2211,0,4,1,128
grid,grid_efficientnetb0_se_mlp512_full,se,mlp512,relu,full,3,31,0.00565212,0.99808978,0.08959003,0.98299748,0.0001000000,13.1228,0,5,1,128
grid,grid_efficientnetb0_se_mlp512_full,se,mlp512,relu,full,3,32,0.00437204,0.99856734,0.08894190,0.98425693,0.0000100000,12.7989,0,6,1,128
grid,grid_efficientnetb0_se_mlp512_full,se,mlp512,relu,full,3,33,0.00408986,0.99888571,0.09256360,0.98362720,0.0000100000,13.1731,0,7,1,128
grid,grid_efficientnetb0_se_mlp512_full,se,mlp512,relu,full,3,34,0.00511990,0.99840815,0.08799025,0.98614610,0.0000100000,12.9604,0,8,1,128
grid,grid_efficientnetb0_se_mlp512_full,se,mlp512,relu,full,3,35,0.00423931,0.99840815,0.08877760,0.98551637,0.0000100000,13.2262,0,9,1,128
grid,grid_efficientnetb0_se_mlp512_full,se,mlp512,relu,full,3,36,0.00377429,0.99888571,0.08350064,0.98425693,0.0000100000,13.1552,0,10,1,128
