stage,model_name,attention,head,activation,train_scope,seed,epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec,is_best,early_stop_counter,grad_accum_steps,effective_batch_size
grid,grid_efficientnetb0_se_mlp512_last2,se,mlp512,relu,last2,2,1,1.52854302,0.52403693,1.48299089,0.55037783,0.0010000000,11.9947,1,0,1,128
grid,grid_efficientnetb0_se_mlp512_last2,se,mlp512,relu,last2,2,2,0.59295305,0.80961477,1.34331797,0.57493703,0.0010000000,11.6318,1,0,1,128
grid,grid_efficientnetb0_se_mlp512_last2,se,mlp512,relu,last2,2,3,0.40448268,0.86819484,1.24336777,0.62090680,0.0010000000,12.1025,1,0,1,128
grid,grid_efficientnetb0_se_mlp512_last2,se,mlp512,relu,last2,2,4,0.26463642,0.90655842,1.09823294,0.63853904,0.0010000000,11.5776,1,0,1,128
grid,grid_efficientnetb0_se_mlp512_last2,se,mlp512,relu,last2,2,5,0.25129644,0.91786055,0.91913442,0.72229219,0.0010000000,11.8205,1,0,1,128
grid,grid_efficientnetb0_se_mlp512_last2,se,mlp512,relu,last2,2,6,0.21619024,0.92757084,0.93937713,0.72166247,0.0010000000,11.8643,0,1,1,128
grid,grid_efficientnetb0_se_mlp512_last2,se,mlp512,relu,last2,2,7,0.16660669,0.94301178,0.72695089,0.79030227,0.0010000000,11.9675,1,0,1,128
grid,grid_efficientnetb0_se_mlp512_last2,se,mlp512,relu,last2,2,8,0.14798785,0.94906081,0.66294125,0.79408060,0.0010000000,11.5720,1,0,1,128
grid,grid_efficientnetb0_se_mlp512_last2,se,mlp512,relu,last2,2,9,0.15570967,0.94953836,0.70356564,0.78904282,0.0010000000,11.9256,0,1,1,128
grid,grid_efficientnetb0_se_mlp512_last2,se,mlp512,relu,last2,2,10,0.14684812,0.94921999,0.72654054,0.78526448,0.0010000000,12.4783,0,2,1,128
grid,grid_efficientnetb0_se_mlp512_last2,se,mlp512,relu,last2,2,11,0.14926699,0.94969755,0.67074695,0.80478589,0.0010000000,11.1294,0,3,1,128
grid,grid_efficientnetb0_se_mlp512_last2,se,mlp512,relu,last2,2,12,0.12464106,0.95940783,0.72157602,0.79093199,0.0010000000,11.4877,0,4,1,128
grid,grid_efficientnetb0_se_mlp512_last2,se,mlp512,relu,last2,2,13,0.09179801,0.96879975,0.74760347,0.78841310,0.0010000000,11.6114,0,5,1,128
grid,grid_efficientnetb0_se_mlp512_last2,se,mlp512,relu,last2,2,14,0.09585761,0.96816301,0.70533365,0.79345088,0.0001000000,11.6128,0,6,1,128
grid,grid_efficientnetb0_se_mlp512_last2,se,mlp512,relu,last2,2,15,0.06971520,0.97596307,0.64190823,0.81297229,0.0001000000,12.1779,1,0,1,128
grid,grid_efficientnetb0_se_mlp512_last2,se,mlp512,relu,last2,2,16,0.05616978,0.98121617,0.66401866,0.82241814,0.0001000000,11.4690,0,1,1,128
grid,grid_efficientnetb0_se_mlp512_last2,se,mlp512,relu,last2,2,17,0.05522127,0.98344476,0.60194603,0.84005038,0.0001000000,11.7559,1,0,1,128
grid,grid_efficientnetb0_se_mlp512_last2,se,mlp512,relu,last2,2,18,0.05121941,0.98264884,0.68068945,0.80793451,0.0001000000,11.4553,0,1,1,128
grid,grid_efficientnetb0_se_mlp512_last2,se,mlp512,relu,last2,2,19,0.05562329,0.98169373,0.68435039,0.81801008,0.0001000000,11.9470,0,2,1,128
grid,grid_efficientnetb0_se_mlp512_last2,se,mlp512,relu,last2,2,20,0.05564357,0.97898758,0.64909103,0.82556675,0.0001000000,11.3231,0,3,1,128
grid,grid_efficientnetb0_se_mlp512_last2,se,mlp512,relu,last2,2,21,0.05326272,0.98105699,0.64103846,0.82493703,0.0001000000,11.6426,0,4,1,128
grid,grid_efficientnetb0_se_mlp512_last2,se,mlp512,relu,last2,2,22,0.04446698,0.98455906,0.63208628,0.82115869,0.0001000000,11.5760,0,5,1,128
grid,grid_efficientnetb0_se_mlp512_last2,se,mlp512,relu,last2,2,23,0.04584357,0.98503661,0.59164270,0.83942065,0.0001000000,12.5220,1,0,1,128
grid,grid_efficientnetb0_se_mlp512_last2,se,mlp512,relu,last2,2,24,0.04721208,0.98519580,0.56699646,0.86083123,0.0001000000,11.9642,1,0,1,128
grid,grid_efficientnetb0_se_mlp512_last2,se,mlp512,relu,last2,2,25,0.04493500,0.98487743,0.62008409,0.84445844,0.0001000000,11.7018,0,1,1,128
grid,grid_efficientnetb0_se_mlp512_last2,se,mlp512,relu,last2,2,26,0.04118851,0.98662846,0.59045100,0.84571788,0.0001000000,11.5582,0,2,1,128
grid,grid_efficientnetb0_se_mlp512_last2,se,mlp512,relu,last2,2,27,0.04032802,0.98694683,0.50253970,0.86901763,0.0001000000,12.0611,1,0,1,128
grid,grid_efficientnetb0_se_mlp512_last2,se,mlp512,relu,last2,2,28,0.04411771,0.98455906,0.57163670,0.85075567,0.0001000000,11.5475,0,1,1,128
grid,grid_efficientnetb0_se_mlp512_last2,se,mlp512,relu,last2,2,29,0.04031741,0.98535498,0.68260531,0.81423174,0.0001000000,11.8189,0,2,1,128
grid,grid_efficientnetb0_se_mlp512_last2,se,mlp512,relu,last2,2,30,0.04330467,0.98646928,0.62598041,0.83564232,0.0001000000,11.6561,0,3,1,128
grid,grid_efficientnetb0_se_mlp512_last2,se,mlp512,relu,last2,2,31,0.04212918,0.98646928,0.54765239,0.85831234,0.0001000000,11.5289,0,4,1,128
grid,grid_efficientnetb0_se_mlp512_last2,se,mlp512,relu,last2,2,32,0.04316503,0.98758357,0.57149784,0.85327456,0.0001000000,10.5567,0,5,1,128
grid,grid_efficientnetb0_se_mlp512_last2,se,mlp512,relu,last2,2,33,0.04052451,0.98583254,0.58043513,0.86020151,0.0000100000,10.3007,0,6,1,128
grid,grid_efficientnetb0_se_mlp512_last2,se,mlp512,relu,last2,2,34,0.03713894,0.98774276,0.54274377,0.86901763,0.0000100000,11.2516,0,7,1,128
grid,grid_efficientnetb0_se_mlp512_last2,se,mlp512,relu,last2,2,35,0.03858004,0.98726520,0.65981957,0.83690176,0.0000100000,10.3285,0,8,1,128
grid,grid_efficientnetb0_se_mlp512_last2,se,mlp512,relu,last2,2,36,0.03395637,0.98933461,0.67803050,0.81801008,0.0000100000,10.0849,0,9,1,128
grid,grid_efficientnetb0_se_mlp512_last2,se,mlp512,relu,last2,2,37,0.03739908,0.98599172,0.69265904,0.82304786,0.0000100000,11.3243,0,10,1,128
