stage,model_name,attention,head,activation,train_scope,seed,epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec,is_best,early_stop_counter,grad_accum_steps,effective_batch_size
grid,grid_efficientnetb0_se_mlp512_silu_added_only,se,mlp512,silu,added_only,1,1,1.90816422,0.44046482,2.31717403,0.34697733,0.0010000000,11.7851,1,0,1,128
grid,grid_efficientnetb0_se_mlp512_silu_added_only,se,mlp512,silu,added_only,1,2,1.00919398,0.68178924,1.76876536,0.52833753,0.0010000000,11.9230,1,0,1,128
grid,grid_efficientnetb0_se_mlp512_silu_added_only,se,mlp512,silu,added_only,1,3,0.80975167,0.74896530,1.80788983,0.47418136,0.0010000000,11.8649,0,1,1,128
grid,grid_efficientnetb0_se_mlp512_silu_added_only,se,mlp512,silu,added_only,1,4,0.72812452,0.76934097,2.08589178,0.38916877,0.0010000000,11.2642,0,2,1,128
grid,grid_efficientnetb0_se_mlp512_silu_added_only,se,mlp512,silu,added_only,1,5,0.64862316,0.79608405,1.64574364,0.53715365,0.0010000000,12.2754,1,0,1,128
grid,grid_efficientnetb0_se_mlp512_silu_added_only,se,mlp512,silu,added_only,1,6,0.58349295,0.81168418,1.80305957,0.49118388,0.0010000000,11.2886,0,1,1,128
grid,grid_efficientnetb0_se_mlp512_silu_added_only,se,mlp512,silu,added_only,1,7,0.56908807,0.81645973,1.69900156,0.51322418,0.0010000000,11.4420,0,2,1,128
grid,grid_efficientnetb0_se_mlp512_silu_added_only,se,mlp512,silu,added_only,1,8,0.50055370,0.83635785,1.86436062,0.43639798,0.0010000000,12.0970,0,3,1,128
grid,grid_efficientnetb0_se_mlp512_silu_added_only,se,mlp512,silu,added_only,1,9,0.49301641,0.84097421,2.14547833,0.35390428,0.0010000000,11.6913,0,4,1,128
grid,grid_efficientnetb0_se_mlp512_silu_added_only,se,mlp512,silu,added_only,1,10,0.44741624,0.85370901,1.60710643,0.51133501,0.0010000000,12.1483,1,0,1,128
grid,grid_efficientnetb0_se_mlp512_silu_added_only,se,mlp512,silu,added_only,1,11,0.43591241,0.86055396,1.71329125,0.47481108,0.0010000000,11.9506,0,1,1,128
grid,grid_efficientnetb0_se_mlp512_silu_added_only,se,mlp512,silu,added_only,1,12,0.42471186,0.85991722,1.53905920,0.54093199,0.0010000000,11.3330,1,0,1,128
grid,grid_efficientnetb0_se_mlp512_silu_added_only,se,mlp512,silu,added_only,1,13,0.39911701,0.86946832,1.36893773,0.58690176,0.0010000000,11.7174,1,0,1,128
grid,grid_efficientnetb0_se_mlp512_silu_added_only,se,mlp512,silu,added_only,1,14,0.37920036,0.87297039,1.64003047,0.48929471,0.0010000000,11.4509,0,1,1,128
grid,grid_efficientnetb0_se_mlp512_silu_added_only,se,mlp512,silu,added_only,1,15,0.35217640,0.88331741,1.62852200,0.46788413,0.0010000000,11.7633,0,2,1,128
grid,grid_efficientnetb0_se_mlp512_silu_added_only,se,mlp512,silu,added_only,1,16,0.35465987,0.88124801,1.29316794,0.61146096,0.0010000000,12.0442,1,0,1,128
grid,grid_efficientnetb0_se_mlp512_silu_added_only,se,mlp512,silu,added_only,1,17,0.36261563,0.87822350,1.62137057,0.47795970,0.0010000000,11.7103,0,1,1,128
grid,grid_efficientnetb0_se_mlp512_silu_added_only,se,mlp512,silu,added_only,1,18,0.34076320,0.88697867,1.58277185,0.48488665,0.0010000000,11.8335,0,2,1,128
grid,grid_efficientnetb0_se_mlp512_silu_added_only,se,mlp512,silu,added_only,1,19,0.32691124,0.88506845,1.26409388,0.61335013,0.0010000000,11.7183,1,0,1,128
grid,grid_efficientnetb0_se_mlp512_silu_added_only,se,mlp512,silu,added_only,1,20,0.31608490,0.89239096,1.50422415,0.51952141,0.0010000000,12.1607,0,1,1,128
grid,grid_efficientnetb0_se_mlp512_silu_added_only,se,mlp512,silu,added_only,1,21,0.32419786,0.88952563,1.33165382,0.58627204,0.0010000000,12.1325,0,2,1,128
grid,grid_efficientnetb0_se_mlp512_silu_added_only,se,mlp512,silu,added_only,1,22,0.32773824,0.89461955,1.77550379,0.42947103,0.0010000000,11.6293,0,3,1,128
grid,grid_efficientnetb0_se_mlp512_silu_added_only,se,mlp512,silu,added_only,1,23,0.31589939,0.89302770,1.34385130,0.55919395,0.0010000000,12.2993,0,4,1,128
grid,grid_efficientnetb0_se_mlp512_silu_added_only,se,mlp512,silu,added_only,1,24,0.30773575,0.89637058,1.41520529,0.55730479,0.0010000000,11.8343,0,5,1,128
grid,grid_efficientnetb0_se_mlp512_silu_added_only,se,mlp512,silu,added_only,1,25,0.28868199,0.90066858,1.99179105,0.38098237,0.0001000000,10.9934,0,6,1,128
grid,grid_efficientnetb0_se_mlp512_silu_added_only,se,mlp512,silu,added_only,1,26,0.26031998,0.91276663,1.66355390,0.47103275,0.0001000000,12.1610,0,7,1,128
grid,grid_efficientnetb0_se_mlp512_silu_added_only,se,mlp512,silu,added_only,1,27,0.25022530,0.91404011,1.60271725,0.48299748,0.0001000000,11.7773,0,8,1,128
grid,grid_efficientnetb0_se_mlp512_silu_added_only,se,mlp512,silu,added_only,1,28,0.23853213,0.92056670,1.37366121,0.55478589,0.0001000000,11.9452,0,9,1,128
grid,grid_efficientnetb0_se_mlp512_silu_added_only,se,mlp512,silu,added_only,1,29,0.25056739,0.91276663,1.51241443,0.51448363,0.0001000000,11.9259,0,10,1,128
