stage,model_name,attention,head,activation,train_scope,seed,epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec,is_best,early_stop_counter,grad_accum_steps,effective_batch_size
grid,grid_efficientnetb0_se_mlp512_silu_full,se,mlp512,silu,full,1,1,1.15050124,0.64040115,1.01829559,0.69458438,0.0010000000,13.4386,1,0,1,128
grid,grid_efficientnetb0_se_mlp512_silu_full,se,mlp512,silu,full,1,2,0.28350686,0.90799109,0.57492914,0.82052897,0.0010000000,12.9044,1,0,1,128
grid,grid_efficientnetb0_se_mlp512_silu_full,se,mlp512,silu,full,1,3,0.20375947,0.93537090,0.26834348,0.92506297,0.0010000000,13.0406,1,0,1,128
grid,grid_efficientnetb0_se_mlp512_silu_full,se,mlp512,silu,full,1,4,0.10786173,0.95988539,0.19232979,0.95025189,0.0010000000,13.0946,1,0,1,128
grid,grid_efficientnetb0_se_mlp512_silu_full,se,mlp512,silu,full,1,5,0.07536776,0.97548551,0.23095228,0.93891688,0.0010000000,12.9694,0,1,1,128
grid,grid_efficientnetb0_se_mlp512_silu_full,se,mlp512,silu,full,1,6,0.09372974,0.97198344,0.27578331,0.92254408,0.0010000000,13.1594,0,2,1,128
grid,grid_efficientnetb0_se_mlp512_silu_full,se,mlp512,silu,full,1,7,0.08453114,0.97468959,0.22303808,0.93639798,0.0010000000,12.7755,0,3,1,128
grid,grid_efficientnetb0_se_mlp512_silu_full,se,mlp512,silu,full,1,8,0.05790610,0.98201210,0.15611563,0.95654912,0.0010000000,13.2297,1,0,1,128
grid,grid_efficientnetb0_se_mlp512_silu_full,se,mlp512,silu,full,1,9,0.08718785,0.97468959,0.26861691,0.93010076,0.0010000000,12.6883,0,1,1,128
grid,grid_efficientnetb0_se_mlp512_silu_full,se,mlp512,silu,full,1,10,0.07987603,0.97866921,0.16994159,0.94836272,0.0010000000,12.8738,0,2,1,128
grid,grid_efficientnetb0_se_mlp512_silu_full,se,mlp512,silu,full,1,11,0.03577879,0.98822031,0.25330843,0.93639798,0.0010000000,12.9792,0,3,1,128
grid,grid_efficientnetb0_se_mlp512_silu_full,se,mlp512,silu,full,1,12,0.06292783,0.98312639,0.16761542,0.96158690,0.0010000000,12.7427,0,4,1,128
grid,grid_efficientnetb0_se_mlp512_silu_full,se,mlp512,silu,full,1,13,0.06836154,0.97866921,0.13653855,0.96473552,0.0010000000,13.2997,1,0,1,128
grid,grid_efficientnetb0_se_mlp512_silu_full,se,mlp512,silu,full,1,14,0.04306909,0.98758357,0.12953028,0.97229219,0.0010000000,13.0909,1,0,1,128
grid,grid_efficientnetb0_se_mlp512_silu_full,se,mlp512,silu,full,1,15,0.01514849,0.99570201,0.12609078,0.97544081,0.0010000000,12.9443,1,0,1,128
grid,grid_efficientnetb0_se_mlp512_silu_full,se,mlp512,silu,full,1,16,0.01557554,0.99458771,0.11852521,0.97355164,0.0010000000,12.9271,1,0,1,128
grid,grid_efficientnetb0_se_mlp512_silu_full,se,mlp512,silu,full,1,17,0.02108445,0.99267749,0.24854574,0.95969773,0.0010000000,13.0739,0,1,1,128
grid,grid_efficientnetb0_se_mlp512_silu_full,se,mlp512,silu,full,1,18,0.05732725,0.98328558,0.22095166,0.95088161,0.0010000000,12.7951,0,2,1,128
grid,grid_efficientnetb0_se_mlp512_silu_full,se,mlp512,silu,full,1,19,0.03705729,0.98933461,0.21128216,0.95214106,0.0010000000,13.1162,0,3,1,128
grid,grid_efficientnetb0_se_mlp512_silu_full,se,mlp512,silu,full,1,20,0.03889299,0.98885705,0.13899498,0.96347607,0.0010000000,13.1316,0,4,1,128
grid,grid_efficientnetb0_se_mlp512_silu_full,se,mlp512,silu,full,1,21,0.02787103,0.98949379,0.11330845,0.97544081,0.0010000000,12.7442,1,0,1,128
grid,grid_efficientnetb0_se_mlp512_silu_full,se,mlp512,silu,full,1,22,0.01326465,0.99554282,0.14636494,0.96977330,0.0010000000,12.9851,0,1,1,128
grid,grid_efficientnetb0_se_mlp512_silu_full,se,mlp512,silu,full,1,23,0.01114403,0.99665712,0.11978497,0.97607053,0.0010000000,12.8503,0,2,1,128
grid,grid_efficientnetb0_se_mlp512_silu_full,se,mlp512,silu,full,1,24,0.07002115,0.98026106,0.15280304,0.96158690,0.0010000000,12.9772,0,3,1,128
grid,grid_efficientnetb0_se_mlp512_silu_full,se,mlp512,silu,full,1,25,0.04265552,0.98710602,0.15610812,0.96095718,0.0010000000,12.9763,0,4,1,128
grid,grid_efficientnetb0_se_mlp512_silu_full,se,mlp512,silu,full,1,26,0.02161539,0.99283668,0.12811536,0.97166247,0.0010000000,12.8495,0,5,1,128
grid,grid_efficientnetb0_se_mlp512_silu_full,se,mlp512,silu,full,1,27,0.05053790,0.98551417,0.14953786,0.96536524,0.0001000000,13.1188,0,6,1,128
grid,grid_efficientnetb0_se_mlp512_silu_full,se,mlp512,silu,full,1,28,0.02035775,0.99283668,0.10782318,0.97418136,0.0001000000,13.0997,1,0,1,128
grid,grid_efficientnetb0_se_mlp512_silu_full,se,mlp512,silu,full,1,29,0.01299722,0.99665712,0.09147291,0.98173804,0.0001000000,13.2672,1,0,1,128
grid,grid_efficientnetb0_se_mlp512_silu_full,se,mlp512,silu,full,1,30,0.00576603,0.99872652,0.09707532,0.97795970,0.0001000000,13.2312,0,1,1,128
grid,grid_efficientnetb0_se_mlp512_silu_full,se,mlp512,silu,full,1,31,0.00588939,0.99824897,0.09686621,0.97795970,0.0001000000,12.9322,0,2,1,128
grid,grid_efficientnetb0_se_mlp512_silu_full,se,mlp512,silu,full,1,32,0.00587121,0.99824897,0.09285314,0.97984887,0.0001000000,12.9912,0,3,1,128
grid,grid_efficientnetb0_se_mlp512_silu_full,se,mlp512,silu,full,1,33,0.00366870,0.99904489,0.09462921,0.98173804,0.0001000000,13.1074,0,4,1,128
