stage,model_name,attention,head,activation,train_scope,seed,epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec,is_best,early_stop_counter,grad_accum_steps,effective_batch_size
grid,grid_efficientnetb0_se_mlp512_silu_last2,se,mlp512,silu,last2,2,1,1.50950618,0.52626552,1.39686597,0.55352645,0.0010000000,11.9434,1,0,1,128
grid,grid_efficientnetb0_se_mlp512_silu_last2,se,mlp512,silu,last2,2,2,0.58930901,0.81072907,1.41903016,0.55163728,0.0010000000,11.2216,0,1,1,128
grid,grid_efficientnetb0_se_mlp512_silu_last2,se,mlp512,silu,last2,2,3,0.39253855,0.86946832,1.22919603,0.61460957,0.0010000000,12.3066,1,0,1,128
grid,grid_efficientnetb0_se_mlp512_silu_last2,se,mlp512,silu,last2,2,4,0.26488665,0.90783190,1.00435331,0.67884131,0.0010000000,11.7165,1,0,1,128
grid,grid_efficientnetb0_se_mlp512_silu_last2,se,mlp512,silu,last2,2,5,0.25361933,0.91451767,0.97512585,0.69521411,0.0010000000,11.8709,1,0,1,128
grid,grid_efficientnetb0_se_mlp512_silu_last2,se,mlp512,silu,last2,2,6,0.21869363,0.92422795,0.96293835,0.72481108,0.0010000000,11.5502,1,0,1,128
grid,grid_efficientnetb0_se_mlp512_silu_last2,se,mlp512,silu,last2,2,7,0.16456400,0.94444444,0.71261672,0.79471033,0.0010000000,11.8672,1,0,1,128
grid,grid_efficientnetb0_se_mlp512_silu_last2,se,mlp512,silu,last2,2,8,0.15144183,0.94778733,0.71127664,0.77141058,0.0010000000,11.9940,1,0,1,128
grid,grid_efficientnetb0_se_mlp512_silu_last2,se,mlp512,silu,last2,2,9,0.15570330,0.94778733,0.63530527,0.80856423,0.0010000000,11.8992,1,0,1,128
grid,grid_efficientnetb0_se_mlp512_silu_last2,se,mlp512,silu,last2,2,10,0.12498447,0.95335880,0.77358300,0.78715365,0.0010000000,11.7055,0,1,1,128
grid,grid_efficientnetb0_se_mlp512_silu_last2,se,mlp512,silu,last2,2,11,0.14820696,0.94874244,0.68890357,0.78778338,0.0010000000,11.4847,0,2,1,128
