stage,model_name,attention,head,activation,train_scope,seed,best_epoch,epochs_ran,best_train_acc,best_val_loss,best_val_acc,train_val_gap_at_best,trainable_params,batch_size,grad_accum_steps,effective_batch_size,checkpoint,log_file
grid,grid_efficientnetb0_noattn_linear_added_only,none,linear,relu,added_only,1,21,31,0.82505571,1.36337070,0.62531486,0.19974085,25620,128,1,128,best_grid_efficientnetb0_noattn_linear_added_only_pretrained_seed1.pth,metrics_grid_efficientnetb0_noattn_linear_added_only_pretrained_seed1.csv
grid,grid_efficientnetb0_noattn_linear_added_only,none,linear,relu,added_only,2,26,36,0.83985992,1.33568126,0.63476071,0.20509921,25620,128,1,128,best_grid_efficientnetb0_noattn_linear_added_only_pretrained_seed2.pth,metrics_grid_efficientnetb0_noattn_linear_added_only_pretrained_seed2.csv
grid,grid_efficientnetb0_noattn_linear_added_only,none,linear,relu,added_only,3,35,45,0.85036613,1.25626461,0.64483627,0.20552985,25620,128,1,128,best_grid_efficientnetb0_noattn_linear_added_only_pretrained_seed3.pth,metrics_grid_efficientnetb0_noattn_linear_added_only_pretrained_seed3.csv
grid,grid_efficientnetb0_noattn_mlp512_added_only,none,mlp512,relu,added_only,1,32,42,0.91945240,0.99063420,0.69962217,0.21983024,666132,128,1,128,best_grid_efficientnetb0_noattn_mlp512_added_only_pretrained_seed1.pth,metrics_grid_efficientnetb0_noattn_mlp512_added_only_pretrained_seed1.csv
grid,grid_efficientnetb0_noattn_mlp512_added_only,none,mlp512,relu,added_only,2,32,42,0.89637058,1.12739873,0.65869018,0.23768041,666132,128,1,128,best_grid_efficientnetb0_noattn_mlp512_added_only_pretrained_seed2.pth,metrics_grid_efficientnetb0_noattn_mlp512_added_only_pretrained_seed2.csv
grid,grid_efficientnetb0_noattn_mlp512_added_only,none,mlp512,relu,added_only,3,14,24,0.88681948,1.32341242,0.57556675,0.31125273,666132,128,1,128,best_grid_efficientnetb0_noattn_mlp512_added_only_pretrained_seed3.pth,metrics_grid_efficientnetb0_noattn_mlp512_added_only_pretrained_seed3.csv
grid,grid_efficientnetb0_noattn_mlp512_silu_added_only,none,mlp512,silu,added_only,1,32,42,0.90671761,1.00624882,0.69521411,0.21150350,666132,128,1,128,best_grid_efficientnetb0_noattn_mlp512_silu_added_only_pretrained_seed1.pth,metrics_grid_efficientnetb0_noattn_mlp512_silu_added_only_pretrained_seed1.csv
grid,grid_efficientnetb0_noattn_mlp512_silu_added_only,none,mlp512,silu,added_only,2,32,42,0.89143585,1.18608142,0.62531486,0.26612099,666132,128,1,128,best_grid_efficientnetb0_noattn_mlp512_silu_added_only_pretrained_seed2.pth,metrics_grid_efficientnetb0_noattn_mlp512_silu_added_only_pretrained_seed2.csv
grid,grid_efficientnetb0_noattn_mlp512_silu_added_only,none,mlp512,silu,added_only,3,31,41,0.90783190,1.12394296,0.63098237,0.27684953,666132,128,1,128,best_grid_efficientnetb0_noattn_mlp512_silu_added_only_pretrained_seed3.pth,metrics_grid_efficientnetb0_noattn_mlp512_silu_added_only_pretrained_seed3.csv
grid,grid_efficientnetb0_noattn_linear_last2,none,linear,relu,last2,1,9,19,0.95415473,0.53119976,0.83564232,0.11851241,1155012,128,1,128,best_grid_efficientnetb0_noattn_linear_last2_pretrained_seed1.pth,metrics_grid_efficientnetb0_noattn_linear_last2_pretrained_seed1.csv
grid,grid_efficientnetb0_noattn_linear_last2,none,linear,relu,last2,2,26,36,0.98742439,0.44871846,0.87153652,0.11588786,1155012,128,1,128,best_grid_efficientnetb0_noattn_linear_last2_pretrained_seed2.pth,metrics_grid_efficientnetb0_noattn_linear_last2_pretrained_seed2.csv
