epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec,is_best,early_stop_counter
1,0.77011478,0.76376950,0.51703547,0.83690176,0.0010000000,72.5994,1,0
2,0.20081177,0.93521172,0.24837204,0.91876574,0.0010000000,72.2827,1,0
3,0.12095344,0.96115887,0.18342671,0.94332494,0.0010000000,72.4411,1,0
4,0.09789105,0.96848138,0.20437355,0.94458438,0.0010000000,72.2049,0,1
5,0.06859724,0.97851003,0.16430595,0.95088161,0.0010000000,72.4045,1,0
6,0.05955838,0.98264884,0.17588231,0.95088161,0.0010000000,72.1494,0,1
7,0.05880866,0.98217128,0.14955068,0.95717884,0.0010000000,71.3687,1,0
8,0.06082326,0.98185291,0.14625525,0.95906801,0.0010000000,70.4126,1,0
9,0.05279755,0.98424069,0.12404645,0.96536524,0.0010000000,70.8723,1,0
10,0.03373440,0.98901624,0.14395588,0.96473552,0.0010000000,71.2702,0,1
11,0.03489274,0.98949379,0.11084060,0.96977330,0.0010000000,70.3369,1,0
12,0.03301636,0.98965298,0.11218172,0.97103275,0.0010000000,70.3923,0,1
13,0.04256009,0.98758357,0.14851655,0.96599496,0.0010000000,72.2961,0,2
14,0.03483444,0.98949379,0.16713721,0.96536524,0.0010000000,75.1743,0,3
15,0.02821684,0.99172238,0.12796132,0.96599496,0.0010000000,74.9086,0,4
16,0.02993347,0.99108564,0.17444768,0.95843829,0.0010000000,74.8261,0,5
17,0.03464284,0.98917542,0.12115510,0.96914358,0.0010000000,74.6217,0,6
18,0.02643809,0.99204075,0.11209837,0.97355164,0.0010000000,75.8080,0,7
19,0.01865249,0.99426934,0.12152494,0.97166247,0.0010000000,75.2102,0,8
20,0.03554930,0.98901624,0.13635767,0.96788413,0.0010000000,75.0827,0,9
21,0.00806175,0.99745304,0.08618361,0.98110831,0.0010000000,72.2916,1,0
22,0.00883434,0.99745304,0.10844622,0.97607053,0.0010000000,72.6312,0,1
23,0.00773596,0.99777141,0.12024205,0.97418136,0.0010000000,73.9907,0,2
24,0.01399202,0.99586119,0.13069875,0.97229219,0.0010000000,71.3480,0,3
25,0.00452829,0.99856734,0.09222172,0.97921914,0.0010000000,69.9003,0,4
26,0.00578976,0.99872652,0.09528686,0.98173804,0.0010000000,69.8081,0,5
27,0.00791084,0.99793060,0.10396138,0.97858942,0.0001000000,70.8655,0,6
28,0.00613715,0.99872652,0.10087896,0.98047859,0.0001000000,70.5947,0,7
29,0.00371235,0.99888571,0.10174913,0.97858942,0.0001000000,70.5401,0,8
30,0.00256068,0.99952245,0.10631810,0.97858942,0.0001000000,70.2037,0,9
31,0.00251752,0.99936326,0.10035313,0.98047859,0.0001000000,70.3863,0,10
