epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec,is_best,early_stop_counter
1,0.71847730,0.76981853,1.45699610,0.58312343,0.0010000000,56.2666,1,0
2,0.20304708,0.92979943,1.05645151,0.74748111,0.0010000000,56.4612,1,0
3,0.09302635,0.96736708,0.35355675,0.90239295,0.0010000000,55.7887,1,0
4,0.08258501,0.97182426,0.37872651,0.89231738,0.0010000000,55.9195,0,1
5,0.09047785,0.97118752,0.29732896,0.92506297,0.0010000000,55.8353,1,0
6,0.07945289,0.97723655,0.52687020,0.84949622,0.0010000000,56.1037,0,1
7,0.05402364,0.98153454,0.46924313,0.91435768,0.0010000000,57.3975,0,2
8,0.05985150,0.98010188,0.28306869,0.93639798,0.0010000000,56.6756,1,0
9,0.04431338,0.98535498,0.13173818,0.96725441,0.0010000000,56.2134,1,0
10,0.02273771,0.99315505,0.18919764,0.94899244,0.0010000000,55.8246,0,1
11,0.02169818,0.99204075,0.13785212,0.96347607,0.0010000000,55.7603,0,2
12,0.03681410,0.98997135,0.19266593,0.95340050,0.0010000000,55.8562,0,3
13,0.14847311,0.95638332,0.51369087,0.85705290,0.0010000000,56.1505,0,4
14,0.05425830,0.98376313,0.18887737,0.94269521,0.0010000000,55.8172,0,5
15,0.03241825,0.98997135,0.15578896,0.96725441,0.0001000000,55.8808,0,6
16,0.00851520,0.99697549,0.11607344,0.97921914,0.0001000000,55.9075,1,0
17,0.00656898,0.99793060,0.10471994,0.97921914,0.0001000000,56.2742,1,0
18,0.00512491,0.99793060,0.09625464,0.98173804,0.0001000000,56.9923,1,0
19,0.00457703,0.99888571,0.09525281,0.98110831,0.0001000000,55.9946,1,0
20,0.00462889,0.99840815,0.09528451,0.98299748,0.0001000000,55.7662,0,1
21,0.00380710,0.99856734,0.09145636,0.98488665,0.0001000000,56.1787,1,0
22,0.00219784,0.99920408,0.09602440,0.98488665,0.0001000000,55.9469,0,1
23,0.00346524,0.99920408,0.09625799,0.98236776,0.0001000000,55.8674,0,2
24,0.00209509,0.99920408,0.09765555,0.98299748,0.0001000000,55.8723,0,3
25,0.00185452,0.99936326,0.09899186,0.98362720,0.0001000000,55.7474,0,4
26,0.00174943,0.99984082,0.09418832,0.98614610,0.0001000000,55.8199,0,5
27,0.00209830,0.99936326,0.09877918,0.98425693,0.0000100000,55.8479,0,6
28,0.00233081,0.99952245,0.09851324,0.98425693,0.0000100000,55.7645,0,7
29,0.00149293,0.99952245,0.09878000,0.98362720,0.0000100000,55.8705,0,8
30,0.00189448,0.99920408,0.09836179,0.98299748,0.0000100000,55.8624,0,9
31,0.00183817,0.99952245,0.09893382,0.98173804,0.0000100000,55.7744,0,10
