epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec,is_best,early_stop_counter
1,1.06235096,0.66778096,1.23684594,0.60768262,0.0010000000,105.7275,1,0
2,0.44074618,0.85752945,1.19395574,0.66498741,0.0010000000,105.0600,1,0
3,0.28353503,0.91021968,0.62772474,0.80730479,0.0010000000,105.7850,1,0
4,0.17952976,0.94237504,0.45146485,0.85075567,0.0010000000,105.5922,1,0
5,0.14320855,0.95463228,0.48563824,0.85138539,0.0010000000,105.8171,0,1
6,0.14010867,0.95845272,0.31293742,0.90554156,0.0010000000,106.0666,1,0
7,0.09287419,0.97150589,0.26931376,0.90806045,0.0010000000,105.4178,1,0
8,0.08207689,0.97341611,0.69801575,0.80856423,0.0010000000,105.6196,0,1
9,0.13458931,0.96052213,0.18460947,0.94206549,0.0010000000,106.1578,1,0
10,0.07774597,0.97819166,0.22101134,0.94017632,0.0010000000,105.4877,0,1
11,0.06959440,0.97994269,0.40721662,0.88350126,0.0010000000,106.4657,0,2
12,0.08578280,0.97373448,0.21125796,0.93639798,0.0010000000,105.6218,0,3
13,0.05863289,0.98137536,0.26317660,0.92380353,0.0010000000,105.6092,0,4
14,0.05789649,0.98105699,0.22842600,0.93261965,0.0010000000,105.3598,0,5
15,0.06743774,0.97835084,0.20798931,0.94332494,0.0001000000,105.4520,0,6
16,0.02571244,0.99251831,0.10466223,0.97418136,0.0001000000,105.8259,1,0
17,0.01240937,0.99713467,0.09938464,0.97544081,0.0001000000,105.8700,1,0
18,0.01187240,0.99665712,0.09387570,0.97732997,0.0001000000,105.7134,1,0
19,0.00932939,0.99824897,0.08468006,0.97921914,0.0001000000,105.6986,1,0
20,0.00718128,0.99824897,0.08766806,0.97921914,0.0001000000,105.1796,0,1
21,0.00663105,0.99872652,0.08441579,0.98110831,0.0001000000,105.3069,1,0
22,0.00693349,0.99808978,0.08247996,0.98110831,0.0001000000,105.5760,1,0
23,0.00623043,0.99824897,0.08769499,0.98110831,0.0001000000,105.4943,0,1
24,0.00533559,0.99936326,0.08622126,0.98136776,0.0001000000,105.2864,0,2
25,0.00507371,0.99968163,0.09551845,0.98110831,0.0001000000,106.0482,0,3
26,0.00371780,0.99952245,0.08756021,0.98206776,0.0001000000,105.3515,0,4
27,0.00498490,0.99904489,0.09110563,0.98110831,0.0001000000,106.0524,0,5
28,0.00458662,0.99888571,0.08726052,0.98219799,0.0000100000,106.4486,0,6
29,0.00420405,0.99920408,0.08845720,0.98236776,0.0000100000,105.5370,0,7
30,0.00377735,0.99952245,0.08654713,0.98209748,0.0000100000,105.3184,0,8
31,0.00409280,0.99904489,0.08885033,0.98236776,0.0000100000,105.4236,0,9
32,0.00416237,0.99920408,0.08902663,0.98236776,0.0000100000,104.8406,0,10
