stage,model_name,size,downsampling,activation,head,seed,epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec,is_best,early_stop_counter,grad_accum_steps,effective_batch_size
grid,scratch_base_maxpool_relu_gap,base,maxpool,relu,gap,2,1,2.21222521,0.34479465,2.11871568,0.36083123,0.0010000000,12.2746,1,0,1,128
grid,scratch_base_maxpool_relu_gap,base,maxpool,relu,gap,2,2,1.82651336,0.46832219,1.82434701,0.43073048,0.0010000000,11.3159,1,0,1,128
grid,scratch_base_maxpool_relu_gap,base,maxpool,relu,gap,2,3,1.65294402,0.51257561,1.97221970,0.32997481,0.0010000000,11.0683,0,1,1,128
grid,scratch_base_maxpool_relu_gap,base,maxpool,relu,gap,2,4,1.50153829,0.55460045,1.60647923,0.51259446,0.0010000000,11.2886,1,0,1,128
grid,scratch_base_maxpool_relu_gap,base,maxpool,relu,gap,2,5,1.43921910,0.56606176,1.45372329,0.57682620,0.0010000000,11.5761,1,0,1,128
grid,scratch_base_maxpool_relu_gap,base,maxpool,relu,gap,2,6,1.30460515,0.60649475,1.78741425,0.51133501,0.0010000000,10.6414,0,1,1,128
grid,scratch_base_maxpool_relu_gap,base,maxpool,relu,gap,2,7,1.26019814,0.61477237,1.69854949,0.49496222,0.0010000000,11.3892,0,2,1,128
grid,scratch_base_maxpool_relu_gap,base,maxpool,relu,gap,2,8,1.20765514,0.64040115,1.39119714,0.59634761,0.0010000000,11.1254,1,0,1,128
grid,scratch_base_maxpool_relu_gap,base,maxpool,relu,gap,2,9,1.17485405,0.64326648,1.52887533,0.52267003,0.0010000000,11.3836,0,1,1,128
grid,scratch_base_maxpool_relu_gap,base,maxpool,relu,gap,2,10,1.12286729,0.65870742,1.34758250,0.61209068,0.0010000000,11.1157,1,0,1,128
grid,scratch_base_maxpool_relu_gap,base,maxpool,relu,gap,2,11,1.13149721,0.65631964,1.64145509,0.53526448,0.0010000000,10.9501,0,1,1,128
grid,scratch_base_maxpool_relu_gap,base,maxpool,relu,gap,2,12,1.06855572,0.67733206,1.28369912,0.63350126,0.0010000000,10.9994,1,0,1,128
grid,scratch_base_maxpool_relu_gap,base,maxpool,relu,gap,2,13,1.04558130,0.67828717,1.27256795,0.63790932,0.0010000000,11.6756,1,0,1,128
grid,scratch_base_maxpool_relu_gap,base,maxpool,relu,gap,2,14,1.01304761,0.68608723,1.56531618,0.53967254,0.0010000000,10.7307,0,1,1,128
grid,scratch_base_maxpool_relu_gap,base,maxpool,relu,gap,2,15,0.98680197,0.69802611,1.26090540,0.62531486,0.0010000000,10.3732,1,0,1,128
grid,scratch_base_maxpool_relu_gap,base,maxpool,relu,gap,2,16,0.96619610,0.70423432,1.27887420,0.63916877,0.0010000000,10.6698,0,1,1,128
