stage,model_name,size,downsampling,activation,head,seed,epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec,is_best,early_stop_counter,grad_accum_steps,effective_batch_size
grid,scratch_base_maxpool_relu_pool4mlp,base,maxpool,relu,pool4mlp,3,1,2.42641244,0.28239414,2.04609411,0.37153652,0.0010000000,11.8783,1,0,1,128
grid,scratch_base_maxpool_relu_pool4mlp,base,maxpool,relu,pool4mlp,3,2,1.59888209,0.50047755,1.59005943,0.45151134,0.0010000000,11.3340,1,0,1,128
grid,scratch_base_maxpool_relu_pool4mlp,base,maxpool,relu,pool4mlp,3,3,1.30619607,0.57593123,1.41002058,0.54722922,0.0010000000,11.4660,1,0,1,128
grid,scratch_base_maxpool_relu_pool4mlp,base,maxpool,relu,pool4mlp,3,4,1.17662388,0.61174785,1.17541835,0.63035264,0.0010000000,11.4432,1,0,1,128
grid,scratch_base_maxpool_relu_pool4mlp,base,maxpool,relu,pool4mlp,3,5,1.07254258,0.64056033,1.24138906,0.57934509,0.0010000000,11.3312,0,1,1,128
grid,scratch_base_maxpool_relu_pool4mlp,base,maxpool,relu,pool4mlp,3,6,0.99630692,0.66555237,1.09297233,0.64420655,0.0010000000,11.1541,1,0,1,128
grid,scratch_base_maxpool_relu_pool4mlp,base,maxpool,relu,pool4mlp,3,7,0.92808338,0.68385864,1.09805888,0.65113350,0.0010000000,11.3309,0,1,1,128
grid,scratch_base_maxpool_relu_pool4mlp,base,maxpool,relu,pool4mlp,3,8,0.85787009,0.70932824,1.55002181,0.59445844,0.0010000000,10.8935,0,2,1,128
grid,scratch_base_maxpool_relu_pool4mlp,base,maxpool,relu,pool4mlp,3,9,0.80806031,0.72620185,1.30321305,0.65365239,0.0010000000,11.7208,0,3,1,128
grid,scratch_base_maxpool_relu_pool4mlp,base,maxpool,relu,pool4mlp,3,10,0.78171716,0.73575294,1.09141233,0.67380353,0.0010000000,10.8403,1,0,1,128
grid,scratch_base_maxpool_relu_pool4mlp,base,maxpool,relu,pool4mlp,3,11,0.74357573,0.75358166,1.00951047,0.70151134,0.0010000000,11.0526,1,0,1,128
grid,scratch_base_maxpool_relu_pool4mlp,base,maxpool,relu,pool4mlp,3,12,0.67125623,0.77061445,0.92231196,0.72607053,0.0010000000,11.8386,1,0,1,128
grid,scratch_base_maxpool_relu_pool4mlp,base,maxpool,relu,pool4mlp,3,13,0.68300522,0.77634511,0.97991733,0.71788413,0.0010000000,10.8807,0,1,1,128
