stage,model_name,size,downsampling,activation,head,seed,epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec,is_best,early_stop_counter,grad_accum_steps,effective_batch_size
grid,scratch_base_maxpool_silu_gap,base,maxpool,silu,gap,1,1,2.26154046,0.32601082,2.06416978,0.35264484,0.0010000000,11.3187,1,0,1,128
grid,scratch_base_maxpool_silu_gap,base,maxpool,silu,gap,1,2,1.84231064,0.45622413,1.84811300,0.42443325,0.0010000000,10.2272,1,0,1,128
grid,scratch_base_maxpool_silu_gap,base,maxpool,silu,gap,1,3,1.67163780,0.50334288,1.72003113,0.47292191,0.0010000000,10.5438,1,0,1,128
grid,scratch_base_maxpool_silu_gap,base,maxpool,silu,gap,1,4,1.56080673,0.54043298,1.70970605,0.48110831,0.0010000000,10.7268,1,0,1,128
grid,scratch_base_maxpool_silu_gap,base,maxpool,silu,gap,1,5,1.43472810,0.57688634,1.50633288,0.55856423,0.0010000000,10.1920,1,0,1,128
grid,scratch_base_maxpool_silu_gap,base,maxpool,silu,gap,1,6,1.37651492,0.58850684,1.73739776,0.51007557,0.0010000000,10.4864,0,1,1,128
grid,scratch_base_maxpool_silu_gap,base,maxpool,silu,gap,1,7,1.30763137,0.61063356,1.50500000,0.54093199,0.0010000000,10.3081,1,0,1,128
grid,scratch_base_maxpool_silu_gap,base,maxpool,silu,gap,1,8,1.24554484,0.62607450,1.46711304,0.57367758,0.0010000000,10.2706,1,0,1,128
grid,scratch_base_maxpool_silu_gap,base,maxpool,silu,gap,1,9,1.21264855,0.63594397,1.52526476,0.58564232,0.0010000000,10.5022,0,1,1,128
grid,scratch_base_maxpool_silu_gap,base,maxpool,silu,gap,1,10,1.17507644,0.65186246,1.55725014,0.50062972,0.0010000000,10.4067,0,2,1,128
grid,scratch_base_maxpool_silu_gap,base,maxpool,silu,gap,1,11,1.12709833,0.66077682,1.30515299,0.61775819,0.0010000000,9.8962,1,0,1,128
grid,scratch_base_maxpool_silu_gap,base,maxpool,silu,gap,1,12,1.08513178,0.66969118,1.36011138,0.61209068,0.0010000000,10.6544,0,1,1,128
grid,scratch_base_maxpool_silu_gap,base,maxpool,silu,gap,1,13,1.07140670,0.67128303,1.33041503,0.61901763,0.0010000000,11.1083,0,2,1,128
grid,scratch_base_maxpool_silu_gap,base,maxpool,silu,gap,1,14,1.01716815,0.69149952,1.33919676,0.62594458,0.0010000000,10.6597,0,3,1,128
grid,scratch_base_maxpool_silu_gap,base,maxpool,silu,gap,1,15,1.03321056,0.67924228,1.29589657,0.66057935,0.0010000000,12.0473,1,0,1,128
grid,scratch_base_maxpool_silu_gap,base,maxpool,silu,gap,1,16,0.96689626,0.70518943,1.46361602,0.57052897,0.0010000000,10.1872,0,1,1,128
grid,scratch_base_maxpool_silu_gap,base,maxpool,silu,gap,1,17,0.94552686,0.71967526,1.34406406,0.58690176,0.0010000000,10.2063,0,2,1,128
grid,scratch_base_maxpool_silu_gap,base,maxpool,silu,gap,1,18,0.92596352,0.71808341,1.53985710,0.58249370,0.0010000000,10.6436,0,3,1,128
grid,scratch_base_maxpool_silu_gap,base,maxpool,silu,gap,1,19,0.94823589,0.70821394,1.38127135,0.60642317,0.0010000000,10.4682,0,4,1,128
grid,scratch_base_maxpool_silu_gap,base,maxpool,silu,gap,1,20,0.90256698,0.72317733,1.27315957,0.63476071,0.0010000000,10.2909,1,0,1,128
grid,scratch_base_maxpool_silu_gap,base,maxpool,silu,gap,1,21,0.89540399,0.73002229,1.39533657,0.59382872,0.0010000000,10.1670,0,1,1,128
grid,scratch_base_maxpool_silu_gap,base,maxpool,silu,gap,1,22,0.88887485,0.73256925,1.44504525,0.63413098,0.0010000000,11.1842,0,2,1,128
grid,scratch_base_maxpool_silu_gap,base,maxpool,silu,gap,1,23,0.90350208,0.72365489,1.16766697,0.66687657,0.0010000000,10.2987,1,0,1,128
grid,scratch_base_maxpool_silu_gap,base,maxpool,silu,gap,1,24,0.84827623,0.73607131,1.27845583,0.64924433,0.0010000000,10.2715,0,1,1,128
grid,scratch_base_maxpool_silu_gap,base,maxpool,silu,gap,1,25,0.86673974,0.72683859,1.24225248,0.63350126,0.0010000000,10.3364,0,2,1,128
grid,scratch_base_maxpool_silu_gap,base,maxpool,silu,gap,1,26,0.83067354,0.74291627,1.44006936,0.60894207,0.0010000000,11.1292,0,3,1,128
grid,scratch_base_maxpool_silu_gap,base,maxpool,silu,gap,1,27,0.82725592,0.74578160,1.24722429,0.65869018,0.0010000000,10.4841,0,4,1,128
grid,scratch_base_maxpool_silu_gap,base,maxpool,silu,gap,1,28,0.84045180,0.73941420,1.20620965,0.66624685,0.0010000000,10.6978,0,5,1,128
grid,scratch_base_maxpool_silu_gap,base,maxpool,silu,gap,1,29,0.77304143,0.76026743,1.32020810,0.62216625,0.0001000000,10.5464,0,6,1,128
grid,scratch_base_maxpool_silu_gap,base,maxpool,silu,gap,1,30,0.72316380,0.78191659,1.09215935,0.69332494,0.0001000000,10.4758,1,0,1,128
grid,scratch_base_maxpool_silu_gap,base,maxpool,silu,gap,1,31,0.67342057,0.79815345,1.06458156,0.70151134,0.0001000000,11.8829,1,0,1,128
grid,scratch_base_maxpool_silu_gap,base,maxpool,silu,gap,1,32,0.66705100,0.79831264,1.05947096,0.70025189,0.0001000000,10.5749,1,0,1,128
grid,scratch_base_maxpool_silu_gap,base,maxpool,silu,gap,1,33,0.66532023,0.79751671,1.09829407,0.69962217,0.0001000000,10.4729,0,1,1,128
grid,scratch_base_maxpool_silu_gap,base,maxpool,silu,gap,1,34,0.65051323,0.80261063,1.07470111,0.69962217,0.0001000000,11.7174,0,2,1,128
grid,scratch_base_maxpool_silu_gap,base,maxpool,silu,gap,1,35,0.65509085,0.79974530,1.03938377,0.70906801,0.0001000000,10.6208,1,0,1,128
grid,scratch_base_maxpool_silu_gap,base,maxpool,silu,gap,1,36,0.65108242,0.80515759,1.05118164,0.70025189,0.0001000000,10.3103,0,1,1,128
grid,scratch_base_maxpool_silu_gap,base,maxpool,silu,gap,1,37,0.64756636,0.80531678,1.07398820,0.69836272,0.0001000000,10.1181,0,2,1,128
grid,scratch_base_maxpool_silu_gap,base,maxpool,silu,gap,1,38,0.64022947,0.80993314,1.06049850,0.70591940,0.0001000000,10.4991,0,3,1,128
grid,scratch_base_maxpool_silu_gap,base,maxpool,silu,gap,1,39,0.65008009,0.80547596,1.06067831,0.70340050,0.0001000000,11.5349,0,4,1,128
grid,scratch_base_maxpool_silu_gap,base,maxpool,silu,gap,1,40,0.64141802,0.80993314,1.02299798,0.70088161,0.0001000000,10.5892,1,0,1,128
grid,scratch_base_maxpool_silu_gap,base,maxpool,silu,gap,1,41,0.63380747,0.81200255,1.04778189,0.70969773,0.0001000000,10.9351,0,1,1,128
grid,scratch_base_maxpool_silu_gap,base,maxpool,silu,gap,1,42,0.62341796,0.81200255,1.02505787,0.70654912,0.0001000000,10.4569,0,2,1,128
grid,scratch_base_maxpool_silu_gap,base,maxpool,silu,gap,1,43,0.62654393,0.81327603,1.02689791,0.71536524,0.0001000000,11.2525,0,3,1,128
grid,scratch_base_maxpool_silu_gap,base,maxpool,silu,gap,1,44,0.62850657,0.80690863,1.02753847,0.71158690,0.0001000000,10.1136,0,4,1,128
grid,scratch_base_maxpool_silu_gap,base,maxpool,silu,gap,1,45,0.61892126,0.80977396,1.03284766,0.70969773,0.0001000000,9.9913,0,5,1,128
grid,scratch_base_maxpool_silu_gap,base,maxpool,silu,gap,1,46,0.61501710,0.81852913,1.06005479,0.70780856,0.0000100000,10.7433,0,6,1,128
grid,scratch_base_maxpool_silu_gap,base,maxpool,silu,gap,1,47,0.60549886,0.82521490,1.04921923,0.71410579,0.0000100000,11.0335,0,7,1,128
grid,scratch_base_maxpool_silu_gap,base,maxpool,silu,gap,1,48,0.60801584,0.81948424,1.04681811,0.71032746,0.0000100000,10.1860,0,8,1,128
