stage,model_name,size,downsampling,activation,head,seed,epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec,is_best,early_stop_counter,grad_accum_steps,effective_batch_size
grid,scratch_base_maxpool_silu_pool4mlp,base,maxpool,silu,pool4mlp,3,1,2.13903869,0.35880293,1.69148429,0.49937028,0.0010000000,15.0438,1,0,1,128
grid,scratch_base_maxpool_silu_pool4mlp,base,maxpool,silu,pool4mlp,3,2,1.45282318,0.54170646,1.57930873,0.48173804,0.0010000000,15.3735,1,0,1,128
grid,scratch_base_maxpool_silu_pool4mlp,base,maxpool,silu,pool4mlp,3,3,1.22578060,0.60649475,1.19481931,0.59508816,0.0010000000,13.5605,1,0,1,128
grid,scratch_base_maxpool_silu_pool4mlp,base,maxpool,silu,pool4mlp,3,4,1.04237608,0.65234002,1.47895775,0.58501259,0.0010000000,14.1284,0,1,1,128
grid,scratch_base_maxpool_silu_pool4mlp,base,maxpool,silu,pool4mlp,3,5,0.94804634,0.68194842,1.07304969,0.64483627,0.0010000000,13.5978,1,0,1,128
grid,scratch_base_maxpool_silu_pool4mlp,base,maxpool,silu,pool4mlp,3,6,0.84706479,0.71633238,1.22162845,0.63476071,0.0010000000,14.8174,0,1,1,128
grid,scratch_base_maxpool_silu_pool4mlp,base,maxpool,silu,pool4mlp,3,7,0.80383974,0.72779370,1.22134240,0.59634761,0.0010000000,14.5732,0,2,1,128
grid,scratch_base_maxpool_silu_pool4mlp,base,maxpool,silu,pool4mlp,3,8,0.76483076,0.74641834,0.89275685,0.71536524,0.0010000000,12.4828,1,0,1,128
grid,scratch_base_maxpool_silu_pool4mlp,base,maxpool,silu,pool4mlp,3,9,0.68848516,0.76918179,0.96339739,0.70654912,0.0010000000,12.5273,0,1,1,128
grid,scratch_base_maxpool_silu_pool4mlp,base,maxpool,silu,pool4mlp,3,10,0.67473767,0.77570837,1.29071300,0.65113350,0.0010000000,12.3513,0,2,1,128
grid,scratch_base_maxpool_silu_pool4mlp,base,maxpool,silu,pool4mlp,3,11,0.61541563,0.79035339,0.85206673,0.74244332,0.0010000000,11.6262,1,0,1,128
grid,scratch_base_maxpool_silu_pool4mlp,base,maxpool,silu,pool4mlp,3,12,0.56097455,0.80690863,0.83239738,0.75314861,0.0010000000,12.7565,1,0,1,128
grid,scratch_base_maxpool_silu_pool4mlp,base,maxpool,silu,pool4mlp,3,13,0.57373749,0.80738618,0.97338826,0.70591940,0.0010000000,11.2773,0,1,1,128
grid,scratch_base_maxpool_silu_pool4mlp,base,maxpool,silu,pool4mlp,3,14,0.56264997,0.81423114,1.03079359,0.71788413,0.0010000000,10.8682,0,2,1,128
grid,scratch_base_maxpool_silu_pool4mlp,base,maxpool,silu,pool4mlp,3,15,0.52278529,0.82171283,0.97202431,0.74055416,0.0010000000,11.1715,0,3,1,128
grid,scratch_base_maxpool_silu_pool4mlp,base,maxpool,silu,pool4mlp,3,16,0.47496427,0.83826807,0.97849647,0.74433249,0.0010000000,12.2524,0,4,1,128
grid,scratch_base_maxpool_silu_pool4mlp,base,maxpool,silu,pool4mlp,3,17,0.47130610,0.84224769,0.83498640,0.76889169,0.0010000000,10.9356,0,5,1,128
grid,scratch_base_maxpool_silu_pool4mlp,base,maxpool,silu,pool4mlp,3,18,0.43441650,0.85354982,0.83847973,0.74370277,0.0001000000,10.5605,0,6,1,128
grid,scratch_base_maxpool_silu_pool4mlp,base,maxpool,silu,pool4mlp,3,19,0.36495380,0.87615409,0.75629650,0.79659950,0.0001000000,11.1996,1,0,1,128
grid,scratch_base_maxpool_silu_pool4mlp,base,maxpool,silu,pool4mlp,3,20,0.33513921,0.88809296,0.73930928,0.80100756,0.0001000000,10.9927,1,0,1,128
grid,scratch_base_maxpool_silu_pool4mlp,base,maxpool,silu,pool4mlp,3,21,0.31962736,0.89461955,0.73148069,0.80226700,0.0001000000,10.9253,1,0,1,128
grid,scratch_base_maxpool_silu_pool4mlp,base,maxpool,silu,pool4mlp,3,22,0.31067310,0.89780325,0.75298057,0.80037783,0.0001000000,10.9630,0,1,1,128
grid,scratch_base_maxpool_silu_pool4mlp,base,maxpool,silu,pool4mlp,3,23,0.29807998,0.90082776,0.72376911,0.81234257,0.0001000000,11.3559,1,0,1,128
grid,scratch_base_maxpool_silu_pool4mlp,base,maxpool,silu,pool4mlp,3,24,0.30095142,0.89843999,0.69737854,0.82304786,0.0001000000,11.5814,1,0,1,128
grid,scratch_base_maxpool_silu_pool4mlp,base,maxpool,silu,pool4mlp,3,25,0.29536439,0.90114613,0.72562872,0.81360202,0.0001000000,10.9973,0,1,1,128
grid,scratch_base_maxpool_silu_pool4mlp,base,maxpool,silu,pool4mlp,3,26,0.28437920,0.90639924,0.70264371,0.81675063,0.0001000000,11.0576,0,2,1,128
grid,scratch_base_maxpool_silu_pool4mlp,base,maxpool,silu,pool4mlp,3,27,0.28543549,0.90512576,0.68875123,0.82556675,0.0001000000,11.0412,1,0,1,128
grid,scratch_base_maxpool_silu_pool4mlp,base,maxpool,silu,pool4mlp,3,28,0.28202019,0.90560331,0.74631075,0.81675063,0.0001000000,10.8885,0,1,1,128
grid,scratch_base_maxpool_silu_pool4mlp,base,maxpool,silu,pool4mlp,3,29,0.28456410,0.90544413,0.74470692,0.81549118,0.0001000000,10.7411,0,2,1,128
grid,scratch_base_maxpool_silu_pool4mlp,base,maxpool,silu,pool4mlp,3,30,0.27421074,0.90608087,0.70301838,0.82115869,0.0001000000,10.4005,0,3,1,128
grid,scratch_base_maxpool_silu_pool4mlp,base,maxpool,silu,pool4mlp,3,31,0.27489433,0.90846864,0.70923440,0.82493703,0.0001000000,10.4028,0,4,1,128
grid,scratch_base_maxpool_silu_pool4mlp,base,maxpool,silu,pool4mlp,3,32,0.27148109,0.90894620,0.70965714,0.82178841,0.0001000000,11.2437,0,5,1,128
grid,scratch_base_maxpool_silu_pool4mlp,base,maxpool,silu,pool4mlp,3,33,0.26687357,0.91053805,0.75150638,0.82052897,0.0000100000,11.2084,0,6,1,128
grid,scratch_base_maxpool_silu_pool4mlp,base,maxpool,silu,pool4mlp,3,34,0.25952524,0.91356256,0.73927035,0.81738035,0.0000100000,11.6611,0,7,1,128
grid,scratch_base_maxpool_silu_pool4mlp,base,maxpool,silu,pool4mlp,3,35,0.25211763,0.91722381,0.71702243,0.82052897,0.0000100000,11.3211,0,8,1,128
grid,scratch_base_maxpool_silu_pool4mlp,base,maxpool,silu,pool4mlp,3,36,0.25234592,0.91642789,0.70780446,0.82493703,0.0000100000,10.9683,0,9,1,128
grid,scratch_base_maxpool_silu_pool4mlp,base,maxpool,silu,pool4mlp,3,37,0.25041109,0.91690544,0.70299526,0.82997481,0.0000100000,10.6816,0,10,1,128
