stage,model_name,size,downsampling,activation,head,seed,epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec,is_best,early_stop_counter,grad_accum_steps,effective_batch_size
grid,scratch_base_strided_relu_gap,base,strided,relu,gap,1,1,2.23389211,0.34256606,2.15380855,0.29974811,0.0010000000,11.9294,1,0,1,128
grid,scratch_base_strided_relu_gap,base,strided,relu,gap,1,2,1.89086129,0.44046482,1.87760729,0.42380353,0.0010000000,10.3624,1,0,1,128
grid,scratch_base_strided_relu_gap,base,strided,relu,gap,1,3,1.74549591,0.48264884,1.83218799,0.45528967,0.0010000000,10.3838,1,0,1,128
grid,scratch_base_strided_relu_gap,base,strided,relu,gap,1,4,1.64835756,0.50541229,1.67640638,0.50377834,0.0010000000,10.2020,1,0,1,128
grid,scratch_base_strided_relu_gap,base,strided,relu,gap,1,5,1.54633444,0.53995543,1.70995344,0.50566751,0.0010000000,9.9987,0,1,1,128
grid,scratch_base_strided_relu_gap,base,strided,relu,gap,1,6,1.49835169,0.54886979,1.84397171,0.45340050,0.0010000000,9.9480,0,2,1,128
grid,scratch_base_strided_relu_gap,base,strided,relu,gap,1,7,1.41668406,0.57545368,1.53065743,0.55919395,0.0010000000,10.4263,1,0,1,128
grid,scratch_base_strided_relu_gap,base,strided,relu,gap,1,8,1.37339042,0.59025788,1.50272459,0.53337531,0.0010000000,10.1525,1,0,1,128
grid,scratch_base_strided_relu_gap,base,strided,relu,gap,1,9,1.31650228,0.60267431,1.80932883,0.43324937,0.0010000000,10.2348,0,1,1,128
grid,scratch_base_strided_relu_gap,base,strided,relu,gap,1,10,1.28406602,0.61142948,1.41724923,0.59508816,0.0010000000,10.5075,1,0,1,128
grid,scratch_base_strided_relu_gap,base,strided,relu,gap,1,11,1.21960882,0.63737663,1.45552907,0.58816121,0.0010000000,10.3411,0,1,1,128
grid,scratch_base_strided_relu_gap,base,strided,relu,gap,1,12,1.18710304,0.64247055,1.49490303,0.57052897,0.0010000000,10.3592,0,2,1,128
grid,scratch_base_strided_relu_gap,base,strided,relu,gap,1,13,1.15549544,0.65042980,1.43349376,0.57619647,0.0010000000,10.2177,0,3,1,128
grid,scratch_base_strided_relu_gap,base,strided,relu,gap,1,14,1.11171243,0.66252786,1.39119087,0.62090680,0.0010000000,9.9396,1,0,1,128
grid,scratch_base_strided_relu_gap,base,strided,relu,gap,1,15,1.07899216,0.66937281,1.27981263,0.66246851,0.0010000000,10.4636,1,0,1,128
grid,scratch_base_strided_relu_gap,base,strided,relu,gap,1,16,1.04010890,0.68927093,1.40435006,0.60138539,0.0010000000,10.2572,0,1,1,128
grid,scratch_base_strided_relu_gap,base,strided,relu,gap,1,17,1.01497251,0.69038523,1.74143722,0.47418136,0.0010000000,10.3808,0,2,1,128
grid,scratch_base_strided_relu_gap,base,strided,relu,gap,1,18,0.99767917,0.69420567,1.46169409,0.61020151,0.0010000000,9.9577,0,3,1,128
grid,scratch_base_strided_relu_gap,base,strided,relu,gap,1,19,1.02197084,0.68608723,1.42144272,0.61209068,0.0010000000,10.2927,0,4,1,128
grid,scratch_base_strided_relu_gap,base,strided,relu,gap,1,20,0.96331064,0.70678128,1.33635618,0.63727960,0.0010000000,10.1367,0,5,1,128
grid,scratch_base_strided_relu_gap,base,strided,relu,gap,1,21,0.94485225,0.70900987,1.32274109,0.63224181,0.0001000000,10.2814,0,6,1,128
grid,scratch_base_strided_relu_gap,base,strided,relu,gap,1,22,0.84436099,0.74434893,1.14729459,0.69458438,0.0001000000,9.9560,1,0,1,128
grid,scratch_base_strided_relu_gap,base,strided,relu,gap,1,23,0.83028859,0.75214900,1.17932282,0.67947103,0.0001000000,10.6846,0,1,1,128
grid,scratch_base_strided_relu_gap,base,strided,relu,gap,1,24,0.80976500,0.76345113,1.14584892,0.67506297,0.0001000000,10.4627,1,0,1,128
grid,scratch_base_strided_relu_gap,base,strided,relu,gap,1,25,0.81127036,0.75167144,1.15849906,0.67506297,0.0001000000,10.6150,0,1,1,128
grid,scratch_base_strided_relu_gap,base,strided,relu,gap,1,26,0.81376775,0.75278574,1.12016326,0.68576826,0.0001000000,10.3331,1,0,1,128
grid,scratch_base_strided_relu_gap,base,strided,relu,gap,1,27,0.79583496,0.75724292,1.13874605,0.68954660,0.0001000000,10.9721,0,1,1,128
grid,scratch_base_strided_relu_gap,base,strided,relu,gap,1,28,0.78546473,0.76042662,1.13021135,0.69458438,0.0001000000,9.9785,0,2,1,128
grid,scratch_base_strided_relu_gap,base,strided,relu,gap,1,29,0.77647041,0.76631646,1.11765290,0.68828715,0.0001000000,10.0165,1,0,1,128
grid,scratch_base_strided_relu_gap,base,strided,relu,gap,1,30,0.78211869,0.76583890,1.12335726,0.68702771,0.0001000000,10.4674,0,1,1,128
grid,scratch_base_strided_relu_gap,base,strided,relu,gap,1,31,0.77467482,0.76806749,1.13297439,0.68891688,0.0001000000,10.1160,0,2,1,128
grid,scratch_base_strided_relu_gap,base,strided,relu,gap,1,32,0.76781371,0.76615727,1.13971556,0.68387909,0.0001000000,10.6419,0,3,1,128
grid,scratch_base_strided_relu_gap,base,strided,relu,gap,1,33,0.76716476,0.76790831,1.15810869,0.69458438,0.0001000000,10.0406,0,4,1,128
grid,scratch_base_strided_relu_gap,base,strided,relu,gap,1,34,0.75443327,0.77347978,1.11846922,0.69332494,0.0001000000,10.2991,0,5,1,128
grid,scratch_base_strided_relu_gap,base,strided,relu,gap,1,35,0.76439059,0.76711238,1.08988161,0.70088161,0.0001000000,10.4028,1,0,1,128
grid,scratch_base_strided_relu_gap,base,strided,relu,gap,1,36,0.75671068,0.77077364,1.14987338,0.68010076,0.0001000000,10.2088,0,1,1,128
grid,scratch_base_strided_relu_gap,base,strided,relu,gap,1,37,0.75114976,0.77491245,1.14050371,0.67947103,0.0001000000,10.3498,0,2,1,128
grid,scratch_base_strided_relu_gap,base,strided,relu,gap,1,38,0.74503965,0.77316141,1.11566613,0.70088161,0.0001000000,11.1007,0,3,1,128
grid,scratch_base_strided_relu_gap,base,strided,relu,gap,1,39,0.76138995,0.77252467,1.11518427,0.68387909,0.0001000000,10.3585,0,4,1,128
