stage,model_name,size,downsampling,activation,head,seed,epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec,is_best,early_stop_counter,grad_accum_steps,effective_batch_size
grid,scratch_base_strided_relu_pool4mlp,base,strided,relu,pool4mlp,1,1,2.01751615,0.37917861,1.72150837,0.44143577,0.0010000000,11.5134,1,0,1,128
grid,scratch_base_strided_relu_pool4mlp,base,strided,relu,pool4mlp,1,2,1.37031047,0.56064947,1.46530631,0.51322418,0.0010000000,10.7825,1,0,1,128
grid,scratch_base_strided_relu_pool4mlp,base,strided,relu,pool4mlp,1,3,1.21445996,0.60474371,1.50944513,0.53022670,0.0010000000,10.0772,0,1,1,128
grid,scratch_base_strided_relu_pool4mlp,base,strided,relu,pool4mlp,1,4,1.07007441,0.64931550,1.19299485,0.63224181,0.0010000000,10.4949,1,0,1,128
grid,scratch_base_strided_relu_pool4mlp,base,strided,relu,pool4mlp,1,5,0.94763484,0.68751990,1.13570470,0.67065491,0.0010000000,9.8448,1,0,1,128
grid,scratch_base_strided_relu_pool4mlp,base,strided,relu,pool4mlp,1,6,0.86283238,0.71808341,1.02914144,0.66183879,0.0010000000,10.4914,1,0,1,128
grid,scratch_base_strided_relu_pool4mlp,base,strided,relu,pool4mlp,1,7,0.80664440,0.73638968,1.03701881,0.68010076,0.0010000000,11.4730,0,1,1,128
grid,scratch_base_strided_relu_pool4mlp,base,strided,relu,pool4mlp,1,8,0.75482301,0.75628781,0.98987674,0.70654912,0.0010000000,10.8773,1,0,1,128
grid,scratch_base_strided_relu_pool4mlp,base,strided,relu,pool4mlp,1,9,0.73771681,0.75644699,1.02558011,0.65994962,0.0010000000,10.7758,0,1,1,128
grid,scratch_base_strided_relu_pool4mlp,base,strided,relu,pool4mlp,1,10,0.72113958,0.76934097,1.12406335,0.69710327,0.0010000000,10.5003,0,2,1,128
grid,scratch_base_strided_relu_pool4mlp,base,strided,relu,pool4mlp,1,11,0.65856410,0.78271251,0.82586065,0.75818640,0.0010000000,10.2752,1,0,1,128
grid,scratch_base_strided_relu_pool4mlp,base,strided,relu,pool4mlp,1,12,0.60499801,0.79863101,0.87879098,0.72229219,0.0010000000,10.1415,0,1,1,128
grid,scratch_base_strided_relu_pool4mlp,base,strided,relu,pool4mlp,1,13,0.60416552,0.79640242,0.83249107,0.76448363,0.0010000000,10.5177,0,2,1,128
grid,scratch_base_strided_relu_pool4mlp,base,strided,relu,pool4mlp,1,14,0.57592114,0.80945559,0.75625487,0.77833753,0.0010000000,10.6745,1,0,1,128
grid,scratch_base_strided_relu_pool4mlp,base,strided,relu,pool4mlp,1,15,0.55625481,0.81502706,0.89121076,0.72858942,0.0010000000,10.6860,0,1,1,128
grid,scratch_base_strided_relu_pool4mlp,base,strided,relu,pool4mlp,1,16,0.54181401,0.82139446,0.80533399,0.75251889,0.0010000000,9.7211,0,2,1,128
grid,scratch_base_strided_relu_pool4mlp,base,strided,relu,pool4mlp,1,17,0.53792671,0.81821076,0.87950095,0.73488665,0.0010000000,10.1283,0,3,1,128
grid,scratch_base_strided_relu_pool4mlp,base,strided,relu,pool4mlp,1,18,0.50457520,0.82839860,1.04793109,0.72040302,0.0010000000,10.6061,0,4,1,128
grid,scratch_base_strided_relu_pool4mlp,base,strided,relu,pool4mlp,1,19,0.46663841,0.84718243,0.96660251,0.70843829,0.0010000000,10.1548,0,5,1,128
