stage,model_name,size,downsampling,activation,head,seed,epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec,is_best,early_stop_counter,grad_accum_steps,effective_batch_size
grid,scratch_base_strided_silu_gap,base,strided,silu,gap,3,1,2.25500753,0.33906399,2.08026333,0.32367758,0.0010000000,11.1398,1,0,1,128
grid,scratch_base_strided_silu_gap,base,strided,silu,gap,3,2,1.91172977,0.43664438,1.87047227,0.46536524,0.0010000000,10.2304,1,0,1,128
grid,scratch_base_strided_silu_gap,base,strided,silu,gap,3,3,1.75138299,0.48551417,1.72474156,0.49118388,0.0010000000,10.6998,1,0,1,128
grid,scratch_base_strided_silu_gap,base,strided,silu,gap,3,4,1.64206326,0.51162050,1.75480148,0.42758186,0.0010000000,10.1260,0,1,1,128
grid,scratch_base_strided_silu_gap,base,strided,silu,gap,3,5,1.57097204,0.52419612,1.61536442,0.51637280,0.0010000000,10.2969,1,0,1,128
grid,scratch_base_strided_silu_gap,base,strided,silu,gap,3,6,1.51082690,0.54823305,1.66487146,0.47921914,0.0010000000,10.3211,0,1,1,128
grid,scratch_base_strided_silu_gap,base,strided,silu,gap,3,7,1.44406856,0.56765361,1.76826904,0.50755668,0.0010000000,10.1753,0,2,1,128
grid,scratch_base_strided_silu_gap,base,strided,silu,gap,3,8,1.39396715,0.58978032,1.56098120,0.54722922,0.0010000000,10.1089,1,0,1,128
grid,scratch_base_strided_silu_gap,base,strided,silu,gap,3,9,1.35971335,0.59837631,1.51633187,0.55541562,0.0010000000,10.8224,1,0,1,128
grid,scratch_base_strided_silu_gap,base,strided,silu,gap,3,10,1.30428582,0.61349889,1.42624742,0.59508816,0.0010000000,10.0740,1,0,1,128
grid,scratch_base_strided_silu_gap,base,strided,silu,gap,3,11,1.27031415,0.62034384,1.43616833,0.60705290,0.0010000000,10.1021,0,1,1,128
grid,scratch_base_strided_silu_gap,base,strided,silu,gap,3,12,1.26246905,0.61636422,1.58381140,0.59697733,0.0010000000,11.7270,0,2,1,128
grid,scratch_base_strided_silu_gap,base,strided,silu,gap,3,13,1.24941053,0.62862146,1.39055277,0.60579345,0.0010000000,11.1340,1,0,1,128
grid,scratch_base_strided_silu_gap,base,strided,silu,gap,3,14,1.15752608,0.65727475,1.54739018,0.57430730,0.0010000000,10.2891,0,1,1,128
grid,scratch_base_strided_silu_gap,base,strided,silu,gap,3,15,1.15398573,0.65822986,1.57489794,0.57556675,0.0010000000,10.5003,0,2,1,128
grid,scratch_base_strided_silu_gap,base,strided,silu,gap,3,16,1.11490902,0.66809933,1.90251975,0.43450882,0.0010000000,10.1047,0,3,1,128
grid,scratch_base_strided_silu_gap,base,strided,silu,gap,3,17,1.09000493,0.67414836,1.40986869,0.57808564,0.0010000000,9.9461,0,4,1,128
grid,scratch_base_strided_silu_gap,base,strided,silu,gap,3,18,1.07071850,0.67414836,1.34667281,0.61901763,0.0010000000,9.9377,1,0,1,128
grid,scratch_base_strided_silu_gap,base,strided,silu,gap,3,19,1.05978526,0.67669532,1.38978475,0.63727960,0.0010000000,10.9883,0,1,1,128
grid,scratch_base_strided_silu_gap,base,strided,silu,gap,3,20,1.04940198,0.68067494,1.59535964,0.58564232,0.0010000000,10.5936,0,2,1,128
grid,scratch_base_strided_silu_gap,base,strided,silu,gap,3,21,1.00823858,0.69388730,1.59139691,0.57115869,0.0010000000,11.3794,0,3,1,128
grid,scratch_base_strided_silu_gap,base,strided,silu,gap,3,22,0.98572002,0.69945877,1.30878554,0.64105793,0.0010000000,10.8326,1,0,1,128
grid,scratch_base_strided_silu_gap,base,strided,silu,gap,3,23,0.97882962,0.70646291,1.25678450,0.62783375,0.0010000000,10.7586,1,0,1,128
grid,scratch_base_strided_silu_gap,base,strided,silu,gap,3,24,0.96162879,0.71728749,1.40255366,0.58816121,0.0010000000,10.5615,0,1,1,128
grid,scratch_base_strided_silu_gap,base,strided,silu,gap,3,25,0.90712313,0.72508755,1.22017768,0.66813602,0.0010000000,10.5075,1,0,1,128
