stage,model_name,size,downsampling,activation,head,seed,epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec,is_best,early_stop_counter,grad_accum_steps,effective_batch_size
grid,scratch_base_strided_silu_pool4mlp,base,strided,silu,pool4mlp,2,1,1.78879767,0.45272206,1.62392104,0.53022670,0.0010000000,11.4656,1,0,1,128
grid,scratch_base_strided_silu_pool4mlp,base,strided,silu,pool4mlp,2,2,1.21935980,0.61127030,1.29131906,0.62783375,0.0010000000,10.2940,1,0,1,128
grid,scratch_base_strided_silu_pool4mlp,base,strided,silu,pool4mlp,2,3,0.99725871,0.67685450,1.13624186,0.66372796,0.0010000000,10.9589,1,0,1,128
grid,scratch_base_strided_silu_pool4mlp,base,strided,silu,pool4mlp,2,4,0.86615391,0.71728749,1.42151319,0.59634761,0.0010000000,10.0531,0,1,1,128
grid,scratch_base_strided_silu_pool4mlp,base,strided,silu,pool4mlp,2,5,0.81559974,0.73193251,1.14215534,0.68891688,0.0010000000,10.5403,0,2,1,128
grid,scratch_base_strided_silu_pool4mlp,base,strided,silu,pool4mlp,2,6,0.74419267,0.75437759,1.12469951,0.63602015,0.0010000000,11.1190,1,0,1,128
grid,scratch_base_strided_silu_pool4mlp,base,strided,silu,pool4mlp,2,7,0.64714775,0.78112066,0.97155977,0.72103275,0.0010000000,10.7253,1,0,1,128
grid,scratch_base_strided_silu_pool4mlp,base,strided,silu,pool4mlp,2,8,0.62985393,0.79385546,0.85349080,0.75566751,0.0010000000,10.5973,1,0,1,128
grid,scratch_base_strided_silu_pool4mlp,base,strided,silu,pool4mlp,2,9,0.59543492,0.80213308,0.94878668,0.73488665,0.0010000000,10.3460,0,1,1,128
grid,scratch_base_strided_silu_pool4mlp,base,strided,silu,pool4mlp,2,10,0.60419839,0.80133715,0.81278991,0.76952141,0.0010000000,10.5569,1,0,1,128
grid,scratch_base_strided_silu_pool4mlp,base,strided,silu,pool4mlp,2,11,0.51959235,0.83078637,1.20365903,0.68198992,0.0010000000,10.8122,0,1,1,128
grid,scratch_base_strided_silu_pool4mlp,base,strided,silu,pool4mlp,2,12,0.49965102,0.83094556,0.88675533,0.74685139,0.0010000000,10.8119,0,2,1,128
grid,scratch_base_strided_silu_pool4mlp,base,strided,silu,pool4mlp,2,13,0.47423929,0.84368036,1.24694283,0.68513854,0.0010000000,10.5889,0,3,1,128
grid,scratch_base_strided_silu_pool4mlp,base,strided,silu,pool4mlp,2,14,0.52660103,0.82553327,0.89968402,0.76133501,0.0010000000,10.7962,0,4,1,128
grid,scratch_base_strided_silu_pool4mlp,base,strided,silu,pool4mlp,2,15,0.45743747,0.84813754,1.40431557,0.66939547,0.0010000000,10.2815,0,5,1,128
grid,scratch_base_strided_silu_pool4mlp,base,strided,silu,pool4mlp,2,16,0.47080750,0.84097421,1.16568381,0.75377834,0.0001000000,10.2911,0,6,1,128
grid,scratch_base_strided_silu_pool4mlp,base,strided,silu,pool4mlp,2,17,0.35394738,0.88777459,0.70734946,0.81234257,0.0001000000,11.3240,1,0,1,128
grid,scratch_base_strided_silu_pool4mlp,base,strided,silu,pool4mlp,2,18,0.30635572,0.89780325,0.69506570,0.81738035,0.0001000000,10.4458,1,0,1,128
grid,scratch_base_strided_silu_pool4mlp,base,strided,silu,pool4mlp,2,19,0.29538135,0.90003184,0.71460895,0.81297229,0.0001000000,10.2425,0,1,1,128
grid,scratch_base_strided_silu_pool4mlp,base,strided,silu,pool4mlp,2,20,0.28320029,0.90655842,0.68841594,0.81486146,0.0001000000,10.4312,1,0,1,128
grid,scratch_base_strided_silu_pool4mlp,base,strided,silu,pool4mlp,2,21,0.27645644,0.90894620,0.69008801,0.81863980,0.0001000000,10.2227,0,1,1,128
grid,scratch_base_strided_silu_pool4mlp,base,strided,silu,pool4mlp,2,22,0.26408156,0.91149316,0.68808295,0.82241814,0.0001000000,10.6888,1,0,1,128
grid,scratch_base_strided_silu_pool4mlp,base,strided,silu,pool4mlp,2,23,0.27403533,0.91101560,0.67571265,0.82241814,0.0001000000,10.2073,1,0,1,128
grid,scratch_base_strided_silu_pool4mlp,base,strided,silu,pool4mlp,2,24,0.26376315,0.91069723,0.69903184,0.82052897,0.0001000000,10.6285,0,1,1,128
grid,scratch_base_strided_silu_pool4mlp,base,strided,silu,pool4mlp,2,25,0.25811843,0.91244826,0.68419234,0.82178841,0.0001000000,10.6072,0,2,1,128
grid,scratch_base_strided_silu_pool4mlp,base,strided,silu,pool4mlp,2,26,0.25597019,0.91212989,0.68357596,0.82871537,0.0001000000,10.2604,0,3,1,128
grid,scratch_base_strided_silu_pool4mlp,base,strided,silu,pool4mlp,2,27,0.24556166,0.91690544,0.67918561,0.82997481,0.0001000000,10.7865,0,4,1,128
grid,scratch_base_strided_silu_pool4mlp,base,strided,silu,pool4mlp,2,28,0.24021122,0.92184018,0.69283439,0.82682620,0.0001000000,10.4551,0,5,1,128
grid,scratch_base_strided_silu_pool4mlp,base,strided,silu,pool4mlp,2,29,0.23738290,0.92072588,0.67951946,0.83186398,0.0000100000,10.6612,0,6,1,128
grid,scratch_base_strided_silu_pool4mlp,base,strided,silu,pool4mlp,2,30,0.23208401,0.91945240,0.66379171,0.83438287,0.0000100000,10.1893,1,0,1,128
grid,scratch_base_strided_silu_pool4mlp,base,strided,silu,pool4mlp,2,31,0.23193653,0.92263610,0.66336874,0.82997481,0.0000100000,10.6219,1,0,1,128
grid,scratch_base_strided_silu_pool4mlp,base,strided,silu,pool4mlp,2,32,0.22865392,0.92502388,0.66732288,0.83123426,0.0000100000,10.2403,0,1,1,128
grid,scratch_base_strided_silu_pool4mlp,base,strided,silu,pool4mlp,2,33,0.22506335,0.92677491,0.67237502,0.82556675,0.0000100000,11.1920,0,2,1,128
grid,scratch_base_strided_silu_pool4mlp,base,strided,silu,pool4mlp,2,34,0.22858318,0.92295447,0.67621553,0.83186398,0.0000100000,10.0721,0,3,1,128
grid,scratch_base_strided_silu_pool4mlp,base,strided,silu,pool4mlp,2,35,0.22514915,0.92343203,0.68371155,0.83060453,0.0000100000,10.4989,0,4,1,128
grid,scratch_base_strided_silu_pool4mlp,base,strided,silu,pool4mlp,2,36,0.21638882,0.92773002,0.68512703,0.82808564,0.0000100000,10.3136,0,5,1,128
grid,scratch_base_strided_silu_pool4mlp,base,strided,silu,pool4mlp,2,37,0.22757328,0.92629736,0.68593323,0.82304786,0.0000010000,10.4574,0,6,1,128
grid,scratch_base_strided_silu_pool4mlp,base,strided,silu,pool4mlp,2,38,0.22289545,0.92948106,0.69831942,0.82619647,0.0000010000,10.9969,0,7,1,128
