stage,model_name,size,downsampling,activation,head,seed,epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec,is_best,early_stop_counter,grad_accum_steps,effective_batch_size
grid,scratch_deep_maxpool_relu_gap,deep,maxpool,relu,gap,3,1,2.02736836,0.39525629,2.00456417,0.39042821,0.0010000000,14.7519,1,0,1,128
grid,scratch_deep_maxpool_relu_gap,deep,maxpool,relu,gap,3,2,1.59574695,0.52292264,1.73866862,0.48614610,0.0010000000,15.5597,1,0,1,128
grid,scratch_deep_maxpool_relu_gap,deep,maxpool,relu,gap,3,3,1.37337559,0.59200891,1.60783984,0.50440806,0.0010000000,12.4197,1,0,1,128
grid,scratch_deep_maxpool_relu_gap,deep,maxpool,relu,gap,3,4,1.23836461,0.61763770,1.45412353,0.54722922,0.0010000000,13.5916,1,0,1,128
grid,scratch_deep_maxpool_relu_gap,deep,maxpool,relu,gap,3,5,1.15295921,0.64565425,1.39969785,0.60327456,0.0010000000,14.2968,1,0,1,128
grid,scratch_deep_maxpool_relu_gap,deep,maxpool,relu,gap,3,6,1.03703188,0.68433620,1.68630242,0.48425693,0.0010000000,12.8780,0,1,1,128
grid,scratch_deep_maxpool_relu_gap,deep,maxpool,relu,gap,3,7,0.97091262,0.70343840,1.33632971,0.60768262,0.0010000000,13.0121,1,0,1,128
grid,scratch_deep_maxpool_relu_gap,deep,maxpool,relu,gap,3,8,0.93259487,0.71044253,1.74753239,0.50188917,0.0010000000,14.5836,0,1,1,128
grid,scratch_deep_maxpool_relu_gap,deep,maxpool,relu,gap,3,9,0.87292943,0.73845909,1.23861257,0.66183879,0.0010000000,12.9309,1,0,1,128
grid,scratch_deep_maxpool_relu_gap,deep,maxpool,relu,gap,3,10,0.84715799,0.74084686,1.17458591,0.65617128,0.0010000000,11.6212,1,0,1,128
grid,scratch_deep_maxpool_relu_gap,deep,maxpool,relu,gap,3,11,0.79261131,0.75883477,1.34084980,0.62090680,0.0010000000,10.5997,0,1,1,128
grid,scratch_deep_maxpool_relu_gap,deep,maxpool,relu,gap,3,12,0.78937950,0.75183063,1.23377815,0.63916877,0.0010000000,10.8398,0,2,1,128
grid,scratch_deep_maxpool_relu_gap,deep,maxpool,relu,gap,3,13,0.78632422,0.75405922,1.25711583,0.64987406,0.0010000000,10.6104,0,3,1,128
grid,scratch_deep_maxpool_relu_gap,deep,maxpool,relu,gap,3,14,0.72195279,0.77347978,1.14458325,0.65428212,0.0010000000,10.6888,1,0,1,128
grid,scratch_deep_maxpool_relu_gap,deep,maxpool,relu,gap,3,15,0.72025652,0.77220630,1.12655407,0.69647355,0.0010000000,11.4663,1,0,1,128
grid,scratch_deep_maxpool_relu_gap,deep,maxpool,relu,gap,3,16,0.64902244,0.79735753,1.49438350,0.59382872,0.0010000000,10.5925,0,1,1,128
grid,scratch_deep_maxpool_relu_gap,deep,maxpool,relu,gap,3,17,0.65155713,0.79528812,1.29149840,0.63413098,0.0010000000,11.0094,0,2,1,128
grid,scratch_deep_maxpool_relu_gap,deep,maxpool,relu,gap,3,18,0.63227546,0.79958612,1.28842757,0.65176322,0.0010000000,11.0761,0,3,1,128
grid,scratch_deep_maxpool_relu_gap,deep,maxpool,relu,gap,3,19,0.60553998,0.80786374,1.10385707,0.71977330,0.0010000000,10.3728,1,0,1,128
grid,scratch_deep_maxpool_relu_gap,deep,maxpool,relu,gap,3,20,0.60049415,0.81518625,1.15671833,0.69143577,0.0010000000,10.8020,0,1,1,128
grid,scratch_deep_maxpool_relu_gap,deep,maxpool,relu,gap,3,21,0.58007855,0.81661891,1.36398567,0.64672544,0.0010000000,11.1989,0,2,1,128
grid,scratch_deep_maxpool_relu_gap,deep,maxpool,relu,gap,3,22,0.60167535,0.80659026,1.17191266,0.65994962,0.0010000000,10.6513,0,3,1,128
grid,scratch_deep_maxpool_relu_gap,deep,maxpool,relu,gap,3,23,0.57735733,0.81375358,1.07018588,0.68513854,0.0010000000,10.5701,1,0,1,128
grid,scratch_deep_maxpool_relu_gap,deep,maxpool,relu,gap,3,24,0.57744840,0.81789239,1.04674464,0.71410579,0.0010000000,10.7049,1,0,1,128
