stage,model_name,size,downsampling,activation,head,seed,epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec,is_best,early_stop_counter,grad_accum_steps,effective_batch_size
grid,scratch_deep_maxpool_relu_pool4mlp,deep,maxpool,relu,pool4mlp,3,1,2.92445127,0.22349570,2.28940365,0.26070529,0.0010000000,11.3304,1,0,1,128
grid,scratch_deep_maxpool_relu_pool4mlp,deep,maxpool,relu,pool4mlp,3,2,1.82932306,0.43266476,2.25229256,0.31108312,0.0010000000,11.7419,1,0,1,128
grid,scratch_deep_maxpool_relu_pool4mlp,deep,maxpool,relu,pool4mlp,3,3,1.55852096,0.50493473,2.01307605,0.43136020,0.0010000000,10.9073,1,0,1,128
grid,scratch_deep_maxpool_relu_pool4mlp,deep,maxpool,relu,pool4mlp,3,4,1.38360245,0.54727794,1.47991746,0.54282116,0.0010000000,12.1045,1,0,1,128
grid,scratch_deep_maxpool_relu_pool4mlp,deep,maxpool,relu,pool4mlp,3,5,1.29167416,0.58659663,1.40826558,0.55037783,0.0010000000,10.7897,1,0,1,128
grid,scratch_deep_maxpool_relu_pool4mlp,deep,maxpool,relu,pool4mlp,3,6,1.16942303,0.60649475,1.27195402,0.58879093,0.0010000000,11.1428,1,0,1,128
grid,scratch_deep_maxpool_relu_pool4mlp,deep,maxpool,relu,pool4mlp,3,7,1.07449077,0.63689908,1.35555648,0.55856423,0.0010000000,10.6295,0,1,1,128
grid,scratch_deep_maxpool_relu_pool4mlp,deep,maxpool,relu,pool4mlp,3,8,1.05747960,0.64135626,1.23684061,0.61460957,0.0010000000,11.4574,1,0,1,128
grid,scratch_deep_maxpool_relu_pool4mlp,deep,maxpool,relu,pool4mlp,3,9,0.97641240,0.65918497,1.14026201,0.62468514,0.0010000000,11.1929,1,0,1,128
grid,scratch_deep_maxpool_relu_pool4mlp,deep,maxpool,relu,pool4mlp,3,10,0.95362454,0.67621777,1.71342562,0.51448363,0.0010000000,11.0773,0,1,1,128
grid,scratch_deep_maxpool_relu_pool4mlp,deep,maxpool,relu,pool4mlp,3,11,0.92318344,0.68624642,1.27361530,0.66372796,0.0010000000,10.9077,0,2,1,128
