stage,model_name,size,downsampling,activation,head,seed,epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec,is_best,early_stop_counter,grad_accum_steps,effective_batch_size
grid,scratch_deep_maxpool_silu_gap,deep,maxpool,silu,gap,3,1,2.06692166,0.38268067,2.04541416,0.40176322,0.0010000000,11.5245,1,0,1,128
grid,scratch_deep_maxpool_silu_gap,deep,maxpool,silu,gap,3,2,1.66007036,0.50923273,2.27933871,0.34886650,0.0010000000,10.7806,0,1,1,128
grid,scratch_deep_maxpool_silu_gap,deep,maxpool,silu,gap,3,3,1.43577383,0.57672716,1.79168006,0.48551637,0.0010000000,11.3421,1,0,1,128
grid,scratch_deep_maxpool_silu_gap,deep,maxpool,silu,gap,3,4,1.27115099,0.61238459,1.55227947,0.52267003,0.0010000000,10.5681,1,0,1,128
grid,scratch_deep_maxpool_silu_gap,deep,maxpool,silu,gap,3,5,1.17596748,0.63896848,1.50311969,0.57745592,0.0010000000,10.6973,1,0,1,128
grid,scratch_deep_maxpool_silu_gap,deep,maxpool,silu,gap,3,6,1.07322174,0.67653613,1.38122091,0.59760705,0.0010000000,11.1179,1,0,1,128
grid,scratch_deep_maxpool_silu_gap,deep,maxpool,silu,gap,3,7,1.01645106,0.68958930,1.37315361,0.61901763,0.0010000000,10.5678,1,0,1,128
grid,scratch_deep_maxpool_silu_gap,deep,maxpool,silu,gap,3,8,0.96588186,0.70662209,1.37879958,0.58375315,0.0010000000,11.6418,0,1,1,128
grid,scratch_deep_maxpool_silu_gap,deep,maxpool,silu,gap,3,9,0.89370522,0.72843044,1.16311792,0.65931990,0.0010000000,11.1682,1,0,1,128
grid,scratch_deep_maxpool_silu_gap,deep,maxpool,silu,gap,3,10,0.85806071,0.74307545,1.52110484,0.57619647,0.0010000000,10.5664,0,1,1,128
grid,scratch_deep_maxpool_silu_gap,deep,maxpool,silu,gap,3,11,0.82116200,0.74864693,1.33282652,0.62531486,0.0010000000,11.1725,0,2,1,128
grid,scratch_deep_maxpool_silu_gap,deep,maxpool,silu,gap,3,12,0.82717066,0.73989175,1.66291220,0.56926952,0.0010000000,10.3160,0,3,1,128
grid,scratch_deep_maxpool_silu_gap,deep,maxpool,silu,gap,3,13,0.82032811,0.74609997,1.42415915,0.62468514,0.0010000000,11.2439,0,4,1,128
grid,scratch_deep_maxpool_silu_gap,deep,maxpool,silu,gap,3,14,0.75503750,0.76090417,1.23682865,0.64924433,0.0010000000,11.9155,0,5,1,128
grid,scratch_deep_maxpool_silu_gap,deep,maxpool,silu,gap,3,15,0.74594542,0.76711238,1.33712612,0.64672544,0.0001000000,10.4503,0,6,1,128
grid,scratch_deep_maxpool_silu_gap,deep,maxpool,silu,gap,3,16,0.62200613,0.80754537,1.02773481,0.72166247,0.0001000000,10.7877,1,0,1,128
grid,scratch_deep_maxpool_silu_gap,deep,maxpool,silu,gap,3,17,0.57371895,0.82505571,1.02823143,0.71662469,0.0001000000,11.0765,0,1,1,128
grid,scratch_deep_maxpool_silu_gap,deep,maxpool,silu,gap,3,18,0.56367837,0.82744349,1.01344516,0.72481108,0.0001000000,11.2214,1,0,1,128
grid,scratch_deep_maxpool_silu_gap,deep,maxpool,silu,gap,3,19,0.55214261,0.83365170,0.98397198,0.71410579,0.0001000000,11.4563,1,0,1,128
grid,scratch_deep_maxpool_silu_gap,deep,maxpool,silu,gap,3,20,0.55080861,0.83556192,0.99836921,0.71914358,0.0001000000,10.9031,0,1,1,128
grid,scratch_deep_maxpool_silu_gap,deep,maxpool,silu,gap,3,21,0.53365171,0.83763133,0.95936639,0.73740554,0.0001000000,11.1053,1,0,1,128
grid,scratch_deep_maxpool_silu_gap,deep,maxpool,silu,gap,3,22,0.53135200,0.83938236,0.96081025,0.72229219,0.0001000000,10.6466,0,1,1,128
grid,scratch_deep_maxpool_silu_gap,deep,maxpool,silu,gap,3,23,0.53074693,0.84240688,0.93281169,0.72670025,0.0001000000,11.5208,1,0,1,128
grid,scratch_deep_maxpool_silu_gap,deep,maxpool,silu,gap,3,24,0.51735282,0.84606813,0.97973538,0.72544081,0.0001000000,11.3345,0,1,1,128
grid,scratch_deep_maxpool_silu_gap,deep,maxpool,silu,gap,3,25,0.51405812,0.84543139,0.95659992,0.73677582,0.0001000000,11.1059,0,2,1,128
grid,scratch_deep_maxpool_silu_gap,deep,maxpool,silu,gap,3,26,0.51376230,0.84543139,0.96311277,0.73488665,0.0001000000,11.0452,0,3,1,128
grid,scratch_deep_maxpool_silu_gap,deep,maxpool,silu,gap,3,27,0.50658800,0.84941102,0.96651943,0.74244332,0.0001000000,11.8939,0,4,1,128
grid,scratch_deep_maxpool_silu_gap,deep,maxpool,silu,gap,3,28,0.50156212,0.84750080,0.99925899,0.72984887,0.0001000000,11.2021,0,5,1,128
grid,scratch_deep_maxpool_silu_gap,deep,maxpool,silu,gap,3,29,0.48956530,0.85004776,0.94933163,0.72858942,0.0000100000,10.8019,0,6,1,128
