stage,model_name,size,downsampling,activation,head,seed,epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec,is_best,early_stop_counter,grad_accum_steps,effective_batch_size
grid,scratch_deep_maxpool_silu_pool4mlp,deep,maxpool,silu,pool4mlp,2,1,2.82162473,0.21298949,2.39424790,0.29596977,0.0010000000,12.7098,1,0,1,128
grid,scratch_deep_maxpool_silu_pool4mlp,deep,maxpool,silu,pool4mlp,2,2,1.83903902,0.43234639,1.87872511,0.49307305,0.0010000000,11.2131,1,0,1,128
grid,scratch_deep_maxpool_silu_pool4mlp,deep,maxpool,silu,pool4mlp,2,3,1.60094831,0.49331423,1.63226247,0.47732997,0.0010000000,11.1284,1,0,1,128
grid,scratch_deep_maxpool_silu_pool4mlp,deep,maxpool,silu,pool4mlp,2,4,1.38259080,0.54759631,1.51762637,0.50881612,0.0010000000,11.5983,1,0,1,128
grid,scratch_deep_maxpool_silu_pool4mlp,deep,maxpool,silu,pool4mlp,2,5,1.28446765,0.57784145,1.42883447,0.60390428,0.0010000000,11.3127,1,0,1,128
grid,scratch_deep_maxpool_silu_pool4mlp,deep,maxpool,silu,pool4mlp,2,6,1.16986423,0.61286215,1.39192010,0.56549118,0.0010000000,12.1885,1,0,1,128
grid,scratch_deep_maxpool_silu_pool4mlp,deep,maxpool,silu,pool4mlp,2,7,1.08852541,0.63291945,1.37441307,0.57178841,0.0010000000,12.4486,1,0,1,128
grid,scratch_deep_maxpool_silu_pool4mlp,deep,maxpool,silu,pool4mlp,2,8,1.04457283,0.65090735,1.22486263,0.60894207,0.0010000000,12.2037,1,0,1,128
grid,scratch_deep_maxpool_silu_pool4mlp,deep,maxpool,silu,pool4mlp,2,9,1.05767104,0.65090735,1.62663085,0.46914358,0.0010000000,12.1716,0,1,1,128
grid,scratch_deep_maxpool_silu_pool4mlp,deep,maxpool,silu,pool4mlp,2,10,0.98658081,0.66698504,1.20112206,0.64168766,0.0010000000,12.8209,1,0,1,128
grid,scratch_deep_maxpool_silu_pool4mlp,deep,maxpool,silu,pool4mlp,2,11,0.93554741,0.68417701,1.18383976,0.61460957,0.0010000000,12.5713,1,0,1,128
grid,scratch_deep_maxpool_silu_pool4mlp,deep,maxpool,silu,pool4mlp,2,12,0.84312450,0.71426297,0.98199480,0.71410579,0.0010000000,12.7241,1,0,1,128
grid,scratch_deep_maxpool_silu_pool4mlp,deep,maxpool,silu,pool4mlp,2,13,0.83610986,0.71967526,1.19553585,0.61523929,0.0010000000,11.9527,0,1,1,128
grid,scratch_deep_maxpool_silu_pool4mlp,deep,maxpool,silu,pool4mlp,2,14,0.84755396,0.71139764,1.38625247,0.55982368,0.0010000000,11.9039,0,2,1,128
grid,scratch_deep_maxpool_silu_pool4mlp,deep,maxpool,silu,pool4mlp,2,15,0.77120009,0.73304680,1.34848557,0.60138539,0.0010000000,11.4750,0,3,1,128
grid,scratch_deep_maxpool_silu_pool4mlp,deep,maxpool,silu,pool4mlp,2,16,0.81982340,0.72222222,1.12309282,0.67758186,0.0010000000,10.2711,0,4,1,128
grid,scratch_deep_maxpool_silu_pool4mlp,deep,maxpool,silu,pool4mlp,2,17,0.71687613,0.75326329,0.94582207,0.70528967,0.0010000000,11.0759,1,0,1,128
grid,scratch_deep_maxpool_silu_pool4mlp,deep,maxpool,silu,pool4mlp,2,18,0.71674728,0.76392869,0.91711728,0.70025189,0.0010000000,11.4669,1,0,1,128
grid,scratch_deep_maxpool_silu_pool4mlp,deep,maxpool,silu,pool4mlp,2,19,0.66524487,0.77268386,0.92513077,0.73551637,0.0010000000,11.3421,0,1,1,128
grid,scratch_deep_maxpool_silu_pool4mlp,deep,maxpool,silu,pool4mlp,2,20,0.64261270,0.78191659,0.99981904,0.70591940,0.0010000000,10.6697,0,2,1,128
grid,scratch_deep_maxpool_silu_pool4mlp,deep,maxpool,silu,pool4mlp,2,21,0.63433027,0.78319007,0.82505757,0.75440806,0.0010000000,11.7462,1,0,1,128
grid,scratch_deep_maxpool_silu_pool4mlp,deep,maxpool,silu,pool4mlp,2,22,0.57991432,0.80356574,0.80272495,0.73929471,0.0010000000,11.3622,1,0,1,128
grid,scratch_deep_maxpool_silu_pool4mlp,deep,maxpool,silu,pool4mlp,2,23,0.56049743,0.80420248,0.78410653,0.75125945,0.0010000000,11.6572,1,0,1,128
grid,scratch_deep_maxpool_silu_pool4mlp,deep,maxpool,silu,pool4mlp,2,24,0.55771489,0.81359440,0.87760297,0.73740554,0.0010000000,12.4325,0,1,1,128
grid,scratch_deep_maxpool_silu_pool4mlp,deep,maxpool,silu,pool4mlp,2,25,0.53119259,0.81677810,0.84506309,0.77770781,0.0010000000,11.1543,0,2,1,128
grid,scratch_deep_maxpool_silu_pool4mlp,deep,maxpool,silu,pool4mlp,2,26,0.53919022,0.81661891,0.92599625,0.73425693,0.0010000000,12.2778,0,3,1,128
grid,scratch_deep_maxpool_silu_pool4mlp,deep,maxpool,silu,pool4mlp,2,27,0.48888536,0.83588029,0.80730725,0.76889169,0.0010000000,11.8057,0,4,1,128
grid,scratch_deep_maxpool_silu_pool4mlp,deep,maxpool,silu,pool4mlp,2,28,0.48327152,0.83428844,0.77681638,0.75818640,0.0010000000,11.7562,1,0,1,128
grid,scratch_deep_maxpool_silu_pool4mlp,deep,maxpool,silu,pool4mlp,2,29,0.46333307,0.84527221,0.89841386,0.74244332,0.0010000000,11.0920,0,1,1,128
grid,scratch_deep_maxpool_silu_pool4mlp,deep,maxpool,silu,pool4mlp,2,30,0.45066313,0.84718243,0.71318360,0.77078086,0.0010000000,12.0246,1,0,1,128
grid,scratch_deep_maxpool_silu_pool4mlp,deep,maxpool,silu,pool4mlp,2,31,0.41627422,0.85561923,0.99519634,0.73614610,0.0010000000,12.9641,0,1,1,128
grid,scratch_deep_maxpool_silu_pool4mlp,deep,maxpool,silu,pool4mlp,2,32,0.47643556,0.83444763,0.73898957,0.78841310,0.0010000000,10.9356,0,2,1,128
grid,scratch_deep_maxpool_silu_pool4mlp,deep,maxpool,silu,pool4mlp,2,33,0.43709790,0.84845591,0.80746660,0.76763224,0.0010000000,11.4612,0,3,1,128
