stage,model_name,size,downsampling,activation,head,seed,epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec,is_best,early_stop_counter,grad_accum_steps,effective_batch_size
grid,scratch_deep_strided_relu_gap,deep,strided,relu,gap,2,1,2.02467788,0.40082776,2.25729826,0.30415617,0.0010000000,12.6765,1,0,1,128
grid,scratch_deep_strided_relu_gap,deep,strided,relu,gap,2,2,1.63947824,0.50159185,1.66482921,0.48803526,0.0010000000,10.7548,1,0,1,128
grid,scratch_deep_strided_relu_gap,deep,strided,relu,gap,2,3,1.49103785,0.54584527,1.76351188,0.51448363,0.0010000000,10.2995,0,1,1,128
grid,scratch_deep_strided_relu_gap,deep,strided,relu,gap,2,4,1.33434071,0.60187838,1.59378336,0.52707809,0.0010000000,9.8386,1,0,1,128
grid,scratch_deep_strided_relu_gap,deep,strided,relu,gap,2,5,1.26303743,0.61540911,1.46711978,0.59760705,0.0010000000,11.5807,1,0,1,128
grid,scratch_deep_strided_relu_gap,deep,strided,relu,gap,2,6,1.18384545,0.63753582,1.46559233,0.61083123,0.0010000000,10.9328,1,0,1,128
grid,scratch_deep_strided_relu_gap,deep,strided,relu,gap,2,7,1.09781820,0.66475645,2.19592203,0.46977330,0.0010000000,10.0701,0,1,1,128
grid,scratch_deep_strided_relu_gap,deep,strided,relu,gap,2,8,1.02691873,0.68099331,1.36043985,0.62468514,0.0010000000,10.6986,1,0,1,128
grid,scratch_deep_strided_relu_gap,deep,strided,relu,gap,2,9,1.01872722,0.68545049,1.47031975,0.55982368,0.0010000000,10.9181,0,1,1,128
grid,scratch_deep_strided_relu_gap,deep,strided,relu,gap,2,10,0.92112906,0.71187520,1.32894239,0.61649874,0.0010000000,10.8297,1,0,1,128
grid,scratch_deep_strided_relu_gap,deep,strided,relu,gap,2,11,0.93417113,0.70598535,1.33856612,0.63476071,0.0010000000,11.3096,0,1,1,128
grid,scratch_deep_strided_relu_gap,deep,strided,relu,gap,2,12,0.87541562,0.72811207,1.17584556,0.64924433,0.0010000000,11.4076,1,0,1,128
grid,scratch_deep_strided_relu_gap,deep,strided,relu,gap,2,13,0.82849511,0.74625915,1.33768381,0.60264484,0.0010000000,12.7543,0,1,1,128
grid,scratch_deep_strided_relu_gap,deep,strided,relu,gap,2,14,0.79305013,0.75103470,1.46079333,0.59319899,0.0010000000,10.8686,0,2,1,128
grid,scratch_deep_strided_relu_gap,deep,strided,relu,gap,2,15,0.80590146,0.75374085,1.31628018,0.62090680,0.0010000000,11.3244,0,3,1,128
grid,scratch_deep_strided_relu_gap,deep,strided,relu,gap,2,16,0.77218394,0.76074499,1.30580626,0.65554156,0.0010000000,11.1098,0,4,1,128
grid,scratch_deep_strided_relu_gap,deep,strided,relu,gap,2,17,0.74367363,0.76981853,1.38888388,0.61838791,0.0010000000,11.0070,0,5,1,128
grid,scratch_deep_strided_relu_gap,deep,strided,relu,gap,2,18,0.71063503,0.77682267,1.26589748,0.66561713,0.0001000000,10.7299,0,6,1,128
grid,scratch_deep_strided_relu_gap,deep,strided,relu,gap,2,19,0.60577639,0.81263929,1.00289072,0.72166247,0.0001000000,10.3296,1,0,1,128
grid,scratch_deep_strided_relu_gap,deep,strided,relu,gap,2,20,0.56597780,0.82521490,0.98026544,0.71473552,0.0001000000,10.9648,1,0,1,128
grid,scratch_deep_strided_relu_gap,deep,strided,relu,gap,2,21,0.54541792,0.83572111,0.94732182,0.72858942,0.0001000000,10.8529,1,0,1,128
grid,scratch_deep_strided_relu_gap,deep,strided,relu,gap,2,22,0.53515671,0.84113340,0.96302488,0.72921914,0.0001000000,10.6553,0,1,1,128
grid,scratch_deep_strided_relu_gap,deep,strided,relu,gap,2,23,0.54117845,0.83190067,0.94704074,0.72103275,0.0001000000,11.3689,1,0,1,128
grid,scratch_deep_strided_relu_gap,deep,strided,relu,gap,2,24,0.52183729,0.84368036,0.94733048,0.72229219,0.0001000000,11.4127,0,1,1,128
grid,scratch_deep_strided_relu_gap,deep,strided,relu,gap,2,25,0.52110920,0.84622732,0.98637643,0.72040302,0.0001000000,11.1803,0,2,1,128
grid,scratch_deep_strided_relu_gap,deep,strided,relu,gap,2,26,0.52239745,0.84240688,0.97318505,0.71599496,0.0001000000,10.8936,0,3,1,128
grid,scratch_deep_strided_relu_gap,deep,strided,relu,gap,2,27,0.50258803,0.84988857,0.93664081,0.72418136,0.0001000000,10.1727,1,0,1,128
grid,scratch_deep_strided_relu_gap,deep,strided,relu,gap,2,28,0.49684715,0.84813754,0.91544305,0.72858942,0.0001000000,10.3048,1,0,1,128
grid,scratch_deep_strided_relu_gap,deep,strided,relu,gap,2,29,0.49350276,0.84972939,0.91933302,0.73173804,0.0001000000,12.6344,0,1,1,128
grid,scratch_deep_strided_relu_gap,deep,strided,relu,gap,2,30,0.49404299,0.85752945,0.91980857,0.73677582,0.0001000000,11.7255,0,2,1,128
grid,scratch_deep_strided_relu_gap,deep,strided,relu,gap,2,31,0.48024422,0.85673352,0.91395434,0.73677582,0.0001000000,12.4735,1,0,1,128
grid,scratch_deep_strided_relu_gap,deep,strided,relu,gap,2,32,0.48869466,0.85482330,0.89479459,0.74433249,0.0001000000,13.2074,1,0,1,128
grid,scratch_deep_strided_relu_gap,deep,strided,relu,gap,2,33,0.48666319,0.85434575,0.88855798,0.74055416,0.0001000000,11.7997,1,0,1,128
grid,scratch_deep_strided_relu_gap,deep,strided,relu,gap,2,34,0.47408705,0.85641515,0.91976568,0.72858942,0.0001000000,10.5554,0,1,1,128
grid,scratch_deep_strided_relu_gap,deep,strided,relu,gap,2,35,0.48324813,0.85466412,0.91860780,0.73866499,0.0001000000,11.0200,0,2,1,128
grid,scratch_deep_strided_relu_gap,deep,strided,relu,gap,2,36,0.46239014,0.85880293,0.89486073,0.74118388,0.0001000000,11.3796,0,3,1,128
grid,scratch_deep_strided_relu_gap,deep,strided,relu,gap,2,37,0.47185644,0.85768863,0.91516972,0.75251889,0.0001000000,11.3146,0,4,1,128
grid,scratch_deep_strided_relu_gap,deep,strided,relu,gap,2,38,0.46215478,0.86326011,0.91074314,0.75629723,0.0001000000,12.7478,0,5,1,128
grid,scratch_deep_strided_relu_gap,deep,strided,relu,gap,2,39,0.45363947,0.86039478,0.88541353,0.74685139,0.0001000000,15.4539,1,0,1,128
grid,scratch_deep_strided_relu_gap,deep,strided,relu,gap,2,40,0.44748996,0.86501114,0.94013425,0.74748111,0.0001000000,12.5300,0,1,1,128
grid,scratch_deep_strided_relu_gap,deep,strided,relu,gap,2,41,0.44480715,0.86421522,0.89576970,0.74685139,0.0001000000,13.2482,0,2,1,128
grid,scratch_deep_strided_relu_gap,deep,strided,relu,gap,2,42,0.45203291,0.86501114,0.91437239,0.75251889,0.0001000000,13.0128,0,3,1,128
grid,scratch_deep_strided_relu_gap,deep,strided,relu,gap,2,43,0.44088153,0.86580707,0.89428347,0.74622166,0.0001000000,13.2564,0,4,1,128
