stage,model_name,size,downsampling,activation,head,seed,epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec,is_best,early_stop_counter,grad_accum_steps,effective_batch_size
grid,scratch_deep_strided_relu_pool4mlp,deep,strided,relu,pool4mlp,2,1,2.53457329,0.26583890,2.09862818,0.37972292,0.0010000000,12.6443,1,0,1,128
grid,scratch_deep_strided_relu_pool4mlp,deep,strided,relu,pool4mlp,2,2,1.63768042,0.47787329,1.50405176,0.51133501,0.0010000000,11.7696,1,0,1,128
grid,scratch_deep_strided_relu_pool4mlp,deep,strided,relu,pool4mlp,2,3,1.43791323,0.52992677,1.51084943,0.52644836,0.0010000000,11.6930,0,1,1,128
grid,scratch_deep_strided_relu_pool4mlp,deep,strided,relu,pool4mlp,2,4,1.26143009,0.58182108,1.25100889,0.61586902,0.0010000000,12.0721,1,0,1,128
grid,scratch_deep_strided_relu_pool4mlp,deep,strided,relu,pool4mlp,2,5,1.15765825,0.62480102,1.10280050,0.64105793,0.0010000000,10.3729,1,0,1,128
grid,scratch_deep_strided_relu_pool4mlp,deep,strided,relu,pool4mlp,2,6,1.03991219,0.65409105,1.24675919,0.63916877,0.0010000000,10.4208,0,1,1,128
grid,scratch_deep_strided_relu_pool4mlp,deep,strided,relu,pool4mlp,2,7,0.97768219,0.67717287,1.11080497,0.66120907,0.0010000000,12.0190,0,2,1,128
grid,scratch_deep_strided_relu_pool4mlp,deep,strided,relu,pool4mlp,2,8,0.89894376,0.69277300,1.24155609,0.63350126,0.0010000000,11.7696,0,3,1,128
grid,scratch_deep_strided_relu_pool4mlp,deep,strided,relu,pool4mlp,2,9,0.90749180,0.70487106,1.00153527,0.67884131,0.0010000000,10.7183,1,0,1,128
grid,scratch_deep_strided_relu_pool4mlp,deep,strided,relu,pool4mlp,2,10,0.91714567,0.69197708,1.35402099,0.63790932,0.0010000000,11.0816,0,1,1,128
grid,scratch_deep_strided_relu_pool4mlp,deep,strided,relu,pool4mlp,2,11,0.88609389,0.69993633,1.13857018,0.69332494,0.0010000000,11.9945,0,2,1,128
grid,scratch_deep_strided_relu_pool4mlp,deep,strided,relu,pool4mlp,2,12,0.77156944,0.74180197,0.98244067,0.71851385,0.0010000000,11.4090,1,0,1,128
grid,scratch_deep_strided_relu_pool4mlp,deep,strided,relu,pool4mlp,2,13,0.75971575,0.74100605,0.97173440,0.70025189,0.0010000000,11.5707,1,0,1,128
grid,scratch_deep_strided_relu_pool4mlp,deep,strided,relu,pool4mlp,2,14,0.75090705,0.75007959,0.92391240,0.75000000,0.0010000000,11.3533,1,0,1,128
