stage,model_name,size,downsampling,activation,head,seed,epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec,is_best,early_stop_counter,grad_accum_steps,effective_batch_size
grid,scratch_deep_strided_silu_gap,deep,strided,silu,gap,2,1,2.03164036,0.40210124,2.00948762,0.35012594,0.0010000000,11.7225,1,0,1,128
grid,scratch_deep_strided_silu_gap,deep,strided,silu,gap,2,2,1.64320990,0.50509392,1.89710139,0.43136020,0.0010000000,11.1025,1,0,1,128
grid,scratch_deep_strided_silu_gap,deep,strided,silu,gap,2,3,1.54338555,0.53454314,1.81353610,0.47103275,0.0010000000,11.2981,1,0,1,128
grid,scratch_deep_strided_silu_gap,deep,strided,silu,gap,2,4,1.40242792,0.58325374,1.62638998,0.54219144,0.0010000000,11.7326,1,0,1,128
grid,scratch_deep_strided_silu_gap,deep,strided,silu,gap,2,5,1.35020352,0.59057625,1.52715848,0.59005038,0.0010000000,12.0318,1,0,1,128
grid,scratch_deep_strided_silu_gap,deep,strided,silu,gap,2,6,1.26648385,0.61636422,1.68212887,0.51763224,0.0010000000,12.1798,0,1,1,128
grid,scratch_deep_strided_silu_gap,deep,strided,silu,gap,2,7,1.13821873,0.65584209,1.80531893,0.55226700,0.0010000000,11.0761,0,2,1,128
grid,scratch_deep_strided_silu_gap,deep,strided,silu,gap,2,8,1.13196335,0.65249920,1.50277539,0.60138539,0.0010000000,11.5650,1,0,1,128
grid,scratch_deep_strided_silu_gap,deep,strided,silu,gap,2,9,1.12059915,0.65345431,2.49582286,0.32682620,0.0010000000,11.7643,0,1,1,128
grid,scratch_deep_strided_silu_gap,deep,strided,silu,gap,2,10,1.06175411,0.66969118,1.48185788,0.57178841,0.0010000000,10.8298,1,0,1,128
grid,scratch_deep_strided_silu_gap,deep,strided,silu,gap,2,11,0.98610329,0.69388730,1.53267717,0.61335013,0.0010000000,10.8814,0,1,1,128
grid,scratch_deep_strided_silu_gap,deep,strided,silu,gap,2,12,0.96595768,0.69388730,1.44524025,0.58627204,0.0010000000,11.2141,1,0,1,128
grid,scratch_deep_strided_silu_gap,deep,strided,silu,gap,2,13,0.93054717,0.71314868,1.42746364,0.62531486,0.0010000000,11.1145,1,0,1,128
grid,scratch_deep_strided_silu_gap,deep,strided,silu,gap,2,14,0.89409538,0.72604266,2.67957433,0.39168766,0.0010000000,11.6034,0,1,1,128
grid,scratch_deep_strided_silu_gap,deep,strided,silu,gap,2,15,0.88856075,0.72524674,1.27244856,0.64987406,0.0010000000,11.5297,1,0,1,128
grid,scratch_deep_strided_silu_gap,deep,strided,silu,gap,2,16,0.85738508,0.73766316,1.39641492,0.65050378,0.0010000000,10.0726,0,1,1,128
grid,scratch_deep_strided_silu_gap,deep,strided,silu,gap,2,17,0.84478652,0.73623050,1.49792819,0.58816121,0.0010000000,12.0065,0,2,1,128
grid,scratch_deep_strided_silu_gap,deep,strided,silu,gap,2,18,0.79310028,0.75899395,1.28428451,0.61712846,0.0010000000,10.3974,0,3,1,128
grid,scratch_deep_strided_silu_gap,deep,strided,silu,gap,2,19,0.83198326,0.73209169,1.29366500,0.64798489,0.0010000000,10.3872,0,4,1,128
grid,scratch_deep_strided_silu_gap,deep,strided,silu,gap,2,20,0.79309186,0.74753263,1.33023781,0.60705290,0.0010000000,10.3479,0,5,1,128
grid,scratch_deep_strided_silu_gap,deep,strided,silu,gap,2,21,0.72412514,0.77156956,1.13037487,0.69710327,0.0010000000,10.8470,1,0,1,128
grid,scratch_deep_strided_silu_gap,deep,strided,silu,gap,2,22,0.69972157,0.78271251,1.16708859,0.66813602,0.0010000000,10.8708,0,1,1,128
grid,scratch_deep_strided_silu_gap,deep,strided,silu,gap,2,23,0.72190613,0.76663483,1.47864654,0.60642317,0.0010000000,11.4220,0,2,1,128
grid,scratch_deep_strided_silu_gap,deep,strided,silu,gap,2,24,0.72979595,0.77204712,1.33447926,0.64294710,0.0010000000,11.3341,0,3,1,128
grid,scratch_deep_strided_silu_gap,deep,strided,silu,gap,2,25,0.65191950,0.79672079,1.36653095,0.63413098,0.0010000000,11.5905,0,4,1,128
grid,scratch_deep_strided_silu_gap,deep,strided,silu,gap,2,26,0.65508927,0.79242280,1.16240402,0.68198992,0.0010000000,11.5234,0,5,1,128
grid,scratch_deep_strided_silu_gap,deep,strided,silu,gap,2,27,0.65698976,0.79178606,1.71319450,0.58942065,0.0001000000,11.7837,0,6,1,128
grid,scratch_deep_strided_silu_gap,deep,strided,silu,gap,2,28,0.54992572,0.83253741,0.93765156,0.71977330,0.0001000000,11.8341,1,0,1,128
grid,scratch_deep_strided_silu_gap,deep,strided,silu,gap,2,29,0.51179508,0.84702324,0.94118467,0.72921914,0.0001000000,10.9441,0,1,1,128
grid,scratch_deep_strided_silu_gap,deep,strided,silu,gap,2,30,0.49944007,0.85052531,0.92375973,0.73740554,0.0001000000,10.8241,1,0,1,128
grid,scratch_deep_strided_silu_gap,deep,strided,silu,gap,2,31,0.48632646,0.85370901,0.93348934,0.73047859,0.0001000000,10.9239,0,1,1,128
grid,scratch_deep_strided_silu_gap,deep,strided,silu,gap,2,32,0.49649029,0.85386819,0.93430768,0.73110831,0.0001000000,11.7376,0,2,1,128
grid,scratch_deep_strided_silu_gap,deep,strided,silu,gap,2,33,0.48987341,0.85370901,0.93470012,0.73614610,0.0001000000,11.4343,0,3,1,128
grid,scratch_deep_strided_silu_gap,deep,strided,silu,gap,2,34,0.48306896,0.85530086,0.93919241,0.72858942,0.0001000000,12.4367,0,4,1,128
grid,scratch_deep_strided_silu_gap,deep,strided,silu,gap,2,35,0.48791298,0.85386819,0.93210601,0.73677582,0.0001000000,11.3481,0,5,1,128
grid,scratch_deep_strided_silu_gap,deep,strided,silu,gap,2,36,0.47180210,0.85943967,0.93399680,0.74181360,0.0000100000,11.9668,0,6,1,128
grid,scratch_deep_strided_silu_gap,deep,strided,silu,gap,2,37,0.46630685,0.86214581,0.94570028,0.74307305,0.0000100000,11.5720,0,7,1,128
grid,scratch_deep_strided_silu_gap,deep,strided,silu,gap,2,38,0.46375521,0.86103152,0.94651320,0.73551637,0.0000100000,11.0377,0,8,1,128
grid,scratch_deep_strided_silu_gap,deep,strided,silu,gap,2,39,0.46363549,0.86182744,0.93523134,0.74055416,0.0000100000,11.0283,0,9,1,128
grid,scratch_deep_strided_silu_gap,deep,strided,silu,gap,2,40,0.45678897,0.86612544,0.93216260,0.73866499,0.0000100000,11.6352,0,10,1,128
