stage,model_name,size,downsampling,activation,head,seed,epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec,is_best,early_stop_counter,grad_accum_steps,effective_batch_size
grid,scratch_deep_strided_silu_pool4mlp,deep,strided,silu,pool4mlp,1,1,1.94224768,0.40910538,1.66466907,0.50755668,0.0010000000,12.2078,1,0,1,128
grid,scratch_deep_strided_silu_pool4mlp,deep,strided,silu,pool4mlp,1,2,1.26712539,0.59980898,1.68918823,0.50188917,0.0010000000,11.6850,0,1,1,128
grid,scratch_deep_strided_silu_pool4mlp,deep,strided,silu,pool4mlp,1,3,1.16166265,0.62782553,1.52055319,0.54345088,0.0010000000,11.4839,1,0,1,128
grid,scratch_deep_strided_silu_pool4mlp,deep,strided,silu,pool4mlp,1,4,0.99264948,0.67637695,1.43816478,0.58375315,0.0010000000,11.0371,1,0,1,128
grid,scratch_deep_strided_silu_pool4mlp,deep,strided,silu,pool4mlp,1,5,0.85084573,0.71617319,1.66489767,0.58375315,0.0010000000,11.8729,0,1,1,128
grid,scratch_deep_strided_silu_pool4mlp,deep,strided,silu,pool4mlp,1,6,0.87339985,0.71219357,1.20759979,0.65680101,0.0010000000,12.1548,1,0,1,128
grid,scratch_deep_strided_silu_pool4mlp,deep,strided,silu,pool4mlp,1,7,0.77729077,0.75119389,0.91793353,0.73173804,0.0010000000,12.6655,1,0,1,128
grid,scratch_deep_strided_silu_pool4mlp,deep,strided,silu,pool4mlp,1,8,0.70216826,0.76663483,1.02090708,0.69206549,0.0010000000,11.4868,0,1,1,128
grid,scratch_deep_strided_silu_pool4mlp,deep,strided,silu,pool4mlp,1,9,0.68169248,0.77809615,0.93805277,0.71032746,0.0010000000,11.2641,0,2,1,128
grid,scratch_deep_strided_silu_pool4mlp,deep,strided,silu,pool4mlp,1,10,0.66703244,0.77491245,1.01477975,0.71347607,0.0010000000,11.7568,0,3,1,128
grid,scratch_deep_strided_silu_pool4mlp,deep,strided,silu,pool4mlp,1,11,0.59374314,0.80579433,0.99493129,0.72858942,0.0010000000,11.1840,0,4,1,128
grid,scratch_deep_strided_silu_pool4mlp,deep,strided,silu,pool4mlp,1,12,0.53243251,0.81773321,0.81764530,0.75503778,0.0010000000,12.4663,1,0,1,128
grid,scratch_deep_strided_silu_pool4mlp,deep,strided,silu,pool4mlp,1,13,0.53091317,0.81661891,0.94789020,0.73992443,0.0010000000,11.4103,0,1,1,128
grid,scratch_deep_strided_silu_pool4mlp,deep,strided,silu,pool4mlp,1,14,0.51375325,0.82919452,1.08062523,0.71158690,0.0010000000,11.6247,0,2,1,128
grid,scratch_deep_strided_silu_pool4mlp,deep,strided,silu,pool4mlp,1,15,0.46656335,0.83954155,0.85734864,0.74937028,0.0010000000,11.3711,0,3,1,128
grid,scratch_deep_strided_silu_pool4mlp,deep,strided,silu,pool4mlp,1,16,0.47262515,0.84734161,1.06715942,0.70214106,0.0010000000,11.0932,0,4,1,128
grid,scratch_deep_strided_silu_pool4mlp,deep,strided,silu,pool4mlp,1,17,0.49596699,0.83508437,0.91337809,0.75818640,0.0010000000,12.1214,0,5,1,128
grid,scratch_deep_strided_silu_pool4mlp,deep,strided,silu,pool4mlp,1,18,0.46738336,0.84240688,0.79769472,0.77267003,0.0010000000,11.5174,1,0,1,128
grid,scratch_deep_strided_silu_pool4mlp,deep,strided,silu,pool4mlp,1,19,0.38762059,0.87010506,0.89419552,0.74811083,0.0010000000,11.0253,0,1,1,128
grid,scratch_deep_strided_silu_pool4mlp,deep,strided,silu,pool4mlp,1,20,0.43290340,0.85307227,0.85988495,0.77141058,0.0010000000,11.0253,0,2,1,128
grid,scratch_deep_strided_silu_pool4mlp,deep,strided,silu,pool4mlp,1,21,0.41714387,0.86087233,0.92572593,0.76952141,0.0010000000,10.9495,0,3,1,128
grid,scratch_deep_strided_silu_pool4mlp,deep,strided,silu,pool4mlp,1,22,0.42295631,0.85561923,0.92639514,0.76952141,0.0010000000,11.4511,0,4,1,128
